scale,source,rule_id,anchor_p,seed_q0,true_q_for_audit_only,audit_true_q_source,candidate_bound,trace_window,visible_candidate_count,selected_q,selected_defect,true_q_defect,selected_delta_from_true,failure_mode,pure_pgs_eligible_input
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998867,999999998869,999999998939,artifact,128,64,5,999999998897,0,0,-42,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998867,999999998869,999999998939,artifact,128,64,5,999999998993,0,3,54,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998867,999999998869,999999998939,artifact,128,64,5,999999998897,0,0,-42,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998801,999999998813,999999998821,artifact,128,64,5,999999998821,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998801,999999998813,999999998821,artifact,128,64,5,999999998821,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998801,999999998813,999999998821,artifact,128,64,5,999999998863,0,1,42,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998611,999999998623,999999998713,artifact,128,64,6,999999998639,0,0,-74,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998611,999999998623,999999998713,artifact,128,64,6,999999998639,0,1,-74,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998611,999999998623,999999998713,artifact,128,64,6,999999998639,0,0,-74,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998533,999999998537,999999998567,artifact,128,64,7,999999998551,0,0,-16,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998533,999999998537,999999998567,artifact,128,64,7,999999998581,0,1,14,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998533,999999998537,999999998567,artifact,128,64,7,999999998551,0,0,-16,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998513,999999998521,999999998527,artifact,128,64,11,999999998527,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998513,999999998521,999999998527,artifact,128,64,11,999999998537,0,1,10,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998513,999999998521,999999998527,artifact,128,64,11,999999998537,0,4,10,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998461,999999998479,999999998497,artifact,128,64,12,999999998497,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998461,999999998479,999999998497,artifact,128,64,12,999999998551,0,2,54,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998461,999999998479,999999998497,artifact,128,64,12,999999998509,0,2,12,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998401,999999998411,999999998429,artifact,128,64,11,999999998419,0,0,-10,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998401,999999998411,999999998429,artifact,128,64,11,999999998441,1,2,12,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998401,999999998411,999999998429,artifact,128,64,11,999999998419,0,0,-10,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998311,999999998381,999999998399,artifact,128,64,5,999999998399,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998311,999999998381,999999998399,artifact,128,64,5,999999998399,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998311,999999998381,999999998399,artifact,128,64,5,999999998399,0,0,0,correct,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998237,999999998243,999999998281,artifact,128,64,3,999999998279,0,0,-2,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998237,999999998243,999999998281,artifact,128,64,3,999999998279,0,0,-2,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998237,999999998243,999999998281,artifact,128,64,3,999999998279,0,0,-2,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998227,999999998233,999999998237,artifact,128,64,5,999999998237,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998227,999999998233,999999998237,artifact,128,64,5,999999998311,0,1,74,selected_too_late,True
