anchor_p,actual_offset,active_count,resolved_count,unresolved_count,old_unique_match,reset_emitted_offset,reset_exact_match,reset_false_emit,tail_after_reset_count,all_unresolved_after_reset,candidate_bound_miss
10000000000037,14,35,1,34,False,14,True,False,34,True,False
10000000000051,48,34,1,33,False,48,True,False,33,True,False
10000000000099,30,35,1,34,False,30,True,False,34,True,False
10000000000129,54,35,1,34,False,54,True,False,34,True,False
10000000000183,76,38,1,37,False,76,True,False,37,True,False
10000000000259,8,1,1,0,True,8,True,False,0,True,False
10000000000267,6,41,1,40,False,6,True,False,40,True,False
10000000000273,6,2,1,1,False,6,True,False,1,True,False
10000000000279,4,1,1,0,True,4,True,False,0,True,False
10000000000283,30,38,1,37,False,30,True,False,37,True,False
10000000000313,30,38,1,37,False,30,True,False,37,True,False
10000000000343,48,40,1,39,False,48,True,False,39,True,False
10000000000391,20,40,1,39,False,20,True,False,39,True,False
10000000000411,22,39,1,38,False,22,True,False,38,True,False
10000000000433,20,40,1,39,False,20,True,False,39,True,False
10000000000453,138,40,1,39,False,138,True,False,39,True,False
10000000000591,18,44,1,43,False,18,True,False,43,True,False
10000000000609,34,45,1,44,False,34,True,False,44,True,False
10000000000643,6,45,1,44,False,6,True,False,44,True,False
10000000000649,8,45,1,44,False,8,True,False,44,True,False
10000000000657,30,45,1,44,False,30,True,False,44,True,False
10000000000687,4,45,1,44,False,4,True,False,44,True,False
10000000000691,26,44,1,43,False,26,True,False,43,True,False
10000000000717,12,43,1,42,False,12,True,False,42,True,False
10000000000729,22,43,1,42,False,22,True,False,42,True,False
10000000000751,8,1,1,0,True,8,True,False,0,True,False
10000000000759,18,42,1,41,False,18,True,False,41,True,False
10000000000777,76,41,1,40,False,76,True,False,40,True,False
10000000000853,30,43,1,42,False,30,True,False,42,True,False
10000000000883,60,43,1,42,False,60,True,False,42,True,False
10000000000943,14,43,1,42,False,14,True,False,42,True,False
10000000000957,30,43,1,42,False,30,True,False,42,True,False
10000000000987,6,1,1,0,True,6,True,False,0,True,False
10000000000993,18,1,1,0,True,18,True,False,0,True,False
10000000001011,12,43,1,42,False,12,True,False,42,True,False
10000000001023,64,42,1,41,False,64,True,False,41,True,False
10000000001087,6,1,1,0,True,6,True,False,0,True,False
10000000001093,48,47,1,46,False,48,True,False,46,True,False
10000000001141,20,48,1,47,False,20,True,False,47,True,False
10000000001161,16,1,1,0,True,16,True,False,0,True,False
10000000001177,14,47,1,46,False,14,True,False,46,True,False
10000000001191,16,46,1,45,False,16,True,False,45,True,False
10000000001207,32,46,1,45,False,32,True,False,45,True,False
10000000001239,22,1,1,0,True,22,True,False,0,True,False
10000000001261,6,45,1,44,False,6,True,False,44,True,False
10000000001267,2,1,1,0,True,2,True,False,0,True,False
10000000001269,22,43,1,42,False,22,True,False,42,True,False
10000000001291,18,1,1,0,True,18,True,False,0,True,False
10000000001309,30,42,1,41,False,30,True,False,41,True,False
10000000001339,8,2,1,1,False,8,True,False,1,True,False
10000000001347,4,1,1,0,True,4,True,False,0,True,False
10000000001351,48,41,1,40,False,48,True,False,40,True,False
10000000001399,38,44,1,43,False,38,True,False,43,True,False
10000000001437,4,44,1,43,False,4,True,False,43,True,False
10000000001441,20,44,1,43,False,20,True,False,43,True,False
10000000001461,28,43,1,42,False,28,True,False,42,True,False
10000000001489,32,44,1,43,False,32,True,False,43,True,False
10000000001521,6,1,1,0,True,6,True,False,0,True,False
10000000001527,40,42,1,41,False,40,True,False,41,True,False
10000000001567,6,44,1,43,False,6,True,False,43,True,False
10000000001573,44,43,1,42,False,44,True,False,42,True,False
10000000001617,16,44,1,43,False,16,True,False,43,True,False
10000000001633,24,43,1,42,False,24,True,False,42,True,False
