scale,sample_size,emitted_count,unresolved_count,unresolved_rate,unresolved_percent,audit_failed,accuracy_status,pgs_status,pgs_count,chain_horizon_closure_count,chain_fallback_count,fallback_count,pgs_by_rule,pgs_rate,chain_horizon_closure_rate,chain_fallback_rate,fallback_rate,pgs_percent,chain_horizon_closure_percent,chain_fallback_percent,fallback_percent
1000000000000,256,253,3,0.01171875,1.171875,0,PASS,MINIMAL_PASS,253,0,0,0,"{'pgs_shadow_seed_gwr_recovery_v1': 102, 'pgs_chamber_closure_v2': 151}",1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
1000000000000000,256,249,7,0.02734375,2.734375,0,PASS,MINIMAL_PASS,249,0,0,0,"{'pgs_shadow_seed_gwr_recovery_v1': 141, 'pgs_chamber_closure_v2': 108}",1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
1000000000000000000,256,250,6,0.0234375,2.34375,0,PASS,MINIMAL_PASS,250,0,0,0,"{'pgs_chamber_closure_v2': 105, 'pgs_shadow_seed_gwr_recovery_v1': 145}",1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
