scale,anchor_p,seed_s0,terminal_q,terminal_index,chain_index,node_n,least_factor_for_audit_only,least_factor_over_sqrt_node,least_factor_over_visible_bound,node_offset_from_anchor,node_offset_from_seed,delta_prev,delta_next,prefix_delta_vector,chain_delta_vector,node_mod_30,offset_mod_30,visible_closed_count_before_node,visible_open_count_before_node,closure_reason_vector_before_node,candidate_bound,visible_divisor_bound,required_horizon,zero_horizon,required_horizon_over_sqrt_terminal
1000000000000,999999999767,999999999781,999999999847,7,1,999999999787,14887,0.014887014887014887,1.4887,20,6,6,6,[6],"[6,6,16,2,18,10,8,10]",7,20,0,0,[],128,10000,198937,False,0.19893719893719894
1000000000000,999999999767,999999999781,999999999847,7,2,999999999793,15467,0.015467015467015467,1.5467,26,12,6,16,"[6,6]","[6,6,16,2,18,10,8,10]",13,26,1,1,"[""20:open"",""24:divisor_witness:13""]",128,10000,198937,False,0.19893719893719894
1000000000000,999999999767,999999999781,999999999847,7,3,999999999809,19001,0.019001019001019002,1.9001,42,28,16,2,"[6,6,16]","[6,6,16,2,18,10,8,10]",29,12,4,2,"[""20:open"",""24:divisor_witness:13"",""26:open"",""30:divisor_witness:101"",""32:divisor_witness:457"",""36:divisor_witness:7""]",128,10000,198937,False,0.19893719893719894
1000000000000,999999999767,999999999781,999999999847,7,4,999999999811,10211,0.01021101021101021,1.0211,44,30,2,18,"[6,6,16,2]","[6,6,16,2,18,10,8,10]",1,14,4,3,"[""20:open"",""24:divisor_witness:13"",""26:open"",""30:divisor_witness:101"",""32:divisor_witness:457"",""36:divisor_witness:7"",""42:open""]",128,10000,198937,False,0.19893719893719894
1000000000000,999999999767,999999999781,999999999847,7,5,999999999829,198937,0.19893719893719894,19.8937,62,48,18,10,"[6,6,16,2,18]","[6,6,16,2,18,10,8,10]",19,2,8,4,"[""20:open"",""24:divisor_witness:13"",""26:open"",""30:divisor_witness:101"",""32:divisor_witness:457"",""36:divisor_witness:7"",""42:open"",""44:open"",""50:divisor_witness:7"",""54:divisor_witness:1187"",""56:divisor_witness:11"",""60:divisor_witness:47""]",128,10000,198937,False,0.19893719893719894
1000000000000,999999999767,999999999781,999999999847,7,6,999999999839,185819,0.18581918581918583,18.5819,72,58,10,8,"[6,6,16,2,18,10]","[6,6,16,2,18,10,8,10]",29,12,9,5,"[""20:open"",""24:divisor_witness:13"",""26:open"",""30:divisor_witness:101"",""32:divisor_witness:457"",""36:divisor_witness:7"",""42:open"",""44:open"",""50:divisor_witness:7"",""54:divisor_witness:1187"",""56:divisor_witness:11"",""60:divisor_witness:47"",""62:open"",""66:divisor_witness:379""]",128,10000,198937,False,0.19893719893719894
1000000000000,999999999707,999999999743,999999999767,2,1,999999999751,150343,0.15034315034315035,15.0343,44,8,8,16,[8],"[8,16,14,6,6,16,2,18]",1,14,1,0,"[""42:divisor_witness:17""]",128,10000,150343,False,0.15034315034315035
1000000000000,999999999617,999999999641,999999999673,3,1,999999999667,240571,0.24057124057124057,24.0571,50,26,26,4,[26],"[26,4,2,24,10,36]",7,20,6,0,"[""26:divisor_witness:67"",""30:divisor_witness:11"",""32:divisor_witness:7"",""36:divisor_witness:5641"",""42:divisor_witness:97"",""44:divisor_witness:13""]",128,10000,240571,False,0.24057124057124057
1000000000000,999999999617,999999999641,999999999673,3,2,999999999671,12377,0.012377012377012378,1.2377,54,30,4,2,"[26,4]","[26,4,2,24,10,36]",11,24,6,1,"[""26:divisor_witness:67"",""30:divisor_witness:11"",""32:divisor_witness:7"",""36:divisor_witness:5641"",""42:divisor_witness:97"",""44:divisor_witness:13"",""50:open""]",128,10000,240571,False,0.24057124057124057
1000000000000,999999999529,999999999541,999999999571,2,1,999999999547,815519,0.8155198155198156,81.5519,18,6,6,24,[6],"[6,24,6,10,2,10,12,6]",7,18,0,0,[],128,10000,815519,False,0.8155198155198156
