anchor_p,actual_offset,active_count,resolved_count,unresolved_count,old_unique_match,reset_emitted_offset,reset_exact_match,reset_false_emit,tail_after_reset_count,all_unresolved_after_reset,candidate_bound_miss
1000000000039,22,37,1,36,False,22,True,False,36,True,False
1000000000061,2,1,1,0,True,2,True,False,0,True,False
1000000000063,28,36,1,35,False,28,True,False,35,True,False
1000000000091,30,35,1,34,False,30,True,False,34,True,False
1000000000121,42,35,1,34,False,42,True,False,34,True,False
1000000000163,6,1,1,0,True,6,True,False,0,True,False
1000000000169,8,1,1,0,True,8,True,False,0,True,False
1000000000177,12,35,1,34,False,12,True,False,34,True,False
1000000000189,4,1,1,0,True,4,True,False,0,True,False
1000000000193,18,34,1,33,False,18,True,False,33,True,False
1000000000211,60,33,1,32,False,60,True,False,32,True,False
1000000000271,32,36,1,35,False,32,True,False,35,True,False
1000000000303,28,36,1,35,False,28,True,False,35,True,False
1000000000331,2,1,1,0,True,2,True,False,0,True,False
1000000000333,6,1,1,0,True,6,True,False,0,True,False
1000000000339,120,34,1,33,False,120,True,False,33,True,False
1000000000459,12,36,1,35,False,12,True,False,35,True,False
1000000000471,66,36,1,35,False,66,True,False,35,True,False
1000000000537,6,36,1,35,False,6,True,False,35,True,False
1000000000543,4,35,1,34,False,4,True,False,34,True,False
1000000000547,14,34,1,33,False,14,True,False,33,True,False
1000000000561,48,33,1,32,False,48,True,False,32,True,False
1000000000609,52,35,1,34,False,52,True,False,34,True,False
1000000000661,8,35,1,34,False,8,True,False,34,True,False
1000000000669,52,34,1,33,False,52,True,False,33,True,False
1000000000721,30,34,1,33,False,30,True,False,33,True,False
1000000000751,36,35,1,34,False,36,True,False,34,True,False
1000000000787,2,1,1,0,True,2,True,False,0,True,False
1000000000789,10,33,1,32,False,10,True,False,32,True,False
1000000000799,42,32,1,31,False,42,True,False,31,True,False
1000000000841,62,32,1,31,False,62,True,False,31,True,False
1000000000903,18,33,1,32,False,18,True,False,32,True,False
1000000000921,10,33,1,32,False,10,True,False,32,True,False
1000000000931,2,1,1,0,True,2,True,False,0,True,False
1000000000933,16,33,1,32,False,16,True,False,32,True,False
1000000000949,48,33,1,32,False,48,True,False,32,True,False
1000000000997,54,33,1,32,False,54,True,False,32,True,False
1000000001051,32,33,1,32,False,32,True,False,32,True,False
1000000001083,40,32,1,31,False,40,True,False,31,True,False
1000000001123,36,34,1,33,False,36,True,False,33,True,False
