anchor_p,actual_q,actual_offset,candidate_count,structural_survivor_count,structural_survivors,rule_x_survivor_count,rule_x_survivors,rule_x_true_rejected,survivor_lock_survivor_count,survivor_lock_survivors,survivor_lock_true_rejected,label_active_survivor_count,label_active_survivors,label_resolved_survivor_count,label_resolved_survivors,label_unresolved_survivor_count,label_unresolved_survivors,label_lock_true_rejected,label_lock_unique_resolved,label_lock_unique_resolved_match,lock_carrier,lock_carrier_offset,lock_carrier_d,lock_threat,lock_threat_offset,lock_threat_d,survivor_lock_carrier,survivor_lock_carrier_offset,survivor_lock_carrier_d,survivor_lock_threat,survivor_lock_threat_offset,survivor_lock_threat_d,label_lock_carrier,label_lock_carrier_offset,label_lock_carrier_d,label_lock_threat,label_lock_threat_offset,label_lock_threat_d,exact_survivor_count,exact_survivors,exact_unique_match
53,59,6,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,18,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68]",False,14,"[6, 8, 14, 18, 20, 26, 30, 36, 44, 48, 50, 54, 56, 60]",1,[6],13,"[8, 14, 18, 20, 26, 30, 36, 44, 48, 50, 54, 56, 60]",False,False,False,54,1,8,55,2,4,55,2,4,121,68,3,55,2,4,121,68,3,1,[6],True
59,61,2,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,60,1,12,62,3,4,60,1,12,62,3,4,60,1,12,62,3,4,1,[2],True
61,67,6,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",16,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60]",False,16,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60]",False,12,"[6, 10, 12, 18, 22, 28, 36, 40, 42, 46, 48, 52]",1,[6],11,"[10, 12, 18, 22, 28, 36, 40, 42, 46, 48, 52]",False,False,False,62,1,4,121,60,3,62,1,4,121,60,3,62,1,4,121,60,3,1,[6],True
67,71,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,15,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54]",False,11,"[4, 6, 12, 16, 22, 30, 34, 36, 40, 42, 46]",1,[4],10,"[6, 12, 16, 22, 30, 34, 36, 40, 42, 46]",False,False,False,68,1,6,69,2,4,69,2,4,121,54,3,69,2,4,121,54,3,1,[4],True
71,73,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,72,1,12,74,3,4,72,1,12,74,3,4,72,1,12,74,3,4,1,[2],True
73,79,6,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",13,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48]",False,13,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48]",False,9,"[6, 10, 16, 24, 28, 30, 34, 36, 40]",1,[6],8,"[10, 16, 24, 28, 30, 34, 36, 40]",False,False,False,74,1,4,121,48,3,74,1,4,121,48,3,74,1,4,121,48,3,1,[6],True
79,83,4,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,11,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42]",False,8,"[4, 10, 18, 22, 24, 28, 30, 34]",1,[4],7,"[10, 18, 22, 24, 28, 30, 34]",False,False,False,80,1,10,81,2,5,82,3,4,121,42,3,82,3,4,121,42,3,1,[4],True
83,89,6,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,10,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38]",False,7,"[6, 14, 18, 20, 24, 26, 30]",1,[6],6,"[14, 18, 20, 24, 26, 30]",False,False,False,84,1,12,85,2,4,85,2,4,121,38,3,85,2,4,121,38,3,1,[6],True
89,97,8,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],True,9,"[2, 8, 12, 14, 18, 20, 24, 30, 32]",False,6,"[8, 12, 14, 18, 20, 24]",1,[8],5,"[12, 14, 18, 20, 24]",False,False,False,90,1,12,91,2,4,91,2,4,121,32,3,91,2,4,121,32,3,1,[8],True
97,101,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",2,"[4, 6]",False,2,"[4, 6]",False,2,"[4, 6]",1,[4],1,[6],False,False,False,98,1,6,106,9,4,98,1,6,106,9,4,98,1,6,106,9,4,1,[4],True
