anchor_p,actual_offset,candidate_count,tested_count,emitted_offset,exact_match,false_emit,candidate_bound_miss
1000000000000037,54,273,14,54,True,False,False
1000000000000091,68,273,19,68,True,False,False
1000000000000159,28,273,7,28,True,False,False
1000000000000187,36,273,10,36,True,False,False
1000000000000223,18,272,4,18,True,False,False
1000000000000241,8,273,3,8,True,False,False
1000000000000249,10,273,2,10,True,False,False
1000000000000259,14,273,4,14,True,False,False
1000000000000273,6,273,2,6,True,False,False
1000000000000279,18,273,4,18,True,False,False
1000000000000297,60,273,16,60,True,False,False
1000000000000357,42,273,12,42,True,False,False
1000000000000399,4,273,1,4,True,False,False
1000000000000403,84,272,22,84,True,False,False
1000000000000487,26,273,7,26,True,False,False
1000000000000513,100,273,27,100,True,False,False
1000000000000613,98,272,26,98,True,False,False
1000000000000711,30,272,8,30,True,False,False
1000000000000741,42,272,11,42,True,False,False
1000000000000783,28,273,7,28,True,False,False
1000000000000811,32,273,9,32,True,False,False
1000000000000843,30,273,8,30,True,False,False
1000000000000873,48,273,13,48,True,False,False
1000000000000921,82,272,22,82,True,False,False
1000000000001003,24,272,6,24,True,False,False
1000000000001027,36,273,10,36,True,False,False
1000000000001063,26,272,7,26,True,False,False
1000000000001089,28,273,7,28,True,False,False
1000000000001117,92,273,25,92,True,False,False
1000000000001209,60,273,16,60,True,False,False
1000000000001269,24,273,6,24,True,False,False
1000000000001293,54,273,14,54,True,False,False
1000000000001347,24,273,7,24,True,False,False
1000000000001371,42,272,11,42,True,False,False
1000000000001413,78,273,21,78,True,False,False
1000000000001491,12,272,3,12,True,False,False
1000000000001503,48,273,13,48,True,False,False
1000000000001551,66,272,17,66,True,False,False
1000000000001617,6,273,2,6,True,False,False
1000000000001623,46,273,12,46,True,False,False
1000000000001669,72,273,19,72,True,False,False
1000000000001741,8,273,3,8,True,False,False
1000000000001749,70,273,18,70,True,False,False
1000000000001819,20,273,6,20,True,False,False
1000000000001839,28,273,7,28,True,False,False
1000000000001867,30,273,8,30,True,False,False
1000000000001897,140,273,37,140,True,False,False
1000000000002037,124,273,33,124,True,False,False
1000000000002161,32,273,9,32,True,False,False
1000000000002193,36,273,10,36,True,False,False
1000000000002229,18,273,4,18,True,False,False
1000000000002247,4,273,1,4,True,False,False
1000000000002251,8,273,3,8,True,False,False
1000000000002259,54,273,14,54,True,False,False
1000000000002313,34,273,9,34,True,False,False
1000000000002347,24,273,6,24,True,False,False
1000000000002371,2,273,1,2,True,False,False
1000000000002373,84,273,22,84,True,False,False
1000000000002457,10,273,3,10,True,False,False
1000000000002467,6,273,2,6,True,False,False
1000000000002473,30,272,8,30,True,False,False
1000000000002503,14,272,3,14,True,False,False
1000000000002517,34,273,9,34,True,False,False
1000000000002551,8,273,3,8,True,False,False
1000000000002559,40,273,10,40,True,False,False
1000000000002599,30,273,8,30,True,False,False
1000000000002629,38,273,10,38,True,False,False
1000000000002667,6,273,2,6,True,False,False
1000000000002673,10,273,3,10,True,False,False
1000000000002683,84,272,22,84,True,False,False
1000000000002767,2,273,1,2,True,False,False
1000000000002769,22,273,5,22,True,False,False
1000000000002791,6,273,2,6,True,False,False
1000000000002797,2,273,1,2,True,False,False
1000000000002799,22,273,5,22,True,False,False
1000000000002821,110,273,30,110,True,False,False
1000000000002931,16,272,4,16,True,False,False
1000000000002947,30,273,8,30,True,False,False
1000000000002977,24,273,6,24,True,False,False
1000000000003001,2,273,1,2,True,False,False
1000000000003003,6,273,2,6,True,False,False
1000000000003009,10,273,2,10,True,False,False
1000000000003019,30,273,8,30,True,False,False
1000000000003049,104,273,28,104,True,False,False
1000000000003153,10,273,3,10,True,False,False
1000000000003163,26,272,7,26,True,False,False
1000000000003189,58,273,15,58,True,False,False
1000000000003247,20,273,5,20,True,False,False
1000000000003267,42,273,12,42,True,False,False
1000000000003309,48,273,12,48,True,False,False
1000000000003357,66,273,18,66,True,False,False
1000000000003423,34,273,9,34,True,False,False
1000000000003457,26,273,7,26,True,False,False
1000000000003483,166,273,44,166,True,False,False
1000000000003649,32,273,9,32,True,False,False
1000000000003681,22,272,6,22,True,False,False
1000000000003703,128,272,34,128,True,False,False
1000000000003831,10,272,2,10,True,False,False
1000000000003841,30,273,8,30,True,False,False
1000000000003871,12,273,4,12,True,False,False
1000000000003883,8,272,2,8,True,False,False
1000000000003891,22,272,6,22,True,False,False
1000000000003913,24,272,6,24,True,False,False
1000000000003937,32,273,9,32,True,False,False
1000000000003969,52,273,13,52,True,False,False
1000000000004021,86,273,23,86,True,False,False
1000000000004107,60,273,16,60,True,False,False
1000000000004167,82,273,22,82,True,False,False
1000000000004249,2,273,1,2,True,False,False
1000000000004251,136,272,36,136,True,False,False
1000000000004387,20,273,5,20,True,False,False
1000000000004407,22,273,6,22,True,False,False
1000000000004429,12,273,3,12,True,False,False
1000000000004441,8,273,3,8,True,False,False
1000000000004449,28,273,7,28,True,False,False
1000000000004477,90,273,24,90,True,False,False
1000000000004567,30,273,8,30,True,False,False
1000000000004597,54,273,14,54,True,False,False
1000000000004651,8,273,3,8,True,False,False
1000000000004659,84,273,22,84,True,False,False
1000000000004743,6,273,2,6,True,False,False
1000000000004749,18,273,4,18,True,False,False
