anchor_p,actual_offset,candidate_count,tested_count,emitted_offset,exact_match,false_emit,candidate_bound_miss
100000000000005631,28,272,7,28,True,False,False
100000000000005659,2,273,1,2,True,False,False
100000000000005661,76,272,20,76,True,False,False
100000000000005737,24,273,6,24,True,False,False
100000000000005761,6,273,2,6,True,False,False
100000000000005767,6,273,2,6,True,False,False
100000000000005773,78,272,20,78,True,False,False
100000000000005851,26,273,7,26,True,False,False
100000000000005877,36,273,10,36,True,False,False
100000000000005913,16,273,4,16,True,False,False
100000000000005929,18,273,5,18,True,False,False
100000000000005947,66,273,18,66,True,False,False
100000000000006013,18,272,4,18,True,False,False
100000000000006031,30,273,8,30,True,False,False
100000000000006061,42,273,12,42,True,False,False
100000000000006103,86,272,23,86,True,False,False
100000000000006189,28,273,7,28,True,False,False
100000000000006217,24,273,6,24,True,False,False
100000000000006241,62,273,17,62,True,False,False
100000000000006303,10,273,3,10,True,False,False
100000000000006313,36,272,9,36,True,False,False
100000000000006349,110,273,30,110,True,False,False
100000000000006459,12,273,3,12,True,False,False
100000000000006471,22,272,6,22,True,False,False
100000000000006493,14,272,3,14,True,False,False
100000000000006507,42,273,12,42,True,False,False
100000000000006549,10,273,2,10,True,False,False
100000000000006559,18,273,5,18,True,False,False
100000000000006577,66,273,18,66,True,False,False
100000000000006643,38,272,10,38,True,False,False
100000000000006681,28,272,7,28,True,False,False
100000000000006709,32,273,9,32,True,False,False
100000000000006741,18,272,5,18,True,False,False
100000000000006759,24,273,6,24,True,False,False
100000000000006783,40,273,11,40,True,False,False
100000000000006823,8,272,2,8,True,False,False
100000000000006831,22,272,6,22,True,False,False
100000000000006853,36,272,9,36,True,False,False
100000000000006889,32,273,9,32,True,False,False
100000000000006921,48,272,13,48,True,False,False
100000000000006969,22,273,5,22,True,False,False
100000000000006991,48,273,13,48,True,False,False
100000000000007039,18,273,5,18,True,False,False
100000000000007057,42,273,11,42,True,False,False
100000000000007099,42,273,11,42,True,False,False
100000000000007141,26,273,7,26,True,False,False
100000000000007167,4,273,1,4,True,False,False
100000000000007171,26,273,7,26,True,False,False
100000000000007197,4,273,1,4,True,False,False
100000000000007201,2,273,1,2,True,False,False
100000000000007203,66,273,18,66,True,False,False
100000000000007269,12,273,3,12,True,False,False
100000000000007281,52,272,14,52,True,False,False
100000000000007333,48,272,12,48,True,False,False
100000000000007381,152,273,41,152,True,False,False
100000000000007533,4,273,1,4,True,False,False
100000000000007537,56,273,15,56,True,False,False
100000000000007593,66,273,18,66,True,False,False
100000000000007659,94,273,25,94,True,False,False
100000000000007753,38,272,10,38,True,False,False
100000000000007791,118,272,31,118,True,False,False
100000000000007909,98,273,26,98,True,False,False
100000000000008007,34,273,9,34,True,False,False
100000000000008041,30,273,8,30,True,False,False
100000000000008071,38,273,11,38,True,False,False
100000000000008109,72,273,19,72,True,False,False
100000000000008181,22,272,6,22,True,False,False
100000000000008203,120,272,32,120,True,False,False
100000000000008323,80,272,21,80,True,False,False
100000000000008403,28,273,7,28,True,False,False
100000000000008431,12,273,4,12,True,False,False
100000000000008443,194,272,51,194,True,False,False
100000000000008637,46,273,13,46,True,False,False
100000000000008683,24,272,6,24,True,False,False
100000000000008707,42,273,11,42,True,False,False
100000000000008749,18,273,5,18,True,False,False
100000000000008767,24,273,6,24,True,False,False
100000000000008791,86,273,23,86,True,False,False
100000000000008877,66,273,18,66,True,False,False
100000000000008943,48,273,13,48,True,False,False
100000000000008991,12,272,3,12,True,False,False
100000000000009003,34,273,9,34,True,False,False
100000000000009037,74,273,20,74,True,False,False
100000000000009111,16,272,4,16,True,False,False
100000000000009127,32,273,9,32,True,False,False
100000000000009159,94,273,25,94,True,False,False
100000000000009253,14,272,3,14,True,False,False
100000000000009267,6,273,2,6,True,False,False
100000000000009273,30,273,8,30,True,False,False
100000000000009303,28,273,7,28,True,False,False
100000000000009331,8,273,3,8,True,False,False
100000000000009339,54,273,14,54,True,False,False
100000000000009393,18,273,5,18,True,False,False
100000000000009411,16,272,4,16,True,False,False
100000000000009427,54,273,14,54,True,False,False
100000000000009481,50,273,14,50,True,False,False
100000000000009531,16,272,4,16,True,False,False
100000000000009547,26,273,7,26,True,False,False
100000000000009573,34,273,9,34,True,False,False
100000000000009607,50,273,13,50,True,False,False
100000000000009657,16,273,5,16,True,False,False
100000000000009673,18,272,4,18,True,False,False
100000000000009691,32,273,9,32,True,False,False
100000000000009723,18,273,5,18,True,False,False
100000000000009741,16,272,4,16,True,False,False
100000000000009757,6,273,2,6,True,False,False
