anchor_p,actual_offset,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected,candidate_bound_miss
100000000000004389,124,273,242,31,1,30,False,False,False,False
100000000000004513,78,272,242,30,1,29,False,False,False,False
100000000000004591,12,273,241,32,1,31,False,False,False,False
100000000000004603,24,272,241,31,1,30,False,False,False,False
100000000000004627,20,273,242,31,1,30,False,False,False,False
100000000000004647,4,273,272,1,1,0,True,True,False,False
100000000000004651,42,273,242,31,1,30,False,False,False,False
100000000000004693,18,272,242,30,1,29,False,False,False,False
100000000000004711,12,273,272,1,1,0,True,True,False,False
100000000000004723,20,272,243,29,1,28,False,False,False,False
100000000000004743,34,273,243,30,1,29,False,False,False,False
100000000000004777,54,273,243,30,1,29,False,False,False,False
100000000000004831,6,273,243,30,1,29,False,False,False,False
100000000000004837,14,273,244,29,1,28,False,False,False,False
100000000000004851,28,272,244,28,1,27,False,False,False,False
100000000000004879,20,273,245,28,1,27,False,False,False,False
100000000000004899,88,273,245,28,1,27,False,False,False,False
100000000000004987,26,273,244,29,1,28,False,False,False,False
100000000000005013,10,273,243,30,1,29,False,False,False,False
100000000000005023,24,272,243,29,1,28,False,False,False,False
100000000000005047,20,273,272,1,1,0,True,True,False,False
100000000000005067,34,273,245,28,1,27,False,False,False,False
100000000000005101,128,273,245,28,1,27,False,False,False,False
100000000000005229,10,273,243,30,1,29,False,False,False,False
100000000000005239,50,273,244,29,1,28,False,False,False,False
100000000000005289,18,273,243,30,1,29,False,False,False,False
100000000000005307,24,273,272,1,1,0,True,True,False,False
100000000000005331,18,272,243,29,1,28,False,False,False,False
100000000000005349,10,273,245,28,1,27,False,False,False,False
100000000000005359,8,273,272,1,1,0,True,True,False,False
100000000000005367,30,273,247,26,1,25,False,False,False,False
100000000000005397,160,273,248,25,1,24,False,False,False,False
100000000000005557,12,273,242,31,1,30,False,False,False,False
100000000000005569,8,273,272,1,1,0,True,True,False,False
100000000000005577,54,273,244,29,1,28,False,False,False,False
100000000000005631,28,272,243,29,1,28,False,False,False,False
100000000000005659,2,273,272,1,1,0,True,True,False,False
100000000000005661,76,272,244,28,1,27,False,False,False,False
100000000000005737,24,273,243,30,1,29,False,False,False,False
100000000000005761,6,273,271,2,1,1,False,False,False,False
100000000000005767,6,273,272,1,1,0,True,True,False,False
100000000000005773,78,272,244,28,1,27,False,False,False,False
100000000000005851,26,273,243,30,1,29,False,False,False,False
100000000000005877,36,273,243,30,1,29,False,False,False,False
100000000000005913,16,273,243,30,1,29,False,False,False,False
100000000000005929,18,273,244,29,1,28,False,False,False,False
100000000000005947,66,273,244,29,1,28,False,False,False,False
100000000000006013,18,272,271,1,1,0,True,True,False,False
