anchor_p,actual_offset,candidate_count,tested_count,emitted_offset,exact_match,false_emit,candidate_bound_miss
1000000007,2,273,1,2,True,False,False
1000000009,12,273,3,12,True,False,False
1000000021,12,272,3,12,True,False,False
1000000033,54,273,14,54,True,False,False
1000000087,6,273,2,6,True,False,False
1000000093,4,273,1,4,True,False,False
1000000097,6,273,2,6,True,False,False
1000000103,20,272,5,20,True,False,False
1000000123,58,273,15,58,True,False,False
1000000181,26,273,7,26,True,False,False
1000000207,16,273,5,16,True,False,False
1000000223,18,272,4,18,True,False,False
1000000241,30,273,8,30,True,False,False
1000000271,18,273,5,18,True,False,False
1000000289,8,273,2,8,True,False,False
1000000297,24,273,7,24,True,False,False
1000000321,28,272,7,28,True,False,False
1000000349,14,273,4,14,True,False,False
1000000363,40,273,11,40,True,False,False
1000000403,6,272,1,6,True,False,False
1000000409,2,273,1,2,True,False,False
1000000411,16,272,4,16,True,False,False
1000000427,6,273,2,6,True,False,False
1000000433,6,272,1,6,True,False,False
1000000439,8,273,2,8,True,False,False
1000000447,6,273,2,6,True,False,False
1000000453,6,273,2,6,True,False,False
1000000459,24,273,6,24,True,False,False
1000000483,30,273,8,30,True,False,False
1000000513,18,273,5,18,True,False,False
1000000531,48,272,13,48,True,False,False
1000000579,28,273,7,28,True,False,False
1000000607,6,273,2,6,True,False,False
1000000613,24,272,6,24,True,False,False
1000000637,26,273,7,26,True,False,False
1000000663,48,273,13,48,True,False,False
1000000711,42,272,11,42,True,False,False
1000000753,34,273,9,34,True,False,False
1000000787,14,273,4,14,True,False,False
1000000801,28,272,7,28,True,False,False
1000000829,32,273,9,32,True,False,False
1000000861,10,272,2,10,True,False,False
1000000871,20,273,6,20,True,False,False
1000000891,10,272,2,10,True,False,False
1000000901,18,273,5,18,True,False,False
1000000919,12,273,3,12,True,False,False
1000000931,2,273,1,2,True,False,False
1000000933,60,273,16,60,True,False,False
1000000993,18,273,5,18,True,False,False
1000001011,10,272,2,10,True,False,False
1000001021,32,273,9,32,True,False,False
1000001053,34,273,9,34,True,False,False
1000001087,12,273,3,12,True,False,False
1000001099,38,273,10,38,True,False,False
1000001137,24,273,7,24,True,False,False
1000001161,42,272,11,42,True,False,False
1000001203,10,273,3,10,True,False,False
1000001213,24,272,6,24,True,False,False
1000001237,26,273,7,26,True,False,False
1000001263,6,273,2,6,True,False,False
1000001269,4,273,1,4,True,False,False
1000001273,6,272,1,6,True,False,False
1000001279,32,273,9,32,True,False,False
1000001311,18,272,5,18,True,False,False
1000001329,4,273,1,4,True,False,False
1000001333,18,272,4,18,True,False,False
1000001351,20,273,6,20,True,False,False
1000001371,22,272,6,22,True,False,False
1000001393,20,272,5,20,True,False,False
1000001413,34,273,9,34,True,False,False
1000001447,2,273,1,2,True,False,False
1000001449,42,273,11,42,True,False,False
1000001491,10,272,2,10,True,False,False
1000001501,30,273,8,30,True,False,False
1000001531,6,273,2,6,True,False,False
1000001537,2,273,1,2,True,False,False
1000001539,42,273,11,42,True,False,False
1000001581,36,272,9,36,True,False,False
1000001617,4,273,1,4,True,False,False
1000001621,12,273,4,12,True,False,False
1000001633,14,272,3,14,True,False,False
1000001647,16,273,5,16,True,False,False
1000001663,14,272,3,14,True,False,False
1000001677,22,273,6,22,True,False,False
1000001699,60,273,16,60,True,False,False
1000001759,14,273,4,14,True,False,False
1000001773,16,273,4,16,True,False,False
1000001789,2,273,1,2,True,False,False
1000001791,10,272,2,10,True,False,False
1000001801,2,273,1,2,True,False,False
1000001803,16,273,4,16,True,False,False
1000001819,38,273,10,38,True,False,False
1000001857,30,273,8,30,True,False,False
1000001887,30,273,8,30,True,False,False
1000001917,10,273,3,10,True,False,False
1000001927,30,273,8,30,True,False,False
1000001957,6,273,2,6,True,False,False
1000001963,6,272,1,6,True,False,False
1000001969,74,273,20,74,True,False,False
1000002043,46,273,12,46,True,False,False
1000002089,14,273,4,14,True,False,False
1000002103,36,273,10,36,True,False,False
1000002139,10,273,2,10,True,False,False
1000002149,12,273,3,12,True,False,False
1000002161,12,273,4,12,True,False,False
1000002173,14,272,3,14,True,False,False
1000002187,6,273,2,6,True,False,False
1000002193,40,273,11,40,True,False,False
1000002233,6,272,1,6,True,False,False
1000002239,38,273,10,38,True,False,False
1000002277,30,273,8,30,True,False,False
1000002307,52,273,14,52,True,False,False
1000002359,2,273,1,2,True,False,False
1000002361,70,272,18,70,True,False,False
1000002431,18,273,5,18,True,False,False
1000002449,8,273,2,8,True,False,False
1000002457,42,273,12,42,True,False,False
1000002499,72,273,19,72,True,False,False
1000002571,10,272,2,10,True,False,False
1000002581,26,273,7,26,True,False,False
1000002607,24,273,7,24,True,False,False
1000002631,6,272,1,6,True,False,False
1000002637,12,273,4,12,True,False,False
1000002649,18,273,4,18,True,False,False
1000002667,60,273,16,60,True,False,False
1000002727,64,273,17,64,True,False,False
1000002791,12,273,4,12,True,False,False
1000002803,18,272,4,18,True,False,False
1000002821,2,273,1,2,True,False,False
1000002823,4,273,1,4,True,False,False
1000002827,80,273,21,80,True,False,False
1000002907,30,273,8,30,True,False,False
1000002937,52,273,14,52,True,False,False
1000002989,20,273,6,20,True,False,False
1000003009,4,273,1,4,True,False,False
1000003013,38,272,10,38,True,False,False
1000003051,6,272,1,6,True,False,False
1000003057,40,273,11,40,True,False,False
1000003097,14,273,4,14,True,False,False
1000003111,22,272,6,22,True,False,False
1000003133,20,272,5,20,True,False,False
1000003153,4,273,1,4,True,False,False
1000003157,6,273,2,6,True,False,False
1000003163,48,272,12,48,True,False,False
1000003211,30,273,8,30,True,False,False
1000003241,6,273,2,6,True,False,False
1000003247,6,273,2,6,True,False,False
1000003253,14,272,3,14,True,False,False
1000003267,4,273,1,4,True,False,False
1000003271,2,273,1,2,True,False,False
1000003273,10,273,3,10,True,False,False
1000003283,26,272,7,26,True,False,False
1000003309,28,273,7,28,True,False,False
1000003337,14,273,4,14,True,False,False
1000003351,6,272,1,6,True,False,False
1000003357,16,273,5,16,True,False,False
1000003373,6,272,1,6,True,False,False
1000003379,18,273,5,18,True,False,False
1000003397,72,273,19,72,True,False,False
1000003469,2,273,1,2,True,False,False
1000003471,42,272,11,42,True,False,False
1000003513,6,273,2,6,True,False,False
1000003519,40,273,10,40,True,False,False
1000003559,18,273,5,18,True,False,False
1000003577,2,273,1,2,True,False,False
1000003579,22,273,5,22,True,False,False
1000003601,20,273,6,20,True,False,False
1000003621,22,272,6,22,True,False,False
1000003643,8,272,2,8,True,False,False
1000003651,12,272,3,12,True,False,False
1000003663,16,273,4,16,True,False,False
1000003679,30,273,8,30,True,False,False
1000003709,38,273,10,38,True,False,False
1000003747,4,273,1,4,True,False,False
1000003751,18,273,5,18,True,False,False
1000003769,8,273,2,8,True,False,False
1000003777,10,273,3,10,True,False,False
1000003787,6,273,2,6,True,False,False
1000003793,50,272,13,50,True,False,False
1000003843,10,273,3,10,True,False,False
1000003853,18,272,4,18,True,False,False
1000003871,18,273,5,18,True,False,False
1000003889,2,273,1,2,True,False,False
1000003891,18,272,5,18,True,False,False
1000003909,10,273,2,10,True,False,False
1000003919,12,273,3,12,True,False,False
1000003931,20,273,6,20,True,False,False
1000003951,6,272,1,6,True,False,False
1000003957,10,273,3,10,True,False,False
1000003967,20,273,5,20,True,False,False
1000003987,12,273,4,12,True,False,False
1000003999,24,273,6,24,True,False,False
1000004023,36,273,10,36,True,False,False
1000004059,40,273,10,40,True,False,False
1000004099,20,273,6,20,True,False,False
1000004119,4,273,1,4,True,False,False
1000004123,84,272,22,84,True,False,False
1000004207,26,273,7,26,True,False,False
1000004233,16,273,4,16,True,False,False
1000004249,2,273,1,2,True,False,False
1000004251,12,272,3,12,True,False,False
1000004263,58,273,15,58,True,False,False
1000004321,8,273,3,8,True,False,False
1000004329,52,273,13,52,True,False,False
1000004381,8,273,3,8,True,False,False
1000004389,48,273,12,48,True,False,False
1000004437,12,273,4,12,True,False,False
1000004449,10,273,2,10,True,False,False
1000004459,38,273,10,38,True,False,False
1000004497,10,273,3,10,True,False,False
1000004507,12,273,3,12,True,False,False
1000004519,20,273,6,20,True,False,False
1000004539,28,273,7,28,True,False,False
1000004567,2,273,1,2,True,False,False
1000004569,12,273,3,12,True,False,False
1000004581,28,272,7,28,True,False,False
1000004609,2,273,1,2,True,False,False
1000004611,16,272,4,16,True,False,False
1000004627,6,273,2,6,True,False,False
1000004633,14,272,3,14,True,False,False
1000004647,46,273,13,46,True,False,False
1000004693,6,272,1,6,True,False,False
1000004699,18,273,5,18,True,False,False
1000004717,54,273,14,54,True,False,False
1000004771,6,273,2,6,True,False,False
1000004777,6,273,2,6,True,False,False
1000004783,8,272,2,8,True,False,False
1000004791,16,272,4,16,True,False,False
1000004807,32,273,9,32,True,False,False
1000004839,4,273,1,4,True,False,False
1000004843,6,272,1,6,True,False,False
1000004849,8,273,2,8,True,False,False
1000004857,10,273,3,10,True,False,False
1000004867,2,273,1,2,True,False,False
1000004869,22,273,5,22,True,False,False
1000004891,2,273,1,2,True,False,False
1000004893,4,273,1,4,True,False,False
1000004897,30,273,8,30,True,False,False
1000004927,6,273,2,6,True,False,False
1000004933,44,272,11,44,True,False,False
1000004977,4,273,1,4,True,False,False
1000004981,20,273,6,20,True,False,False
1000005001,28,272,7,28,True,False,False
1000005029,24,273,7,24,True,False,False
1000005053,14,272,3,14,True,False,False
1000005067,36,273,10,36,True,False,False
1000005103,30,273,8,30,True,False,False
1000005133,54,273,14,54,True,False,False
1000005187,10,273,3,10,True,False,False
1000005197,6,273,2,6,True,False,False
1000005203,30,272,8,30,True,False,False
1000005233,44,272,11,44,True,False,False
1000005277,10,273,3,10,True,False,False
1000005287,12,273,3,12,True,False,False
1000005299,18,273,5,18,True,False,False
1000005317,12,273,3,12,True,False,False
