scale,p,chain_seed,q,chain_position_selected,has_false_preterminal_nodes,gwr_status,gwr_recovered_q,matches_terminal_q,error
1000000000000,999999994517,999999994531,999999994579,2,True,ok,999999994579,True,
1000000000000,999999994471,999999994481,999999994493,1,False,ok,999999994493,True,
1000000000000,999999994457,999999994459,999999994463,1,False,ok,999999994463,True,
1000000000000,999999994379,999999994381,999999994403,2,True,ok,999999994403,True,
1000000000000,999999994361,999999994363,999999994379,1,False,ok,999999994379,True,
1000000000000,999999994319,999999994339,999999994361,2,True,ok,999999994361,True,
1000000000000,999999994127,999999994159,999999994163,1,False,ok,999999994163,True,
1000000000000,999999994087,999999994111,999999994117,1,False,ok,999999994117,True,
1000000000000,999999994009,999999994043,999999994087,3,True,ok,999999994087,True,
1000000000000,999999993929,999999993953,999999994009,3,True,ok,999999994009,True,
1000000000000,999999993871,999999993877,999999993899,3,True,ok,999999993899,True,
1000000000000,999999993793,999999993841,999999993847,1,False,ok,999999993847,True,
1000000000000,999999993749,999999993757,999999993763,1,False,ok,999999993763,True,
1000000000000,999999993653,999999993689,999999993749,3,True,ok,999999993749,True,
1000000000000,999999993481,999999993523,999999993557,1,False,ok,999999993557,True,
1000000000000,999999993389,999999993437,999999993467,1,False,ok,999999993467,True,
1000000000000,999999993361,999999993371,999999993389,2,True,ok,999999993389,True,
1000000000000,999999993287,999999993301,999999993361,2,True,ok,999999993361,True,
1000000000000,999999993259,999999993263,999999993287,1,False,ok,999999993287,True,
1000000000000,999999992977,999999992987,999999993029,1,False,ok,999999993029,True,
1000000000000,999999992941,999999992947,999999992977,1,False,ok,999999992977,True,
1000000000000,999999992843,999999992911,999999992941,2,True,ok,999999992941,True,
1000000000000,999999992743,999999992749,999999992843,4,True,ok,999999992843,True,
1000000000000,999999992647,999999992653,999999992731,4,True,ok,999999992731,True,
1000000000000,999999992539,999999992567,999999992611,2,True,ok,999999992611,True,
1000000000000,999999992447,999999992461,999999992531,3,True,ok,999999992531,True,
1000000000000000,999999999999989,1000000000000003,1000000000000037,3,True,ok,1000000000000037,True,
1000000000000000,999999999999947,999999999999967,999999999999989,1,False,ok,999999999999989,True,
1000000000000000,999999999999883,999999999999893,999999999999947,2,True,ok,999999999999947,True,
1000000000000000,999999999999877,999999999999881,999999999999883,1,False,ok,999999999999883,True,
1000000000000000,999999999999827,999999999999839,999999999999877,2,True,ok,999999999999877,True,
1000000000000000,999999999999809,999999999999817,999999999999827,1,False,ok,999999999999827,True,
1000000000000000,999999999999577,999999999999599,999999999999643,3,True,ok,999999999999643,True,
1000000000000000,999999999999521,999999999999551,999999999999571,1,False,ok,999999999999571,True,
1000000000000000,999999999999409,999999999999421,999999999999491,4,True,ok,999999999999491,True,
1000000000000000,999999999999353,999999999999361,999999999999389,2,True,ok,999999999999389,True,
1000000000000000,999999999999283,999999999999307,999999999999353,3,True,ok,999999999999353,True,
1000000000000000,999999999999199,999999999999271,999999999999283,2,True,ok,999999999999283,True,
1000000000000000,999999999999163,999999999999191,999999999999199,1,False,ok,999999999999199,True,
1000000000000000,999999999999109,999999999999113,999999999999163,3,True,ok,999999999999163,True,
1000000000000000,999999999999071,999999999999079,999999999999089,1,False,ok,999999999999089,True,
1000000000000000,999999999998939,999999999998953,999999999999043,2,True,ok,999999999999043,True,
1000000000000000,999999999998803,999999999998807,999999999998861,1,False,ok,999999999998861,True,
1000000000000000,999999999998761,999999999998771,999999999998803,2,True,ok,999999999998803,True,
1000000000000000,999999999998743,999999999998749,999999999998761,1,False,ok,999999999998761,True,
1000000000000000,999999999998711,999999999998723,999999999998729,1,False,error,,False,"ValueError: no d=6 witness exists in [999999999998723, 999999999998729)"
1000000000000000,999999999998627,999999999998641,999999999998711,4,True,ok,999999999998711,True,
1000000000000000,999999999998563,999999999998579,999999999998581,1,False,ok,999999999998581,True,
1000000000000000,999999999998533,999999999998537,999999999998563,1,False,ok,999999999998563,True,
1000000000000000,999999999998437,999999999998459,999999999998533,3,True,ok,999999999998533,True,
1000000000000000,999999999998411,999999999998423,999999999998437,1,False,error,,False,"ValueError: no d=4 witness exists in [999999999998423, 999999999998437)"
1000000000000000,999999999998353,999999999998369,999999999998383,1,False,ok,999999999998383,True,
1000000000000000,999999999998267,999999999998269,999999999998353,4,True,ok,999999999998353,True,
1000000000000000,999999999998231,999999999998243,999999999998267,1,False,ok,999999999998267,True,
1000000000000000,999999999998161,999999999998177,999999999998231,1,False,ok,999999999998231,True,
1000000000000000,999999999998141,999999999998143,999999999998161,2,True,ok,999999999998161,True,
1000000000000000,999999999998053,999999999998089,999999999998141,3,True,ok,999999999998141,True,
1000000000000000,999999999998039,999999999998047,999999999998053,1,False,ok,999999999998053,True,
1000000000000000,999999999998003,999999999998011,999999999998039,1,False,ok,999999999998039,True,
1000000000000000,999999999997969,999999999997981,999999999997993,1,False,ok,999999999997993,True,
1000000000000000,999999999997841,999999999997919,999999999997967,2,True,ok,999999999997967,True,
1000000000000000,999999999997771,999999999997781,999999999997811,2,True,ok,999999999997811,True,
1000000000000000,999999999997729,999999999997753,999999999997771,1,False,ok,999999999997771,True,
1000000000000000,999999999997699,999999999997711,999999999997729,1,False,ok,999999999997729,True,
1000000000000000,999999999997613,999999999997667,999999999997697,2,True,ok,999999999997697,True,
1000000000000000,999999999997573,999999999997577,999999999997613,1,False,ok,999999999997613,True,
1000000000000000,999999999997517,999999999997543,999999999997573,2,True,ok,999999999997573,True,
1000000000000000,999999999997337,999999999997367,999999999997463,5,True,ok,999999999997463,True,
1000000000000000,999999999997307,999999999997321,999999999997337,1,False,ok,999999999997337,True,
1000000000000000,999999999997099,999999999997121,999999999997153,3,True,ok,999999999997153,True,
1000000000000000,999999999997043,999999999997049,999999999997087,2,True,ok,999999999997087,True,
1000000000000000,999999999997003,999999999997007,999999999997043,2,True,ok,999999999997043,True,
1000000000000000,999999999996869,999999999996871,999999999996983,4,True,ok,999999999996983,True,
1000000000000000,999999999996493,999999999996533,999999999996583,4,True,ok,999999999996583,True,
1000000000000000,999999999996313,999999999996359,999999999996409,3,True,ok,999999999996409,True,
1000000000000000,999999999996293,999999999996307,999999999996311,1,False,error,,False,"ValueError: no d=4 witness exists in [999999999996307, 999999999996311)"
1000000000000000,999999999996181,999999999996199,999999999996253,1,False,ok,999999999996253,True,
1000000000000000,999999999996149,999999999996161,999999999996181,1,False,ok,999999999996181,True,
1000000000000000,999999999996083,999999999996089,999999999996149,5,True,ok,999999999996149,True,
1000000000000000,999999999995879,999999999995897,999999999995911,2,True,ok,999999999995911,True,
1000000000000000,999999999995851,999999999995861,999999999995879,1,False,ok,999999999995879,True,
1000000000000000,999999999995743,999999999995761,999999999995797,2,True,ok,999999999995797,True,
1000000000000000,999999999995629,999999999995651,999999999995669,1,False,ok,999999999995669,True,
1000000000000000,999999999995587,999999999995593,999999999995627,3,True,ok,999999999995627,True,
1000000000000000,999999999995539,999999999995543,999999999995567,1,False,ok,999999999995567,True,
1000000000000000,999999999995471,999999999995509,999999999995539,3,True,ok,999999999995539,True,
1000000000000000,999999999995453,999999999995461,999999999995471,1,False,ok,999999999995471,True,
1000000000000000,999999999995393,999999999995431,999999999995453,2,True,ok,999999999995453,True,
1000000000000000,999999999995371,999999999995389,999999999995393,1,False,ok,999999999995393,True,
1000000000000000,999999999995357,999999999995369,999999999995371,1,False,ok,999999999995371,True,
1000000000000000,999999999995327,999999999995329,999999999995357,1,False,ok,999999999995357,True,
1000000000000000,999999999995273,999999999995281,999999999995327,3,True,ok,999999999995327,True,
1000000000000000,999999999995179,999999999995197,999999999995273,3,True,ok,999999999995273,True,
1000000000000000,999999999995089,999999999995123,999999999995179,2,True,ok,999999999995179,True,
1000000000000000,999999999995021,999999999995047,999999999995069,2,True,ok,999999999995069,True,
1000000000000000,999999999994991,999999999995011,999999999995021,1,False,ok,999999999995021,True,
1000000000000000,999999999994901,999999999994913,999999999994991,4,True,ok,999999999994991,True,
1000000000000000,999999999994829,999999999994841,999999999994873,2,True,ok,999999999994873,True,
1000000000000000,999999999994813,999999999994823,999999999994829,1,False,ok,999999999994829,True,
1000000000000000,999999999994733,999999999994739,999999999994789,3,True,ok,999999999994789,True,
1000000000000000,999999999994687,999999999994711,999999999994727,1,False,ok,999999999994727,True,
1000000000000000,999999999994601,999999999994621,999999999994627,1,False,ok,999999999994627,True,
1000000000000000,999999999994511,999999999994519,999999999994537,1,False,ok,999999999994537,True,
1000000000000000,999999999994477,999999999994507,999999999994511,1,False,ok,999999999994511,True,
1000000000000000,999999999994451,999999999994453,999999999994477,3,True,ok,999999999994477,True,
1000000000000000,999999999994417,999999999994439,999999999994451,1,False,ok,999999999994451,True,
1000000000000000,999999999994379,999999999994381,999999999994417,4,True,ok,999999999994417,True,
1000000000000000,999999999994319,999999999994339,999999999994379,1,False,ok,999999999994379,True,
1000000000000000,999999999994267,999999999994279,999999999994309,1,False,ok,999999999994309,True,
1000000000000000,999999999994213,999999999994241,999999999994243,1,False,ok,999999999994243,True,
1000000000000000,999999999994129,999999999994169,999999999994207,2,True,ok,999999999994207,True,
1000000000000000,999999999994103,999999999994111,999999999994117,1,False,ok,999999999994117,True,
1000000000000000,999999999994063,999999999994067,999999999994103,3,True,ok,999999999994103,True,
1000000000000000,999999999993977,999999999993983,999999999994043,3,True,ok,999999999994043,True,
1000000000000000,999999999993937,999999999993961,999999999993971,1,False,ok,999999999993971,True,
1000000000000000,999999999993791,999999999993809,999999999993881,1,False,ok,999999999993881,True,
1000000000000000,999999999993727,999999999993733,999999999993791,1,False,ok,999999999993791,True,
1000000000000000,999999999993653,999999999993677,999999999993689,1,False,ok,999999999993689,True,
1000000000000000,999999999993629,999999999993637,999999999993649,1,False,ok,999999999993649,True,
1000000000000000,999999999993583,999999999993607,999999999993629,1,False,ok,999999999993629,True,
1000000000000000,999999999993557,999999999993563,999999999993569,1,False,ok,999999999993569,True,
1000000000000000,999999999993497,999999999993539,999999999993557,1,False,ok,999999999993557,True,
1000000000000000,999999999993473,999999999993479,999999999993497,2,True,ok,999999999993497,True,
1000000000000000,999999999993389,999999999993433,999999999993473,2,True,ok,999999999993473,True,
1000000000000000,999999999993331,999999999993349,999999999993377,1,False,ok,999999999993377,True,
1000000000000000,999999999993227,999999999993229,999999999993331,7,True,ok,999999999993331,True,
1000000000000000,999999999993217,999999999993221,999999999993227,2,True,ok,999999999993227,True,
1000000000000000,999999999993131,999999999993139,999999999993143,1,False,ok,999999999993143,True,
1000000000000000,999999999993109,999999999993121,999999999993131,1,False,ok,999999999993131,True,
1000000000000000,999999999993097,999999999993101,999999999993109,2,True,ok,999999999993109,True,
1000000000000000,999999999993089,999999999993091,999999999993097,1,False,ok,999999999993097,True,
1000000000000000,999999999993067,999999999993073,999999999993089,1,False,ok,999999999993089,True,
1000000000000000,999999999992999,999999999993011,999999999993067,4,True,ok,999999999993067,True,
1000000000000000,999999999992921,999999999992951,999999999992999,1,False,ok,999999999992999,True,
1000000000000000,999999999992659,999999999992663,999999999992687,1,False,ok,999999999992687,True,
1000000000000000,999999999992401,999999999992407,999999999992429,1,False,ok,999999999992429,True,
1000000000000000,999999999992339,999999999992351,999999999992353,1,False,ok,999999999992353,True,
1000000000000000,999999999992281,999999999992327,999999999992339,2,True,ok,999999999992339,True,
1000000000000000,999999999992143,999999999992177,999999999992197,1,False,ok,999999999992197,True,
1000000000000000,999999999992057,999999999992113,999999999992143,1,False,ok,999999999992143,True,
1000000000000000,999999999991973,999999999992023,999999999992041,2,True,ok,999999999992041,True,
1000000000000000,999999999991871,999999999991873,999999999991961,2,True,ok,999999999991961,True,
1000000000000000,999999999991823,999999999991831,999999999991847,2,True,ok,999999999991847,True,
1000000000000000,999999999991793,999999999991813,999999999991823,1,False,ok,999999999991823,True,
1000000000000000,999999999991697,999999999991703,999999999991721,1,False,ok,999999999991721,True,
1000000000000000,999999999991621,999999999991673,999999999991679,1,False,ok,999999999991679,True,
1000000000000000,999999999991523,999999999991549,999999999991621,2,True,ok,999999999991621,True,
