anchor_p,actual_offset,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected,candidate_bound_miss
10000000000037,14,273,238,35,1,34,False,False,False,False
10000000000051,48,272,238,34,1,33,False,False,False,False
10000000000099,30,273,238,35,1,34,False,False,False,False
10000000000129,54,273,238,35,1,34,False,False,False,False
10000000000183,76,273,235,38,1,37,False,False,False,False
10000000000259,8,273,272,1,1,0,True,True,False,False
10000000000267,6,273,232,41,1,40,False,False,False,False
10000000000273,6,273,271,2,1,1,False,False,False,False
10000000000279,4,273,272,1,1,0,True,True,False,False
10000000000283,30,272,234,38,1,37,False,False,False,False
10000000000313,30,272,234,38,1,37,False,False,False,False
10000000000343,48,272,232,40,1,39,False,False,False,False
10000000000391,20,273,233,40,1,39,False,False,False,False
10000000000411,22,272,233,39,1,38,False,False,False,False
10000000000433,20,272,232,40,1,39,False,False,False,False
10000000000453,138,273,233,40,1,39,False,False,False,False
10000000000591,18,272,228,44,1,43,False,False,False,False
10000000000609,34,273,228,45,1,44,False,False,False,False
10000000000643,6,272,227,45,1,44,False,False,False,False
10000000000649,8,273,228,45,1,44,False,False,False,False
10000000000657,30,273,228,45,1,44,False,False,False,False
10000000000687,4,273,228,45,1,44,False,False,False,False
10000000000691,26,273,229,44,1,43,False,False,False,False
10000000000717,12,273,230,43,1,42,False,False,False,False
10000000000729,22,273,230,43,1,42,False,False,False,False
10000000000751,8,273,272,1,1,0,True,True,False,False
10000000000759,18,273,231,42,1,41,False,False,False,False
10000000000777,76,273,232,41,1,40,False,False,False,False
10000000000853,30,272,229,43,1,42,False,False,False,False
10000000000883,60,272,229,43,1,42,False,False,False,False
10000000000943,14,272,229,43,1,42,False,False,False,False
10000000000957,30,273,230,43,1,42,False,False,False,False
10000000000987,6,273,272,1,1,0,True,True,False,False
10000000000993,18,273,272,1,1,0,True,True,False,False
10000000001011,12,272,229,43,1,42,False,False,False,False
10000000001023,64,273,231,42,1,41,False,False,False,False
10000000001087,6,273,272,1,1,0,True,True,False,False
10000000001093,48,272,225,47,1,46,False,False,False,False
10000000001141,20,273,225,48,1,47,False,False,False,False
10000000001161,16,272,271,1,1,0,True,True,False,False
10000000001177,14,273,226,47,1,46,False,False,False,False
10000000001191,16,272,226,46,1,45,False,False,False,False
10000000001207,32,273,227,46,1,45,False,False,False,False
10000000001239,22,273,272,1,1,0,True,True,False,False
10000000001261,6,273,228,45,1,44,False,False,False,False
10000000001267,2,273,272,1,1,0,True,True,False,False
10000000001269,22,273,230,43,1,42,False,False,False,False
10000000001291,18,273,272,1,1,0,True,True,False,False
10000000001309,30,273,231,42,1,41,False,False,False,False
10000000001339,8,273,271,2,1,1,False,False,False,False
10000000001347,4,273,272,1,1,0,True,True,False,False
10000000001351,48,273,232,41,1,40,False,False,False,False
10000000001399,38,273,229,44,1,43,False,False,False,False
10000000001437,4,273,229,44,1,43,False,False,False,False
10000000001441,20,273,229,44,1,43,False,False,False,False
10000000001461,28,272,229,43,1,42,False,False,False,False
10000000001489,32,273,229,44,1,43,False,False,False,False
10000000001521,6,272,271,1,1,0,True,True,False,False
