left_prime,right_prime,left_residue_mod30,right_residue_mod30,preceding_type_key,preceding_family,preceding_gap_width,following_type_key,following_family,following_gap_width,same_outer_family
3,5,3,5,,,,o2_d4_a1_even_semiprime,even_semiprime,2,
5,7,5,7,o4_d3_a1_prime_square,prime_square,2,o4_d3_a2_prime_square,prime_square,4,True
11,13,11,13,o4_d3_a2_prime_square,prime_square,4,o4_d4_a1_even_semiprime,even_semiprime,4,False
17,19,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a2_odd_semiprime,odd_semiprime,4,False
29,31,29,1,o6_d3_a2_prime_square,prime_square,6,o6_d4_a2_odd_semiprime,odd_semiprime,6,False
41,43,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,True
59,61,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,6,False
71,73,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a1_even_semiprime,even_semiprime,6,False
101,103,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a3_even_semiprime,even_semiprime,4,False
107,109,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d4_a2_odd_semiprime,odd_semiprime,4,False
137,139,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a2_odd_semiprime,odd_semiprime,10,True
149,151,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a4_odd_semiprime,odd_semiprime,6,True
179,181,29,1,o6_d4_a4_odd_semiprime,odd_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,10,True
191,193,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,10,o4_d4_a1_even_semiprime,even_semiprime,4,False
197,199,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a2_odd_semiprime,odd_semiprime,12,False
227,229,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
239,241,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a6_odd_semiprime,odd_semiprime,10,True
269,271,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,6,False
281,283,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d3_a6_prime_square,prime_square,10,False
311,313,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a1_even_semiprime,even_semiprime,4,False
347,349,17,19,o4_d4_a2_odd_semiprime,odd_semiprime,10,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
419,421,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a1_even_semiprime,even_semiprime,10,False
431,433,11,13,o6_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,6,False
461,463,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,True
521,523,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d3_a6_prime_square,prime_square,18,False
569,571,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
599,601,29,1,o6_d4_a4_odd_semiprime,odd_semiprime,6,o6_d6_a2_higher_divisor_odd,higher_divisor_odd,6,False
617,619,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,12,True
641,643,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,10,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
659,661,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,12,False
809,811,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a2_odd_semiprime,odd_semiprime,10,True
821,823,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,10,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
827,829,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a2_odd_semiprime,odd_semiprime,10,False
857,859,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a3_even_semiprime,even_semiprime,4,False
881,883,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,True
1019,1021,29,1,o6_d4_a5_even_semiprime,even_semiprime,6,o6_d4_a6_odd_semiprime,odd_semiprime,10,False
1031,1033,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
1049,1051,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a4_odd_semiprime,odd_semiprime,10,True
1061,1063,11,13,o6_d4_a4_odd_semiprime,odd_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
1091,1093,11,13,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,o4_d4_a1_even_semiprime,even_semiprime,4,False
1151,1153,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,22,o4_d4_a1_even_semiprime,even_semiprime,10,False
1229,1231,29,1,o6_d4_a3_even_semiprime,even_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,6,True
1277,1279,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,18,o4_d4_a3_even_semiprime,even_semiprime,4,False
1289,1291,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
1301,1303,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,False
1319,1321,29,1,o2_d4_a6_odd_semiprime,odd_semiprime,12,o6_d4_a1_even_semiprime,even_semiprime,6,False
1427,1429,17,19,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
1451,1453,11,13,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a1_even_semiprime,even_semiprime,6,False
1481,1483,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,10,o4_d4_a3_even_semiprime,even_semiprime,4,False
1487,1489,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d6_a3_higher_divisor_even,higher_divisor_even,4,False
1607,1609,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d6_a2_higher_divisor_odd,higher_divisor_odd,4,False
1619,1621,29,1,o6_d4_a5_even_semiprime,even_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,6,True
1667,1669,17,19,o4_d12_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d3_a12_prime_square,prime_square,24,False
1697,1699,17,19,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
1721,1723,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a3_even_semiprime,even_semiprime,10,False
1787,1789,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,12,False
1871,1873,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a1_even_semiprime,even_semiprime,4,False
1877,1879,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,10,True
1931,1933,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,18,o4_d4_a1_even_semiprime,even_semiprime,16,False
1949,1951,29,1,o4_d4_a1_even_semiprime,even_semiprime,16,o6_d4_a3_even_semiprime,even_semiprime,22,True
1997,1999,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
2027,2029,17,19,o4_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a2_odd_semiprime,odd_semiprime,10,False
2081,2083,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,False
2087,2089,17,19,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a6_odd_semiprime,odd_semiprime,10,False
2111,2113,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a4_odd_semiprime,odd_semiprime,16,True
2129,2131,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,False
2141,2143,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
2237,2239,17,19,o6_d4_a6_odd_semiprime,odd_semiprime,16,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
2267,2269,17,19,o6_d4_a2_odd_semiprime,odd_semiprime,16,o4_d4_a2_odd_semiprime,odd_semiprime,4,True
2309,2311,29,1,o2_d4_a5_even_semiprime,even_semiprime,12,o6_d4_a4_odd_semiprime,odd_semiprime,22,False
2339,2341,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,6,False
2381,2383,11,13,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a3_even_semiprime,even_semiprime,6,False
2549,2551,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,6,False
2591,2593,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a1_even_semiprime,even_semiprime,16,False
2657,2659,17,19,o4_d4_a2_odd_semiprime,odd_semiprime,10,o4_d4_a2_odd_semiprime,odd_semiprime,4,True
2687,2689,17,19,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d6_a3_higher_divisor_even,higher_divisor_even,4,False
2711,2713,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d8_a1_higher_divisor_even,higher_divisor_even,6,True
2729,2731,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a2_odd_semiprime,odd_semiprime,10,True
2789,2791,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d8_a1_higher_divisor_even,higher_divisor_even,6,False
2801,2803,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d3_a6_prime_square,prime_square,16,False
2969,2971,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,28,True
2999,3001,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,28,o6_d4_a4_odd_semiprime,odd_semiprime,10,True
3119,3121,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a6_odd_semiprime,odd_semiprime,16,True
3167,3169,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d4_a4_odd_semiprime,odd_semiprime,12,False
3251,3253,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,22,o4_d4_a1_even_semiprime,even_semiprime,4,False
3257,3259,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a2_odd_semiprime,odd_semiprime,12,False
3299,3301,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,28,o6_d4_a4_odd_semiprime,odd_semiprime,6,True
3329,3331,29,1,o6_d4_a3_even_semiprime,even_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,12,True
3359,3361,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a4_odd_semiprime,odd_semiprime,10,True
3371,3373,11,13,o6_d4_a4_odd_semiprime,odd_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,16,True
3389,3391,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d4_a3_even_semiprime,even_semiprime,16,False
3461,3463,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,False
3467,3469,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d3_a12_prime_square,prime_square,22,False
3527,3529,17,19,o4_d4_a1_even_semiprime,even_semiprime,10,o4_d6_a3_higher_divisor_even,higher_divisor_even,4,False
3539,3541,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a2_odd_semiprime,odd_semiprime,6,False
3557,3559,17,19,o4_d4_a4_odd_semiprime,odd_semiprime,10,o4_d4_a2_odd_semiprime,odd_semiprime,12,True
3581,3583,11,13,o6_d4_a3_even_semiprime,even_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
3671,3673,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d6_a3_higher_divisor_even,higher_divisor_even,4,False
3767,3769,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a8_odd_semiprime,odd_semiprime,10,True
3821,3823,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,18,o4_d4_a3_even_semiprime,even_semiprime,10,False
3851,3853,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a6_odd_semiprime,odd_semiprime,10,True
3917,3919,17,19,o2_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o4_d4_a2_odd_semiprime,odd_semiprime,4,False
3929,3931,29,1,o6_d6_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a4_odd_semiprime,odd_semiprime,12,False
4001,4003,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a3_even_semiprime,even_semiprime,4,False
4019,4021,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a1_even_semiprime,even_semiprime,6,False
4049,4051,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,22,o6_d4_a3_even_semiprime,even_semiprime,6,False
4091,4093,11,13,o2_d4_a4_odd_semiprime,odd_semiprime,12,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
4127,4129,17,19,o6_d4_a4_odd_semiprime,odd_semiprime,16,o4_d6_a3_higher_divisor_even,higher_divisor_even,4,False
4157,4159,17,19,o4_d6_a3_higher_divisor_even,higher_divisor_even,4,o4_d4_a3_even_semiprime,even_semiprime,18,False
4217,4219,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a3_even_semiprime,even_semiprime,10,False
4229,4231,29,1,o4_d4_a3_even_semiprime,even_semiprime,10,o6_d4_a6_odd_semiprime,odd_semiprime,10,False
4241,4243,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,10,True
4259,4261,29,1,o6_d4_a5_even_semiprime,even_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,10,True
4271,4273,11,13,o6_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a1_even_semiprime,even_semiprime,10,True
4337,4339,17,19,o4_d4_a4_odd_semiprime,odd_semiprime,10,o4_d4_a2_odd_semiprime,odd_semiprime,10,True
4421,4423,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a3_even_semiprime,even_semiprime,18,False
4481,4483,11,13,o6_d4_a4_odd_semiprime,odd_semiprime,18,o4_d3_a6_prime_square,prime_square,10,False
4517,4519,17,19,o4_d6_a3_higher_divisor_even,higher_divisor_even,4,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
4547,4549,17,19,o6_d4_a6_odd_semiprime,odd_semiprime,24,o4_d4_a4_odd_semiprime,odd_semiprime,12,True
4637,4639,17,19,o6_d4_a1_even_semiprime,even_semiprime,16,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
4649,4651,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d6_a1_higher_divisor_even,higher_divisor_even,6,False
4721,4723,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,18,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
4787,4789,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d4_a2_odd_semiprime,odd_semiprime,4,False
4799,4801,29,1,o6_d4_a5_even_semiprime,even_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,12,False
4931,4933,11,13,o2_d4_a8_odd_semiprime,odd_semiprime,12,o4_d4_a1_even_semiprime,even_semiprime,4,False
4967,4969,17,19,o4_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a2_odd_semiprime,odd_semiprime,4,True
5009,5011,29,1,o6_d4_a3_even_semiprime,even_semiprime,6,o6_d4_a6_odd_semiprime,odd_semiprime,10,False
5021,5023,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,16,True
5099,5101,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a1_even_semiprime,even_semiprime,6,False
5231,5233,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a1_even_semiprime,even_semiprime,4,False
5279,5281,29,1,o6_d4_a4_odd_semiprime,odd_semiprime,6,o6_d4_a6_odd_semiprime,odd_semiprime,16,True
5417,5419,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,12,True
5441,5443,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a4_odd_semiprime,odd_semiprime,6,False
5477,5479,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a3_even_semiprime,even_semiprime,4,False
5501,5503,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,18,o4_d4_a3_even_semiprime,even_semiprime,4,False
5519,5521,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d6_a3_higher_divisor_even,higher_divisor_even,6,False
5639,5641,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d4_a4_odd_semiprime,odd_semiprime,6,True
5651,5653,11,13,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
5657,5659,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
5741,5743,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
5849,5851,29,1,o6_d4_a4_odd_semiprime,odd_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
5867,5869,17,19,o2_d8_a1_higher_divisor_even,higher_divisor_even,6,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
5879,5881,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a10_odd_semiprime,odd_semiprime,16,True
6089,6091,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a7_even_semiprime,even_semiprime,10,False
6131,6133,11,13,o6_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a1_even_semiprime,even_semiprime,10,True
6197,6199,17,19,o6_d4_a5_even_semiprime,even_semiprime,24,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
6269,6271,29,1,o6_d4_a4_odd_semiprime,odd_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,6,False
6299,6301,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d6_a8_higher_divisor_odd,higher_divisor_odd,10,False
6359,6361,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a1_even_semiprime,even_semiprime,6,False
6449,6451,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,22,o6_d4_a4_odd_semiprime,odd_semiprime,18,True
6551,6553,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
6569,6571,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d6_a4_higher_divisor_odd,higher_divisor_odd,6,True
6659,6661,29,1,o6_d4_a5_even_semiprime,even_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,12,True
6689,6691,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a3_even_semiprime,even_semiprime,10,False
6701,6703,11,13,o6_d4_a3_even_semiprime,even_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,6,False
6761,6763,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,24,o4_d4_a4_odd_semiprime,odd_semiprime,16,True
6779,6781,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d4_a1_even_semiprime,even_semiprime,10,False
6791,6793,11,13,o6_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
6827,6829,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
6869,6871,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a8_odd_semiprime,odd_semiprime,12,True
6947,6949,17,19,o2_d4_a5_even_semiprime,even_semiprime,30,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
6959,6961,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d6_a1_higher_divisor_even,higher_divisor_even,6,False
7127,7129,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a2_odd_semiprime,odd_semiprime,22,True
7211,7213,11,13,o4_d10_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d4_a1_even_semiprime,even_semiprime,6,False
7307,7309,17,19,o4_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a2_odd_semiprime,odd_semiprime,12,True
7331,7333,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,10,o4_d4_a6_odd_semiprime,odd_semiprime,16,True
7349,7351,29,1,o4_d4_a6_odd_semiprime,odd_semiprime,16,o6_d4_a3_even_semiprime,even_semiprime,18,False
7457,7459,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a4_odd_semiprime,odd_semiprime,18,True
7487,7489,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a4_odd_semiprime,odd_semiprime,10,True
7547,7549,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a6_odd_semiprime,odd_semiprime,10,True
7559,7561,29,1,o4_d4_a6_odd_semiprime,odd_semiprime,10,o6_d4_a2_odd_semiprime,odd_semiprime,12,True
7589,7591,29,1,o6_d4_a3_even_semiprime,even_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,12,False
7757,7759,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,30,True
7877,7879,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
7949,7951,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a6_odd_semiprime,odd_semiprime,12,True
8009,8011,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
8087,8089,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
8219,8221,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a1_even_semiprime,even_semiprime,10,False
8231,8233,11,13,o6_d4_a1_even_semiprime,even_semiprime,10,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
8291,8293,11,13,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d16_a1_higher_divisor_even,higher_divisor_even,4,False
8387,8389,17,19,o4_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a2_odd_semiprime,odd_semiprime,30,True
8429,8431,29,1,o6_d6_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a3_even_semiprime,even_semiprime,12,False
8537,8539,17,19,o4_d4_a2_odd_semiprime,odd_semiprime,10,o4_d4_a3_even_semiprime,even_semiprime,4,False
8597,8599,17,19,o6_d4_a2_odd_semiprime,odd_semiprime,16,o4_d4_a4_odd_semiprime,odd_semiprime,10,True
8627,8629,17,19,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,12,False
8819,8821,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d6_a4_higher_divisor_odd,higher_divisor_odd,10,False
8837,8839,17,19,o2_d6_a2_higher_divisor_odd,higher_divisor_odd,6,o4_d4_a3_even_semiprime,even_semiprime,10,False
8861,8863,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d12_a1_higher_divisor_even,higher_divisor_even,4,False
8969,8971,29,1,o6_d4_a3_even_semiprime,even_semiprime,6,o6_d4_a6_odd_semiprime,odd_semiprime,28,False
8999,9001,29,1,o6_d4_a6_odd_semiprime,odd_semiprime,28,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
9011,9013,11,13,o4_d10_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a1_even_semiprime,even_semiprime,16,False
9041,9043,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a3_even_semiprime,even_semiprime,6,False
9239,9241,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a1_even_semiprime,even_semiprime,16,False
9281,9283,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,10,True
9341,9343,11,13,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d4_a3_even_semiprime,even_semiprime,6,False
9419,9421,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a6_odd_semiprime,odd_semiprime,10,False
9431,9433,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,10,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
9437,9439,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a3_even_semiprime,even_semiprime,22,False
9461,9463,11,13,o4_d4_a3_even_semiprime,even_semiprime,22,o4_d4_a3_even_semiprime,even_semiprime,4,True
9629,9631,29,1,o6_d4_a3_even_semiprime,even_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,12,True
9677,9679,17,19,o6_d4_a1_even_semiprime,even_semiprime,16,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
9719,9721,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,22,o6_d4_a1_even_semiprime,even_semiprime,12,False
9767,9769,17,19,o2_d4_a4_odd_semiprime,odd_semiprime,18,o4_d4_a2_odd_semiprime,odd_semiprime,12,True
9857,9859,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a3_even_semiprime,even_semiprime,12,False
9929,9931,29,1,o6_d6_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a3_even_semiprime,even_semiprime,10,False
10007,10009,17,19,o4_d4_a1_even_semiprime,even_semiprime,34,o4_d4_a6_odd_semiprime,odd_semiprime,28,False
10037,10039,17,19,o4_d4_a6_odd_semiprime,odd_semiprime,28,o4_d4_a2_odd_semiprime,odd_semiprime,22,True
10067,10069,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a4_odd_semiprime,odd_semiprime,10,True
10091,10093,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
10139,10141,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a4_odd_semiprime,odd_semiprime,10,True
10271,10273,11,13,o4_d12_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,16,False
10301,10303,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a3_even_semiprime,even_semiprime,10,False
10331,10333,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a1_even_semiprime,even_semiprime,4,False
10427,10429,17,19,o4_d4_a2_odd_semiprime,odd_semiprime,28,o4_d12_a2_higher_divisor_odd,higher_divisor_odd,4,False
