left_prime,right_prime,left_residue_mod30,right_residue_mod30,preceding_type_key,preceding_family,preceding_gap_width,following_type_key,following_family,following_gap_width,same_outer_family
363017,363019,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,30,o4_d4_a2_odd_semiprime,odd_semiprime,18,True
363059,363061,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
363149,363151,29,1,o2_d4_a8_odd_semiprime,odd_semiprime,30,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,False
363269,363271,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d8_a3_higher_divisor_even,higher_divisor_even,6,False
363359,363361,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d4_a4_odd_semiprime,odd_semiprime,6,True
363371,363373,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d16_a1_higher_divisor_even,higher_divisor_even,6,False
363401,363403,11,13,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d4_a4_odd_semiprime,odd_semiprime,28,False
363437,363439,17,19,o2_d4_a3_even_semiprime,even_semiprime,6,o4_d4_a3_even_semiprime,even_semiprime,24,True
363887,363889,17,19,o6_d4_a2_odd_semiprime,odd_semiprime,16,o4_d4_a4_odd_semiprime,odd_semiprime,12,True
363947,363949,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d6_a7_higher_divisor_even,higher_divisor_even,10,False
364127,364129,17,19,o6_d4_a4_odd_semiprime,odd_semiprime,24,o4_d4_a8_odd_semiprime,odd_semiprime,12,True
364289,364291,29,1,o2_d4_a6_odd_semiprime,odd_semiprime,18,o6_d4_a4_odd_semiprime,odd_semiprime,12,True
364541,364543,11,13,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,28,False
364751,364753,11,13,o4_d12_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,6,False
364919,364921,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a6_odd_semiprime,odd_semiprime,16,True
365249,365251,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,18,o6_d4_a3_even_semiprime,even_semiprime,6,False
365291,365293,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,34,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
365411,365413,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,34,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
365471,365473,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d6_a3_higher_divisor_even,higher_divisor_even,6,True
365507,365509,17,19,o2_d4_a5_even_semiprime,even_semiprime,18,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
365567,365569,17,19,o4_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a9_even_semiprime,even_semiprime,18,True
365639,365641,29,1,o2_d4_a6_odd_semiprime,odd_semiprime,12,o6_d4_a1_even_semiprime,even_semiprime,28,False
365747,365749,17,19,o2_d4_a3_even_semiprime,even_semiprime,48,o4_d6_a2_higher_divisor_odd,higher_divisor_odd,10,False
365837,365839,17,19,o4_d4_a2_odd_semiprime,odd_semiprime,28,o4_d4_a3_even_semiprime,even_semiprime,12,False
366029,366031,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a2_odd_semiprime,odd_semiprime,22,True
366167,366169,17,19,o2_d6_a3_higher_divisor_even,higher_divisor_even,6,o4_d12_a3_higher_divisor_even,higher_divisor_even,4,True
366341,366343,11,13,o2_d4_a5_even_semiprime,even_semiprime,12,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
366437,366439,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a2_odd_semiprime,odd_semiprime,22,False
366461,366463,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,22,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
366701,366703,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a6_odd_semiprime,odd_semiprime,10,False
366851,366853,11,13,o6_d4_a4_odd_semiprime,odd_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
367019,367021,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a1_even_semiprime,even_semiprime,6,False
367121,367123,11,13,o2_d4_a8_odd_semiprime,odd_semiprime,24,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,False
367229,367231,29,1,o4_d4_a3_even_semiprime,even_semiprime,10,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,12,False
367259,367261,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d4_a4_odd_semiprime,odd_semiprime,12,True
367307,367309,17,19,o2_d4_a14_odd_semiprime,odd_semiprime,30,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
367559,367561,29,1,o2_d4_a6_odd_semiprime,odd_semiprime,12,o6_d4_a10_odd_semiprime,odd_semiprime,12,True
367649,367651,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a6_odd_semiprime,odd_semiprime,12,True
368231,368233,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a1_even_semiprime,even_semiprime,10,False
368651,368653,11,13,o4_d6_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d4_a4_odd_semiprime,odd_semiprime,36,False
368789,368791,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d8_a1_higher_divisor_even,higher_divisor_even,10,False
368801,368803,11,13,o6_d8_a1_higher_divisor_even,higher_divisor_even,10,o4_d4_a4_odd_semiprime,odd_semiprime,30,False
369077,369079,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a10_odd_semiprime,odd_semiprime,18,True
369407,369409,17,19,o6_d4_a2_odd_semiprime,odd_semiprime,46,o4_d4_a6_odd_semiprime,odd_semiprime,10,True
369659,369661,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a1_even_semiprime,even_semiprime,12,False
369791,369793,11,13,o6_d4_a4_odd_semiprime,odd_semiprime,40,o4_d4_a4_odd_semiprime,odd_semiprime,28,True
369827,369829,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
369959,369961,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a8_odd_semiprime,odd_semiprime,18,True
370421,370423,11,13,o6_d8_a4_higher_divisor_odd,higher_divisor_odd,10,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
370439,370441,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a1_even_semiprime,even_semiprime,10,False
370661,370663,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,30,o4_d4_a6_odd_semiprime,odd_semiprime,10,True
370871,370873,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,34,o4_d8_a4_higher_divisor_odd,higher_divisor_odd,6,False
371027,371029,17,19,o2_d4_a5_even_semiprime,even_semiprime,78,o4_d4_a2_odd_semiprime,odd_semiprime,28,False
371069,371071,29,1,o2_d4_a5_even_semiprime,even_semiprime,12,o6_d4_a7_even_semiprime,even_semiprime,12,True
371141,371143,11,13,o6_d4_a3_even_semiprime,even_semiprime,10,o4_d4_a6_odd_semiprime,odd_semiprime,10,False
371177,371179,17,19,o6_d4_a2_odd_semiprime,odd_semiprime,24,o4_d4_a2_odd_semiprime,odd_semiprime,12,True
371249,371251,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,False
371339,371341,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a6_odd_semiprime,odd_semiprime,12,False
371387,371389,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d4_a6_odd_semiprime,odd_semiprime,28,False
371927,371929,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,30,o4_d4_a8_odd_semiprime,odd_semiprime,10,True
371939,371941,29,1,o4_d4_a8_odd_semiprime,odd_semiprime,10,o6_d4_a1_even_semiprime,even_semiprime,10,False
372059,372061,29,1,o4_d4_a6_odd_semiprime,odd_semiprime,10,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
