current_winner_parity,previous_reduced_state,low_count,high_count,low_next_triad_share,high_next_triad_share,lift
even,o2_odd_semiprime|d<=4,28,25,0.8214285714285714,0.6,0.22142857142857142
even,o4_odd_semiprime|d<=4,17,33,0.7647058823529411,0.696969696969697,0.06773618538324411
even,o6_odd_semiprime|d<=4,14,21,0.5714285714285714,0.8095238095238095,-0.23809523809523814
odd,o2_even_semiprime|d<=4,16,15,0.8125,0.6666666666666666,0.14583333333333337
odd,o2_higher_divisor_even|17<=d<=64,11,12,0.7272727272727273,0.8333333333333334,-0.10606060606060608
odd,o2_higher_divisor_even|d>64,12,11,0.6666666666666666,0.8181818181818182,-0.1515151515151516
odd,o2_higher_divisor_odd|5<=d<=16,16,21,0.6875,0.47619047619047616,0.21130952380952384
odd,o2_odd_semiprime|d<=4,156,150,0.6730769230769231,0.7266666666666667,-0.053589743589743555
odd,o4_even_semiprime|d<=4,28,42,0.7857142857142857,0.5476190476190477,0.23809523809523803
odd,o4_higher_divisor_even|5<=d<=16,9,27,0.7777777777777778,0.5925925925925926,0.18518518518518523
odd,o4_higher_divisor_odd|5<=d<=16,23,26,0.6956521739130435,0.5,0.19565217391304346
odd,o4_odd_semiprime|d<=4,162,154,0.6604938271604939,0.6818181818181818,-0.021324354657687894
odd,o6_even_semiprime|d<=4,23,21,0.7391304347826086,0.5238095238095238,0.2153209109730848
odd,o6_higher_divisor_even|5<=d<=16,9,11,1.0,0.7272727272727273,0.2727272727272727
odd,o6_higher_divisor_odd|5<=d<=16,17,8,0.8823529411764706,0.5,0.38235294117647056
odd,o6_odd_semiprime|d<=4,102,102,0.7450980392156863,0.6470588235294118,0.0980392156862745
