p,w,q,r,S_plus_w,margin,gap_size,winner_offset,q_offset,closure_utilization,log_score_w,r2_minus_2,r2_minus_2_factors
466451,466462,466483,683,466489,6,32,11,32,0.7777777777777778,-13.05293183828823,466487,7 * 103 * 647
10029857,10029862,10029883,3167,10029889,6,26,5,26,0.7777777777777778,-16.12107740111964,10029887,7 * 1432841
22915339,22915342,22915363,4787,22915369,6,24,3,24,0.7777777777777778,-16.947317200535785,22915367,47 * 487561
786739,786743,786763,887,786769,6,24,4,24,0.7692307692307693,-13.575656917524505,786767,97 * 8111
66373579,66373583,66373603,8147,66373609,6,24,4,24,0.7692307692307693,-18.01080968889925,66373607,23 * 1583 * 1823
896783,896785,896803,947,896809,6,20,2,20,0.75,-13.706571424462826,896807,47 * 19081
16216703,16216705,16216723,4027,16216729,6,20,2,20,0.75,-16.601552441748613,16216727,599 * 27073
29300543,29300545,29300563,5413,29300569,6,20,2,20,0.75,-17.1931166744969,29300567,263 * 111409
45333263,45333265,45333283,6733,45333289,6,20,2,20,0.75,-17.629551647678138,45333287,71 * 103 * 6199
76614983,76614985,76615003,8753,76615009,6,20,2,20,0.75,-18.15430324221028,76615007,7 * 593 * 18457
82864583,82864585,82864603,9103,82864609,6,20,2,20,0.75,-18.232718327381463,82864607,7 * 23 * 89 * 5783
93644303,93644305,93644323,9677,93644329,6,20,2,20,0.75,-18.355014173472973,93644327,7 * 73 * 401 * 457
252983,252986,253003,503,253009,6,20,3,20,0.7391304347826086,-12.441089430210187,253007,113 * 2239
20187023,20187026,20187043,4493,20187049,6,20,3,20,0.7391304347826086,-16.820550678795332,20187047,41 * 647 * 761
30327023,30327026,30327043,5507,30327049,6,20,3,20,0.7391304347826086,-17.227549820125795,30327047,73 * 233 * 1783
87179537,87179546,87179563,9337,87179569,6,26,9,26,0.7391304347826086,-18.283480297144536,87179567,823 * 105929
37223,37227,37243,193,37249,6,20,4,20,0.7272727272727273,-10.524789583442729,37247,7 * 17 * 313
10936223,10936227,10936243,3307,10936249,6,20,4,20,0.7272727272727273,-16.207591414302904,10936247,7 * 23 * 67927
47018423,47018427,47018443,6857,47018449,6,20,4,20,0.7272727272727273,-17.666050146667178,47018447,7 * 17 * 395113
7711703,7711709,7711723,2777,7711729,6,20,6,20,0.7,-15.858250381158106,7711727,17 * 453631
53772863,53772869,53772883,7333,53772889,6,20,6,20,0.7,-17.800279604252893,53772887,7 * 17 * 451873
5309,5311,5323,73,5329,6,14,2,14,0.6666666666666666,-8.577535420422398,5327,7 * 761
413429,413431,413443,643,413449,6,14,2,14,0.6666666666666666,-12.932245911323529,413447,31 * 13337
1067069,1067071,1067083,1033,1067089,6,14,2,14,0.6666666666666666,-13.880428069775807,1067087,7 * 152441
2679749,2679751,2679763,1637,2679769,6,14,2,14,0.6666666666666666,-14.801234437722835,2679767,593 * 4519
