surface_group,population,scheme_name,stratum_key,count,low_count,high_count,low_utilization_min,low_utilization_max,high_utilization_min,high_utilization_max,low_next_triad_share,high_next_triad_share,lift
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|1|4,2860,1430,1430,8.494973807164094e-05,0.0023411893241766816,0.002349096108671229,0.8181818181818182,0.606993006993007,0.5832167832167832,0.023776223776223793
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|1|6,1433,716,716,0.00015296601095236639,0.002829945973758683,0.0028310789556464295,0.9574468085106383,0.6033519553072626,0.5670391061452514,0.03631284916201116
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|3|2,834,417,417,0.00011322891111530478,0.0023023791250959325,0.0023082841754295974,0.8285714285714286,0.6306954436450839,0.5971223021582733,0.033573141486810565
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|3|4,2595,1297,1297,3.112646683474959e-05,0.0018556499658169744,0.0018671645772205922,0.7037037037037037,0.6183500385505012,0.612952968388589,0.005397070161912154
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|3|6,2327,1163,1163,9.203865623561896e-05,0.002257336343115124,0.0022675736961451248,0.7391304347826086,0.5726569217540842,0.5657781599312124,0.006878761822871837
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|5|2,1124,562,562,2.819840397033528e-05,0.0016420361247947454,0.0016482819830100164,0.7037037037037037,0.6245551601423488,0.5587188612099644,0.06583629893238441
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|5|6,886,443,443,2.955868877656587e-05,0.0014209857153541245,0.0014265335235378032,0.6078431372549019,0.636568848758465,0.5801354401805869,0.05643340857787804
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|7|4,303,151,151,9.758318966919298e-05,0.0019983542964617375,0.002074297567414671,0.42857142857142855,0.6556291390728477,0.48344370860927155,0.17218543046357615
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|7|6,174,87,87,0.00014148941187567797,0.00130001444460494,0.0013026487190620929,0.45454545454545453,0.45977011494252873,0.5517241379310345,-0.09195402298850575
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|9|2,46,23,23,0.0001322110087699969,0.0012601865076031253,0.0013374944271065537,0.019963702359346643,0.6521739130434783,0.7391304347826086,-0.08695652173913038
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|9|4,293,146,146,2.811278850749206e-05,0.0010874631039304024,0.0011534025374855825,0.5384615384615384,0.6095890410958904,0.5616438356164384,0.047945205479452024
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|9|6,43,21,21,0.000329663084327817,0.0020004445432318294,0.002427577277876679,0.018949648077964266,0.42857142857142855,0.5714285714285714,-0.14285714285714285
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|11|2,55,27,27,4.387696897898293e-05,0.0006958942240779402,0.0008841732979664014,0.7777777777777778,0.48148148148148145,0.48148148148148145,0.0
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|11|6,30,15,15,0.00026253609871357313,0.001451378809869376,0.0014794582906566519,0.011764705882352941,0.6,0.5333333333333333,0.06666666666666665
baseline_1e6,all_d4,matched_base_scheme,even_semiprime|15|4,8,4,4,0.00044033465433729633,0.00130718954248366,0.002541544477028348,0.009245742092457421,0.75,0.5,0.25
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|2|2,13243,6621,6621,0.0001118380584913046,0.0027662517289073307,0.0027662517289073307,0.9523809523809523,0.6047424860293007,0.5710617731460504,0.03368071288325025
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|2|4,3721,1860,1860,5.600672080649678e-05,0.002242152466367713,0.002242152466367713,0.8,0.5634408602150538,0.5505376344086022,0.012903225806451646
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|2|6,4194,2097,2097,0.0001123721766490617,0.0028040658955485456,0.002805256164181308,0.9166666666666666,0.5593705293276109,0.5498330948974726,0.009537434430138325
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|4|2,1069,534,534,6.26017278076875e-05,0.0022070626003210273,0.0022271714922048997,0.8,0.5692883895131086,0.5711610486891385,-0.0018726591760299671
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|4|4,9257,4628,4628,5.6879585916614524e-05,0.0023790642347343376,0.002380007933359778,0.9,0.5697925669835783,0.5676318063958513,0.002160760587726962
