p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
1187,1408969,1408963,6,4,60,101
1193,1423249,1423243,6,4,60,101
1201,1442401,1442393,8,6,60,101
1213,1471369,1471361,8,2,44,101
1217,1481089,1481071,18,6,60,101
1223,1495729,1495727,2,2,44,102
1229,1510441,1510429,12,4,60,102
1231,1515361,1515359,2,2,44,102
1237,1530169,1530157,12,4,60,102
1249,1560001,1559989,12,4,60,102
1259,1585081,1585033,48,4,60,102
1277,1630729,1630721,8,2,44,103
1279,1635841,1635827,14,2,44,103
1283,1646089,1646033,56,6,60,103
1289,1661521,1661519,2,2,44,103
1291,1666681,1666657,24,4,60,103
1297,1682209,1682207,2,2,44,103
1301,1692601,1692589,12,4,60,103
1303,1697809,1697803,6,4,60,103
1307,1708249,1708247,2,2,44,103
1319,1739761,1739747,14,2,44,104
1321,1745041,1745039,2,2,44,104
1327,1760929,1760923,6,4,60,104
1361,1852321,1852307,14,2,44,105
1367,1868689,1868687,2,2,44,105
1373,1885129,1885069,60,4,60,105
1381,1907161,1907153,8,6,60,105
1399,1957201,1957187,14,2,44,105
1409,1985281,1985279,2,2,44,106
1423,2024929,2024917,12,4,60,106
1427,2036329,2036323,6,4,60,106
1429,2042041,2042039,2,2,44,106
1433,2053489,2053459,30,4,60,106
1439,2070721,2070709,12,4,60,106
1447,2093809,2093807,2,2,44,106
1451,2105401,2105381,20,2,44,106
1453,2111209,2111189,20,2,44,107
1459,2128681,2128669,12,4,60,107
1471,2163841,2163829,12,4,60,107
1481,2193361,2193353,8,6,60,107
1483,2199289,2199277,12,4,60,107
1487,2211169,2211161,8,2,44,107
1489,2217121,2217113,8,6,60,107
1493,2229049,2229043,6,4,60,107
1499,2247001,2246999,2,2,44,107
1511,2283121,2283109,12,4,60,108
1523,2319529,2319521,8,2,44,108
1531,2343961,2343949,12,4,60,108
1543,2380849,2380841,8,2,44,108
1549,2399401,2399399,2,2,44,108
1553,2411809,2411797,12,4,60,108
1559,2430481,2430469,12,4,60,109
1567,2455489,2455487,2,2,44,109
1571,2468041,2468027,14,2,44,109
1579,2493241,2493233,8,6,60,109
1583,2505889,2505863,26,6,60,109
1597,2550409,2550407,2,2,44,109
1601,2563201,2563199,2,2,44,109
1607,2582449,2582443,6,4,60,109
1609,2588881,2588869,12,4,60,110
1613,2601769,2601763,6,4,60,110
1619,2621161,2621159,2,2,44,110
1621,2627641,2627627,14,2,44,110
1627,2647129,2647111,18,6,60,110
1637,2679769,2679763,6,4,60,110
1657,2745649,2745643,6,4,60,110
1663,2765569,2765551,18,6,60,111
1667,2778889,2778877,12,4,60,111
1669,2785561,2785513,48,4,60,111
1693,2866249,2866247,2,2,44,111
1697,2879809,2879803,6,4,60,111
1699,2886601,2886593,8,6,60,111
1709,2920681,2920649,32,2,44,111
1721,2961841,2961839,2,2,44,112
1723,2968729,2968717,12,4,60,112
1733,3003289,3003281,8,2,44,112
1741,3031081,3031079,2,2,44,112
1747,3052009,3052003,6,4,60,112
1753,3073009,3072983,26,6,60,112
1759,3094081,3094073,8,6,60,112
1777,3157729,3157711,18,6,60,112
1783,3179089,3179087,2,2,44,113
1787,3193369,3193363,6,4,60,113
1789,3200521,3200507,14,2,44,113
1801,3243601,3243589,12,4,60,113
1811,3279721,3279709,12,4,60,113
1823,3323329,3323311,18,6,60,113
1831,3352561,3352537,24,4,60,113
1847,3411409,3411391,18,6,60,114
1861,3463321,3463319,2,2,44,114
1867,3485689,3485687,2,2,44,114
1871,3500641,3500593,48,4,60,114
1873,3508129,3508111,18,6,60,114
1877,3523129,3523111,18,6,60,114
1879,3530641,3530629,12,4,60,114
1889,3568321,3568307,14,2,44,114
1901,3613801,3613789,12,4,60,115
1907,3636649,3636631,18,6,60,115
1913,3659569,3659567,2,2,44,115
1931,3728761,3728759,2,2,44,115
1933,3736489,3736477,12,4,60,115
1949,3798601,3798593,8,6,60,115
1951,3806401,3806347,54,4,60,115
1973,3892729,3892697,32,2,44,116
1979,3916441,3916439,2,2,44,116
1987,3948169,3948163,6,4,60,116
1993,3972049,3972037,12,4,60,116
1997,3988009,3988007,2,2,44,116
1999,3996001,3995989,12,4,60,116
