p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
40283,1622720089,1622720009,80,2,44,225
40357,1628687449,1628687387,62,2,44,225
40361,1629010321,1629010249,72,4,60,225
40529,1642599841,1642599779,62,2,44,226
40591,1647629281,1647629231,50,2,44,226
41047,1684856209,1684856137,72,4,60,226
41149,1693240201,1693240127,74,2,44,226
41213,1698511369,1698511277,92,2,44,226
41507,1722831049,1722830999,50,2,44,227
41593,1729977649,1729977583,66,4,60,227
41969,1761396961,1761396841,120,6,60,227
42019,1765596361,1765596293,68,6,60,227
42023,1765932529,1765932451,78,6,60,227
42257,1785654049,1785653999,50,2,44,227
42299,1789205401,1789205333,68,6,60,227
42359,1794284881,1794284797,84,4,60,228
42611,1815697321,1815697217,104,2,44,228
42641,1818254881,1818254813,68,6,60,228
42853,1836379609,1836379513,96,4,60,228
43117,1859075689,1859075639,50,2,44,228
43319,1876535761,1876535699,62,2,44,228
43321,1876709041,1876708973,68,6,60,228
43391,1882778881,1882778791,90,6,60,229
43411,1884514921,1884514847,74,2,44,229
43579,1899129241,1899129191,50,2,44,229
43669,1906981561,1906981471,90,6,60,229
43691,1908903481,1908903431,50,2,44,229
43753,1914325009,1914324959,50,2,44,229
44371,1968785641,1968785591,50,2,44,229
44483,1978737289,1978737227,62,2,44,230
45127,2036446129,2036446043,86,6,60,230
45307,2052724249,2052724199,50,2,44,230
45677,2086388329,2086388221,108,6,60,231
45763,2094252169,2094252119,50,2,44,231
45823,2099747329,2099747267,62,2,44,231
45833,2100663889,2100663827,62,2,44,231
45971,2113332841,2113332763,78,4,60,231
46073,2122721329,2122721257,72,4,60,231
46273,2141190529,2141190479,50,2,44,231
46457,2158252849,2158252777,72,4,60,231
46933,2202706489,2202706409,80,2,44,232
47017,2210598289,2210598239,50,2,44,232
47087,2217185569,2217185437,132,4,60,232
47149,2223028201,2223028127,74,2,44,232
47363,2243253769,2243253707,62,2,44,232
47797,2284553209,2284553119,90,4,60,233
47939,2298147721,2298147653,68,6,60,233
47969,2301024961,2301024911,50,2,44,233
48271,2330089441,2330089379,62,2,44,233
48413,2343818569,2343818507,62,2,44,233
48809,2382318481,2382318431,50,2,44,234
48989,2399922121,2399922017,104,2,44,234
49459,2446192681,2446192571,110,2,44,234
49801,2480139601,2480139539,62,2,44,234
49943,2494303249,2494303199,50,2,44,235
50033,2503301089,2503301039,50,2,44,235
50291,2529184681,2529184597,84,4,60,235
50441,2544294481,2544294407,74,2,44,235
50527,2552977729,2552977657,72,4,60,235
50599,2560258801,2560258751,50,2,44,235
50839,2584603921,2584603849,72,4,60,235
50989,2599878121,2599878041,80,2,44,235
51157,2617038649,2617038583,66,4,60,236
51283,2629946089,2629945993,96,4,60,236
51487,2650911169,2650911119,50,2,44,236
52567,2763289489,2763289357,132,4,60,237
52967,2805503089,2805503021,68,2,44,237
53233,2833752289,2833752193,96,4,60,237
53299,2840783401,2840783327,74,2,44,237
53407,2852307649,2852307599,50,2,44,237
53609,2873924881,2873924831,50,2,44,238
54403,2959686409,2959686337,72,4,60,238
54469,2966871961,2966871893,68,6,60,238
54773,3000081529,3000081467,62,2,44,239
55207,3047812849,3047812799,50,2,44,239
55219,3049137961,3049137911,50,2,44,239
55817,3115537489,3115537393,96,4,60,239
56131,3150689161,3150689111,50,2,44,240
56431,3184457761,3184457711,50,2,44,240
56479,3189877441,3189877333,108,4,60,240
56681,3212735761,3212735699,62,2,44,240
56809,3227262481,3227262413,68,6,60,240
57041,3253675681,3253675597,84,4,60,240
57047,3254360209,3254360063,146,6,60,240
57193,3271039249,3271039181,68,2,44,240
57287,3281800369,3281800273,96,4,60,241
57383,3292808689,3292808611,78,6,60,241
57689,3328020721,3328020613,108,4,60,241
57923,3355073929,3355073861,68,2,44,241
58057,3370615249,3370615153,96,4,60,241
58481,3420027361,3420027287,74,2,44,241
58579,3431499241,3431499163,78,4,60,242
58693,3444868249,3444868199,50,2,44,242
58771,3454030441,3454030379,62,2,44,242
59233,3508548289,3508548193,96,4,60,242
59399,3528241201,3528241133,68,6,60,242
59441,3533232481,3533232413,68,6,60,242
59539,3544892521,3544892443,78,4,60,242
59779,3573528841,3573528737,104,2,44,242
60037,3604441369,3604441319,50,2,44,243
60077,3609245929,3609245831,98,2,44,243
60083,3609966889,3609966839,50,2,44,243
60223,3626809729,3626809651,78,6,60,243
60617,3674420689,3674420593,96,4,60,243
60679,3681941041,3681940979,62,2,44,243
60737,3688983169,3688983107,62,2,44,243
60757,3691413049,3691412999,50,2,44,243
60923,3711611929,3711611863,66,4,60,243
60953,3715268209,3715268159,50,2,44,243
61001,3721122001,3721121927,74,2,44,243
61057,3727957249,3727957127,122,2,44,243
61129,3736754641,3736754591,50,2,44,243
61283,3755606089,3755605969,120,4,60,244
61409,3771065281,3771065219,62,2,44,244
61723,3809728729,3809728661,68,2,44,244
61843,3824556649,3824556577,72,4,60,244
62701,3931415401,3931415351,50,2,44,245
62873,3953014129,3953014067,62,2,44,245
63313,4008535969,4008535891,78,6,60,245
63473,4028821729,4028821679,50,2,44,245
63487,4030599169,4030599091,78,6,60,245
63617,4047122689,4047122623,66,4,60,245
63709,4058836681,4058836631,50,2,44,245
63743,4063170049,4063169977,72,4,60,245
63863,4078482769,4078482719,50,2,44,245
63913,4084871569,4084871489,80,2,44,245
64157,4116120649,4116120571,78,6,60,246
64399,4147231201,4147231129,72,4,60,246
64453,4154189209,4154189159,50,2,44,246
