surface_label,surface_row_index,current_right_prime,actual_next_state,current_state,square_phase_utilization,square_pressure_band,ordinary_regime,high_square_regime,hd_recent_1,hd_recent_2,hd_recent_3,hd_recent_4,hd_recent_6,hd_recent_8,hd_recent_12,triad_return,short_prediction,long_prediction,nontriad_reset_prediction,event_lock_l3_prediction,event_lock_l6_prediction,carrier_regime_prediction,short_hit,long_hit,short_miss,long_repairs_short,long_pollutes_short,nontriad_reset_hit,event_lock_l3_hit,event_lock_l6_hit,carrier_regime_hit,carrier_regime_gate
10^18,160,1000000000000006787,o2_higher_divisor_odd|5<=d<=16,o2_odd_semiprime|d<=4,2.571429810123046e-09,0,1,0,0,1,1,1,1,1,1,0,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,,,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,162,1000000000000006849,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,7.142860618369038e-10,0,1,0,1,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,,,o2_odd_semiprime|d<=4,1,1,0,0,0,1,0,0,1,0
10^18,163,1000000000000006871,o4_higher_divisor_odd|5<=d<=16,o2_odd_semiprime|d<=4,3.5714303147967694e-09,0,1,0,0,1,1,1,1,1,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,165,1000000000000006939,o6_odd_semiprime|d<=4,o4_even_semiprime|d<=4,4.92857385518997e-09,1,0,1,1,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,1
10^18,167,1000000000000007063,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,1.4285721461228095e-09,0,1,0,0,0,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,168,1000000000000007101,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,5.142859735593144e-09,1,0,1,0,0,0,1,1,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,,o4_odd_semiprime|d<=4,0,1,1,1,0,0,0,0,1,1
10^18,169,1000000000000007179,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.0000005095716882e-09,0,1,0,0,0,0,0,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,1,0,0
10^18,170,1000000000000007197,o6_higher_divisor_even|5<=d<=16,o4_odd_semiprime|d<=4,3.0000015325722116e-09,0,1,0,0,0,0,0,1,1,1,0,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,172,1000000000000007249,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.0000005147145507e-09,0,1,0,1,1,1,1,1,1,1,1,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,,,o6_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,173,1000000000000007269,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.4285721669391572e-10,0,1,0,0,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,,,o4_odd_semiprime|d<=4,1,0,0,0,1,0,0,0,1,0
10^18,174,1000000000000007287,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,2.571429901592525e-09,0,1,0,0,0,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,175,1000000000000007327,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,3.714287648898967e-09,0,1,0,0,0,0,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,176,1000000000000007393,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,2.1428582690822246e-09,0,1,0,0,0,0,0,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,177,1000000000000007437,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.0000005278574214e-09,0,1,0,0,0,0,0,1,1,1,1,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,1,1,1,0,0,0,1,0,0
10^18,178,1000000000000007453,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,8.571433105716684e-10,0,1,0,0,0,0,0,0,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1,1,0,0,0,0,1,1,1,0
10^18,179,1000000000000007467,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,2.7142871532456607e-09,0,1,0,0,0,0,0,0,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,1,1,1,0,1,0,0,0,0
10^18,180,1000000000000007509,o4_higher_divisor_odd|5<=d<=16,o4_odd_semiprime|d<=4,8.571433142451417e-10,0,1,0,0,0,0,0,0,0,1,0,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,182,1000000000000007551,o6_even_semiprime|d<=4,o6_odd_semiprime|d<=4,6.000003217716011e-09,1,0,1,1,1,1,1,1,1,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,1
10^18,183,1000000000000007641,o2_higher_divisor_even|d>64,o6_even_semiprime|d<=4,2.785715796567146e-09,0,1,0,0,1,1,1,1,1,1,0,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,,,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,187,1000000000000007777,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,2.28571554808233e-09,0,1,0,1,1,1,1,1,1,1,1,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,,,o6_odd_semiprime|d<=4,1,1,0,0,0,1,0,0,1,0
10^18,188,1000000000000007813,o4_even_semiprime|d<=4,o6_odd_semiprime|d<=4,2.85714444367435e-09,0,1,0,0,1,1,1,1,1,1,0,o2_odd_semiprime|d<=4,o4_even_semiprime|d<=4,o4_even_semiprime|d<=4,,,o2_odd_semiprime|d<=4,0,1,1,1,0,1,0,0,0,0
10^18,189,1000000000000007863,o6_odd_semiprime|d<=4,o4_even_semiprime|d<=4,3.9285736254859224e-09,0,1,0,0,0,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
