surface_label,surface_row_index,current_right_prime,actual_next_state,current_state,square_phase_utilization,square_pressure_band,ordinary_regime,high_square_regime,hd_recent_1,hd_recent_2,hd_recent_3,hd_recent_4,hd_recent_6,hd_recent_8,hd_recent_12,triad_return,short_prediction,long_prediction,nontriad_reset_prediction,event_lock_l3_prediction,event_lock_l6_prediction,carrier_regime_prediction,short_hit,long_hit,short_miss,long_repairs_short,long_pollutes_short,nontriad_reset_hit,event_lock_l3_hit,event_lock_l6_hit,carrier_regime_hit,carrier_regime_gate
10^18,228,1000000000000009583,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,3.4285737653893477e-09,0,1,0,0,0,0,0,0,0,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,229,1000000000000009639,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.2857151673475434e-09,0,1,0,0,0,0,0,0,0,0,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,1,0,0,0,0,1,1,1,0
10^18,230,1000000000000009667,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.5714296512252318e-09,0,1,0,0,0,0,0,0,0,0,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,1,0,0,0,0
10^18,231,1000000000000009691,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,2.0000013777152346e-09,0,1,0,0,0,0,0,0,0,0,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,1,0,0,0,0,1,1,1,0
10^18,232,1000000000000009721,o4_even_semiprime|d<=4,o2_odd_semiprime|d<=4,1.0000006921433363e-09,0,1,0,0,0,0,0,0,0,0,0,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_higher_divisor_odd|5<=d<=16,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,233,1000000000000009753,o2_odd_semiprime|d<=4,o4_even_semiprime|d<=4,1.0714293141586782e-09,0,1,0,0,0,0,0,0,0,0,1,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,0,1,1,1,0,1,0,0,0,0
10^18,234,1000000000000009769,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.000000695000483e-09,0,1,0,0,0,0,0,0,0,0,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,235,1000000000000009793,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,8.571434551840907e-10,0,1,0,0,0,0,0,0,0,0,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,0,0,0,1,0,1,1,1,0
10^18,236,1000000000000009829,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,8.571434564085823e-10,0,1,0,0,0,0,0,0,0,0,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_higher_divisor_even|5<=d<=16,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1,1,0,0,0,0,1,1,1,0
10^18,237,1000000000000009849,o4_higher_divisor_odd|5<=d<=16,o4_odd_semiprime|d<=4,3.5714310739813456e-09,0,1,0,0,0,0,0,0,0,0,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,239,1000000000000009919,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.2857151934292123e-09,0,1,0,1,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o6_even_semiprime|d<=4,o6_even_semiprime|d<=4,o6_even_semiprime|d<=4,o6_even_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,240,1000000000000009951,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,2.8571448791851044e-09,0,1,0,0,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,1,0,0,0,1,0,0,1,0
10^18,241,1000000000000009997,o6_higher_divisor_odd|5<=d<=16,o2_odd_semiprime|d<=4,5.714289777145746e-10,0,1,0,0,0,1,1,1,1,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_higher_divisor_even|5<=d<=16,o4_higher_divisor_even|5<=d<=16,o4_higher_divisor_even|5<=d<=16,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,243,1000000000000010017,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,8.571434680412518e-10,0,1,0,1,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,1,0,0,0,1,1,1,1,0
10^18,244,1000000000000010039,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,2.1428586722459896e-09,0,1,0,0,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,1,1,0,0
10^18,245,1000000000000010071,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,4.285717360410369e-10,0,1,0,0,0,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,1,0,0,0,0,0,0,1,0
10^18,246,1000000000000010099,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.7142869478376222e-09,0,1,0,0,0,0,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,1,0,1,0,0
10^18,247,1000000000000010147,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,5.714289838370323e-10,0,1,0,0,0,0,0,1,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,248,1000000000000010161,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,1.428572461429318e-10,0,1,0,0,0,0,0,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_higher_divisor_even|5<=d<=16,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,249,1000000000000010173,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,8.571434779596333e-10,0,1,0,0,0,0,0,0,1,1,1,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,0,0,0,1,1,1,1,1,0
10^18,250,1000000000000010201,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.3142866680823248e-08,1,0,1,0,0,0,0,0,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_higher_divisor_odd|5<=d<=16,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,251,1000000000000010393,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,1.7142869833478782e-09,0,1,0,0,0,0,0,0,0,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_higher_divisor_even|17<=d<=64,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,252,1000000000000010437,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,4.285717466941137e-10,0,1,0,0,0,0,0,0,0,1,1,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,0,0,0,1,1,1,1,1,0
10^18,253,1000000000000010447,o4_higher_divisor_odd|5<=d<=16,o2_odd_semiprime|d<=4,1.0000007431434094e-09,0,1,0,0,0,0,0,0,0,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,255,1000000000000010483,o2_higher_divisor_odd|5<=d<=16,o6_odd_semiprime|d<=4,9.42857845959708e-09,1,0,1,1,1,1,1,1,1,1,0,o4_odd_semiprime|d<=4,o6_higher_divisor_odd|5<=d<=16,o6_higher_divisor_odd|5<=d<=16,,,o6_higher_divisor_odd|5<=d<=16,0,0,1,0,0,0,0,0,0,1
