anchor_p,actual_offset,candidate_count,tested_count,emitted_offset,exact_match,false_emit,candidate_bound_miss
100000000000031,36,273,10,36,True,False,False
100000000000067,30,273,8,30,True,False,False
100000000000097,2,273,1,2,True,False,False
100000000000099,34,273,9,34,True,False,False
100000000000133,6,272,1,6,True,False,False
100000000000139,30,273,8,30,True,False,False
100000000000169,14,273,4,14,True,False,False
100000000000183,78,273,21,78,True,False,False
100000000000261,96,272,25,96,True,False,False
100000000000357,10,273,3,10,True,False,False
100000000000367,36,273,10,36,True,False,False
100000000000403,20,272,5,20,True,False,False
100000000000423,46,273,12,46,True,False,False
100000000000469,18,273,5,18,True,False,False
100000000000487,6,273,2,6,True,False,False
100000000000493,48,272,12,48,True,False,False
100000000000541,60,273,16,60,True,False,False
100000000000601,42,273,12,42,True,False,False
100000000000643,14,272,3,14,True,False,False
100000000000657,52,273,14,52,True,False,False
100000000000709,12,273,3,12,True,False,False
100000000000721,32,273,9,32,True,False,False
100000000000753,24,273,6,24,True,False,False
100000000000777,30,273,8,30,True,False,False
100000000000807,34,273,9,34,True,False,False
100000000000841,2,273,1,2,True,False,False
100000000000843,18,273,5,18,True,False,False
100000000000861,102,272,27,102,True,False,False
100000000000963,30,273,8,30,True,False,False
100000000000993,94,273,25,94,True,False,False
100000000001087,2,273,1,2,True,False,False
100000000001089,40,273,10,40,True,False,False
100000000001129,44,273,12,44,True,False,False
100000000001173,4,273,1,4,True,False,False
100000000001177,12,273,3,12,True,False,False
100000000001189,8,273,2,8,True,False,False
100000000001197,6,273,2,6,True,False,False
100000000001203,70,273,19,70,True,False,False
100000000001273,30,272,8,30,True,False,False
100000000001303,78,272,20,78,True,False,False
100000000001381,6,273,2,6,True,False,False
100000000001387,26,273,7,26,True,False,False
100000000001413,10,273,3,10,True,False,False
100000000001423,44,272,11,44,True,False,False
100000000001467,82,273,22,82,True,False,False
100000000001549,44,273,12,44,True,False,False
100000000001593,18,273,5,18,True,False,False
100000000001611,12,272,3,12,True,False,False
100000000001623,24,273,6,24,True,False,False
100000000001647,12,273,4,12,True,False,False
100000000001659,10,273,2,10,True,False,False
100000000001669,54,273,15,54,True,False,False
100000000001723,8,272,2,8,True,False,False
100000000001731,78,272,21,78,True,False,False
100000000001809,22,273,5,22,True,False,False
100000000001831,12,273,4,12,True,False,False
100000000001843,116,272,31,116,True,False,False
100000000001959,70,273,18,70,True,False,False
100000000002029,8,273,2,8,True,False,False
100000000002037,10,273,3,10,True,False,False
100000000002047,32,273,9,32,True,False,False
100000000002079,34,273,9,34,True,False,False
100000000002113,30,272,8,30,True,False,False
100000000002143,96,272,25,96,True,False,False
100000000002239,84,273,23,84,True,False,False
100000000002323,38,272,10,38,True,False,False
100000000002361,6,272,1,6,True,False,False
100000000002367,66,273,18,66,True,False,False
100000000002433,100,273,27,100,True,False,False
100000000002533,30,272,8,30,True,False,False
100000000002563,6,272,1,6,True,False,False
100000000002569,8,273,2,8,True,False,False
100000000002577,42,273,12,42,True,False,False
100000000002619,114,273,30,114,True,False,False
100000000002733,10,273,3,10,True,False,False
100000000002743,44,272,11,44,True,False,False
100000000002787,34,273,9,34,True,False,False
100000000002821,18,273,5,18,True,False,False
100000000002839,48,273,13,48,True,False,False
100000000002887,24,273,6,24,True,False,False
100000000002911,78,273,21,78,True,False,False
100000000002989,48,273,13,48,True,False,False
100000000003037,2,273,1,2,True,False,False
100000000003039,10,273,2,10,True,False,False
100000000003049,24,273,7,24,True,False,False
100000000003073,14,272,3,14,True,False,False
100000000003087,126,273,34,126,True,False,False
100000000003213,78,273,21,78,True,False,False
100000000003291,12,272,3,12,True,False,False
100000000003303,60,273,16,60,True,False,False
100000000003363,28,273,7,28,True,False,False
100000000003391,60,273,16,60,True,False,False
100000000003451,6,273,2,6,True,False,False
100000000003457,30,273,8,30,True,False,False
100000000003487,26,273,7,26,True,False,False
100000000003513,4,273,1,4,True,False,False
100000000003517,66,273,18,66,True,False,False
100000000003583,110,272,29,110,True,False,False
100000000003693,40,273,11,40,True,False,False
100000000003733,56,272,15,56,True,False,False
100000000003789,4,273,1,4,True,False,False
100000000003793,14,272,3,14,True,False,False
100000000003807,4,273,1,4,True,False,False
100000000003811,146,273,39,146,True,False,False
100000000003957,40,273,11,40,True,False,False
100000000003997,2,273,1,2,True,False,False
100000000003999,40,273,10,40,True,False,False
100000000004039,44,273,12,44,True,False,False
100000000004083,4,273,1,4,True,False,False
100000000004087,30,273,8,30,True,False,False
100000000004117,44,273,12,44,True,False,False
100000000004161,28,272,7,28,True,False,False
100000000004189,68,273,18,68,True,False,False
100000000004257,30,273,8,30,True,False,False
100000000004287,34,273,9,34,True,False,False
100000000004321,32,273,9,32,True,False,False
100000000004353,16,273,4,16,True,False,False
100000000004369,44,273,12,44,True,False,False
100000000004413,28,273,7,28,True,False,False
100000000004441,36,273,10,36,True,False,False
100000000004477,26,273,7,26,True,False,False
100000000004503,4,273,1,4,True,False,False
100000000004507,32,273,9,32,True,False,False
100000000004539,18,273,4,18,True,False,False
100000000004557,16,273,5,16,True,False,False
100000000004573,8,272,2,8,True,False,False
100000000004581,28,272,7,28,True,False,False
100000000004609,122,273,33,122,True,False,False
100000000004731,10,272,2,10,True,False,False
100000000004741,26,273,7,26,True,False,False
100000000004767,102,273,28,102,True,False,False
100000000004869,12,273,3,12,True,False,False
100000000004881,12,272,3,12,True,False,False
100000000004893,6,273,2,6,True,False,False
100000000004899,24,273,6,24,True,False,False
100000000004923,54,273,14,54,True,False,False
100000000004977,24,273,7,24,True,False,False
100000000005001,22,272,6,22,True,False,False
100000000005023,30,272,8,30,True,False,False
100000000005053,24,272,6,24,True,False,False
100000000005077,6,273,2,6,True,False,False
100000000005083,8,272,2,8,True,False,False
100000000005091,6,272,1,6,True,False,False
100000000005097,30,273,8,30,True,False,False
100000000005127,46,273,13,46,True,False,False
100000000005173,8,272,2,8,True,False,False
100000000005181,52,272,14,52,True,False,False
100000000005233,26,272,7,26,True,False,False
100000000005259,28,273,7,28,True,False,False
100000000005287,2,273,1,2,True,False,False
100000000005289,40,273,10,40,True,False,False
100000000005329,12,273,3,12,True,False,False
100000000005341,50,273,14,50,True,False,False
100000000005391,12,272,3,12,True,False,False
100000000005403,124,273,33,124,True,False,False
