scale,false_node_count,low_factor_count,sqrt_adjacent_count,max_two_lane_distance,p95_two_lane_distance,max_two_lane_distance_over_sqrt,p95_two_lane_distance_over_sqrt
1000000000000,75,68,7,498376,383951.0,0.4983764983764984,0.38395138395138395
1000000000000000,118,114,4,13937953,11954431.0,0.44075678239000904,0.37803230810603095
1000000000000000000,186,182,4,496623887,294208913.0,0.4966238874966239,0.2942089132942089
