scale,anchor_p,seed_s0,terminal_q,terminal_index,chain_index,node_n,least_factor_for_audit_only,sqrt_node,left_distance,center_distance,sqrt_minus_least_factor,two_lane_distance,least_factor_over_sqrt_node,center_distance_over_sqrt_node,two_lane_distance_over_sqrt_node,lane,closure_lane,node_offset_from_anchor,node_offset_from_seed,seed_offset,delta_prev,delta_next,prefix_delta_vector,chain_delta_vector,carrier_to_node_delta,node_mod_30,offset_mod_30,candidate_bound,visible_divisor_bound
1000000000000,999999997939,999999997949,999999998021,4,2,999999997967,85447,999999,85447,914552,914552,85447,0.08544708544708544,0.9145529145529145,0.08544708544708544,low_factor,small_shadow_horizon,28,18,10,16,24,"[2,16]","[2,16,24,30,6,6,14,12]",28,17,28,128,10000
1000000000000,999999997939,999999997949,999999998021,4,3,999999997991,19553,999999,19553,980446,980446,19553,0.01955301955301955,0.9804469804469804,0.01955301955301955,low_factor,small_shadow_horizon,52,42,10,24,30,"[2,16,24]","[2,16,24,30,6,6,14,12]",52,11,22,128,10000
1000000000000,999999997831,999999997849,999999997907,5,1,999999997861,23227,999999,23227,976772,976772,23227,0.023227023227023226,0.9767729767729768,0.023227023227023226,low_factor,small_shadow_horizon,30,12,18,12,16,[12],"[12,16,6,6,18,26,6,10]",30,1,0,128,10000
1000000000000,999999997831,999999997849,999999997907,5,2,999999997877,20327,999999,20327,979672,979672,20327,0.02032702032702033,0.9796729796729797,0.02032702032702033,low_factor,small_shadow_horizon,46,28,18,16,6,"[12,16]","[12,16,6,6,18,26,6,10]",46,17,16,128,10000
1000000000000,999999997831,999999997849,999999997907,5,3,999999997883,55871,999999,55871,944128,944128,55871,0.05587105587105587,0.9441289441289441,0.05587105587105587,low_factor,small_shadow_horizon,52,34,18,6,6,"[12,16,6]","[12,16,6,6,18,26,6,10]",52,23,22,128,10000
1000000000000,999999997831,999999997849,999999997907,5,4,999999997889,239947,999999,239947,760052,760052,239947,0.23994723994723996,0.76005276005276,0.23994723994723996,low_factor,small_shadow_horizon,58,40,18,6,18,"[12,16,6,6]","[12,16,6,6,18,26,6,10]",58,29,28,128,10000
1000000000000,999999997517,999999997553,999999997589,2,1,999999997567,501623,999999,501623,498376,498376,498376,0.5016235016235017,0.4983764983764984,0.4983764983764984,sqrt_adjacent,balanced_semiprime_center,50,14,36,14,22,[14],"[14,22,8,6,18]",50,7,20,128,10000
1000000000000,999999997459,999999997463,999999997517,4,1,999999997487,72091,999999,72091,927908,927908,72091,0.07209107209107209,0.9279089279089279,0.07209107209107209,low_factor,small_shadow_horizon,28,24,4,24,14,[24],"[24,14,10,6,36,14]",28,17,28,128,10000
1000000000000,999999997459,999999997463,999999997517,4,2,999999997501,91393,999999,91393,908606,908606,91393,0.09139309139309139,0.9086069086069086,0.09139309139309139,low_factor,small_shadow_horizon,42,38,4,14,10,"[24,14]","[24,14,10,6,36,14]",42,1,12,128,10000
1000000000000,999999997459,999999997463,999999997517,4,3,999999997511,308761,999999,308761,691238,691238,308761,0.30876130876130875,0.6912386912386912,0.30876130876130875,low_factor,small_shadow_horizon,52,48,4,10,6,"[24,14,10]","[24,14,10,6,36,14]",52,11,22,128,10000
1000000000000,999999997433,999999997439,999999997459,2,1,999999997453,85259,999999,85259,914740,914740,85259,0.08525908525908527,0.9147409147409148,0.08525908525908527,low_factor,small_shadow_horizon,20,14,6,14,6,[14],"[14,6,4,24,14,10,6,36]",20,13,20,128,10000
1000000000000,999999997343,999999997351,999999997391,3,1,999999997363,114997,999999,114997,885002,885002,114997,0.114997114997115,0.885002885002885,0.114997114997115,low_factor,small_shadow_horizon,20,12,8,12,16,[12],"[12,16,12,2,4,32,4,6]",20,13,20,128,10000
1000000000000,999999997343,999999997351,999999997391,3,2,999999997379,229639,999999,229639,770360,770360,229639,0.22963922963922964,0.7703607703607703,0.22963922963922964,low_factor,small_shadow_horizon,36,28,8,16,12,"[12,16]","[12,16,12,2,4,32,4,6]",36,29,6,128,10000
1000000000000,999999997201,999999997223,999999997259,2,1,999999997253,296183,999999,296183,703816,703816,296183,0.2961832961832962,0.7038167038167038,0.2961832961832962,low_factor,small_shadow_horizon,52,30,22,30,6,[30],"[30,6,18,30,20]",52,23,22,128,10000
1000000000000,999999997103,999999997121,999999997147,2,1,999999997133,28927,999999,28927,971072,971072,28927,0.028927028927028926,0.9710729710729711,0.028927028927028926,low_factor,small_shadow_horizon,30,12,18,12,14,[12],"[12,14,4,12,26,12,22]",30,23,0,128,10000
1000000000000,999999997013,999999997093,999999997103,2,1,999999997099,39503,999999,39503,960496,960496,39503,0.0395030395030395,0.9604969604969605,0.0395030395030395,low_factor,small_shadow_horizon,86,6,80,6,4,[6],"[6,4,18,12]",86,19,26,128,10000
1000000000000,999999996823,999999996833,999999996881,2,1,999999996871,126949,999999,126949,873050,873050,126949,0.12694912694912694,0.873050873050873,0.12694912694912694,low_factor,small_shadow_horizon,48,38,10,38,10,[38],"[38,10,6,2,10,2,48]",48,1,18,128,10000
1000000000000,999999996473,999999996511,999999996581,2,1,999999996533,41927,999999,41927,958072,958072,41927,0.04192704192704193,0.9580729580729581,0.04192704192704193,low_factor,small_shadow_horizon,60,22,38,22,48,[22],"[22,48,18,2]",60,23,0,128,10000
1000000000000,999999995993,999999996011,999999996097,5,1,999999996019,190709,999999,190709,809290,809290,190709,0.1907091907091907,0.8092908092908093,0.1907091907091907,low_factor,small_shadow_horizon,26,8,18,8,52,[8],"[8,52,18,2,6]",26,19,26,128,10000
