anchor_p,actual_offset,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected,candidate_bound_miss
1000000000000037,54,273,248,25,1,24,False,False,False,False
1000000000000091,68,273,247,26,1,25,False,False,False,False
1000000000000159,28,273,247,26,1,25,False,False,False,False
1000000000000187,36,273,247,26,1,25,False,False,False,False
1000000000000223,18,272,247,25,1,24,False,False,False,False
1000000000000241,8,273,272,1,1,0,True,True,False,False
1000000000000249,10,273,272,1,1,0,True,True,False,False
1000000000000259,14,273,250,23,1,22,False,False,False,False
1000000000000273,6,273,272,1,1,0,True,True,False,False
1000000000000279,18,273,251,22,1,21,False,False,False,False
1000000000000297,60,273,252,21,1,20,False,False,False,False
1000000000000357,42,273,251,22,1,21,False,False,False,False
1000000000000399,4,273,251,22,1,21,False,False,False,False
1000000000000403,84,272,251,21,1,20,False,False,False,False
1000000000000487,26,273,251,22,1,21,False,False,False,False
1000000000000513,100,273,252,21,1,20,False,False,False,False
1000000000000613,98,272,249,23,1,22,False,False,False,False
1000000000000711,30,272,249,23,1,22,False,False,False,False
1000000000000741,42,272,248,24,1,23,False,False,False,False
1000000000000783,28,273,250,23,1,22,False,False,False,False
1000000000000811,32,273,250,23,1,22,False,False,False,False
1000000000000843,30,273,249,24,1,23,False,False,False,False
1000000000000873,48,273,249,24,1,23,False,False,False,False
1000000000000921,82,272,249,23,1,22,False,False,False,False
1000000000001003,24,272,250,22,1,21,False,False,False,False
1000000000001027,36,273,251,22,1,21,False,False,False,False
1000000000001063,26,272,251,21,1,20,False,False,False,False
1000000000001089,28,273,253,20,1,19,False,False,False,False
1000000000001117,92,273,254,19,1,18,False,False,False,False
1000000000001209,60,273,252,21,1,20,False,False,False,False
1000000000001269,24,273,250,23,1,22,False,False,False,False
1000000000001293,54,273,250,23,1,22,False,False,False,False
1000000000001347,24,273,272,1,1,0,True,True,False,False
1000000000001371,42,272,248,24,1,23,False,False,False,False
1000000000001413,78,273,250,23,1,22,False,False,False,False
1000000000001491,12,272,246,26,1,25,False,False,False,False
1000000000001503,48,273,247,26,1,25,False,False,False,False
1000000000001551,66,272,245,27,1,26,False,False,False,False
1000000000001617,6,273,245,28,1,27,False,False,False,False
1000000000001623,46,273,246,27,1,26,False,False,False,False
1000000000001669,72,273,244,29,1,28,False,False,False,False
1000000000001741,8,273,272,1,1,0,True,True,False,False
1000000000001749,70,273,244,29,1,28,False,False,False,False
1000000000001819,20,273,241,32,1,31,False,False,False,False
1000000000001839,28,273,242,31,1,30,False,False,False,False
1000000000001867,30,273,243,30,1,29,False,False,False,False
1000000000001897,140,273,244,29,1,28,False,False,False,False
1000000000002037,124,273,237,36,1,35,False,False,False,False
1000000000002161,32,273,236,37,1,36,False,False,False,False
1000000000002193,36,273,236,37,1,36,False,False,False,False
1000000000002229,18,273,236,37,1,36,False,False,False,False
1000000000002247,4,273,272,1,1,0,True,True,False,False
1000000000002251,8,273,237,36,1,35,False,False,False,False
1000000000002259,54,273,238,35,1,34,False,False,False,False
1000000000002313,34,273,238,35,1,34,False,False,False,False
1000000000002347,24,273,238,35,1,34,False,False,False,False
1000000000002371,2,273,272,1,1,0,True,True,False,False
1000000000002373,84,273,240,33,1,32,False,False,False,False
1000000000002457,10,273,239,34,1,33,False,False,False,False
1000000000002467,6,273,272,1,1,0,True,True,False,False
1000000000002473,30,272,239,33,1,32,False,False,False,False
1000000000002503,14,272,240,32,1,31,False,False,False,False
1000000000002517,34,273,242,31,1,30,False,False,False,False
1000000000002551,8,273,272,1,1,0,True,True,False,False
1000000000002559,40,273,244,29,1,28,False,False,False,False
1000000000002599,30,273,272,1,1,0,True,True,False,False
1000000000002629,38,273,245,28,1,27,False,False,False,False
1000000000002667,6,273,271,2,1,1,False,False,False,False
1000000000002673,10,273,272,1,1,0,True,True,False,False
1000000000002683,84,272,245,27,1,26,False,False,False,False
1000000000002767,2,273,272,1,1,0,True,True,False,False
1000000000002769,22,273,248,25,1,24,False,False,False,False
1000000000002791,6,273,249,24,1,23,False,False,False,False
1000000000002797,2,273,272,1,1,0,True,True,False,False
1000000000002799,22,273,251,22,1,21,False,False,False,False
1000000000002821,110,273,250,23,1,22,False,False,False,False
1000000000002931,16,272,245,27,1,26,False,False,False,False
1000000000002947,30,273,246,27,1,26,False,False,False,False
1000000000002977,24,273,247,26,1,25,False,False,False,False
1000000000003001,2,273,272,1,1,0,True,True,False,False
1000000000003003,6,273,248,25,1,24,False,False,False,False
1000000000003009,10,273,272,1,1,0,True,True,False,False
1000000000003019,30,273,250,23,1,22,False,False,False,False
1000000000003049,104,273,251,22,1,21,False,False,False,False
1000000000003153,10,273,250,23,1,22,False,False,False,False
1000000000003163,26,272,250,22,1,21,False,False,False,False
1000000000003189,58,273,252,21,1,20,False,False,False,False
1000000000003247,20,273,251,22,1,21,False,False,False,False
1000000000003267,42,273,252,21,1,20,False,False,False,False
1000000000003309,48,273,253,20,1,19,False,False,False,False
1000000000003357,66,273,254,19,1,18,False,False,False,False
1000000000003423,34,273,251,22,1,21,False,False,False,False
1000000000003457,26,273,250,23,1,22,False,False,False,False
1000000000003483,166,273,251,22,1,21,False,False,False,False
1000000000003649,32,273,248,25,1,24,False,False,False,False
1000000000003681,22,272,248,24,1,23,False,False,False,False
1000000000003703,128,272,249,23,1,22,False,False,False,False
1000000000003831,10,272,271,1,1,0,True,True,False,False
1000000000003841,30,273,247,26,1,25,False,False,False,False
1000000000003871,12,273,248,25,1,24,False,False,False,False
1000000000003883,8,272,248,24,1,23,False,False,False,False
1000000000003891,22,272,249,23,1,22,False,False,False,False
1000000000003913,24,272,249,23,1,22,False,False,False,False
1000000000003937,32,273,251,22,1,21,False,False,False,False
1000000000003969,52,273,252,21,1,20,False,False,False,False
1000000000004021,86,273,252,21,1,20,False,False,False,False
1000000000004107,60,273,249,24,1,23,False,False,False,False
1000000000004167,82,273,247,26,1,25,False,False,False,False
1000000000004249,2,273,272,1,1,0,True,True,False,False
1000000000004251,136,272,247,25,1,24,False,False,False,False
1000000000004387,20,273,243,30,1,29,False,False,False,False
1000000000004407,22,273,244,29,1,28,False,False,False,False
1000000000004429,12,273,272,1,1,0,True,True,False,False
1000000000004441,8,273,245,28,1,27,False,False,False,False
1000000000004449,28,273,246,27,1,26,False,False,False,False
1000000000004477,90,273,246,27,1,26,False,False,False,False
1000000000004567,30,273,243,30,1,29,False,False,False,False
1000000000004597,54,273,243,30,1,29,False,False,False,False
1000000000004651,8,273,272,1,1,0,True,True,False,False
1000000000004659,84,273,245,28,1,27,False,False,False,False
1000000000004743,6,273,272,1,1,0,True,True,False,False
1000000000004749,18,273,244,29,1,28,False,False,False,False
1000000000004767,16,273,245,28,1,27,False,False,False,False
1000000000004783,68,272,244,28,1,27,False,False,False,False
1000000000004851,72,272,242,30,1,29,False,False,False,False
1000000000004923,100,273,244,29,1,28,False,False,False,False
1000000000005023,26,272,241,31,1,30,False,False,False,False
1000000000005049,28,273,242,31,1,30,False,False,False,False
1000000000005077,2,273,272,1,1,0,True,True,False,False
1000000000005079,42,273,242,31,1,30,False,False,False,False
1000000000005121,12,272,241,31,1,30,False,False,False,False
1000000000005133,18,273,242,31,1,30,False,False,False,False
1000000000005151,6,272,271,1,1,0,True,True,False,False
1000000000005157,54,273,244,29,1,28,False,False,False,False
1000000000005211,72,272,243,29,1,28,False,False,False,False
1000000000005283,16,273,242,31,1,30,False,False,False,False
1000000000005299,14,273,243,30,1,29,False,False,False,False
1000000000005313,24,273,243,30,1,29,False,False,False,False
1000000000005337,36,273,244,29,1,28,False,False,False,False
1000000000005373,24,273,245,28,1,27,False,False,False,False
1000000000005397,66,273,244,29,1,28,False,False,False,False
1000000000005463,34,273,244,29,1,28,False,False,False,False
1000000000005497,44,273,245,28,1,27,False,False,False,False
1000000000005541,10,272,271,1,1,0,True,True,False,False
1000000000005551,18,273,246,27,1,26,False,False,False,False
1000000000005569,8,273,247,26,1,25,False,False,False,False
1000000000005577,16,273,248,25,1,24,False,False,False,False
1000000000005593,96,272,247,25,1,24,False,False,False,False
1000000000005689,30,273,245,28,1,27,False,False,False,False
1000000000005719,38,273,245,28,1,27,False,False,False,False
1000000000005757,46,273,244,29,1,28,False,False,False,False
1000000000005803,20,272,244,28,1,27,False,False,False,False
