current_right_prime,next_prime,gap_width,first_open_offset,exact_next_dmin,exact_next_peak_offset,cutoff,cutoff_utilization,exact_gap_boundary_offset,boundary_utilization,divisor_ladder
1436111,1436131,20,2,6,10,101,0.09900990099009901,20,0.19801980198019803,30 8 8 16 24 8 16 8 64 6
1450249,1450271,22,4,6,20,101,0.19801980198019803,22,0.21782178217821782,16 32 24 12 16 8 10 8 8 8 72 8 8 8 8 8 8 8 12 6
1492307,1492313,6,2,16,3,102,0.029411764705882353,6,0.058823529411764705,18 24 16
1561919,1562051,132,2,4,2,102,0.0196078431372549,132,1.2941176470588236,56 4
1621619,1621621,2,2,240,1,103,0.009708737864077669,2,0.019417475728155338,240
1646033,1646101,68,6,3,56,103,0.5436893203883495,68,0.6601941747572816,32 4 12 6 16 4 128 8 8 16 12 4 24 8 12 8 24 8 24 4 8 32 32 8 16 4 36 4 8 4 120 8 4 8 12 8 16 8 8 24 12 6 24 4 8 4 40 4 28 4 36 32 8 4 32 3
1648063,1648067,4,4,24,3,103,0.02912621359223301,4,0.038834951456310676,28 32 24
1713599,1713601,2,2,252,1,104,0.009615384615384616,2,0.019230769230769232,252
1867319,1867321,2,2,256,1,105,0.009523809523809525,2,0.01904761904761905,256
1940399,1940401,2,2,270,1,105,0.009523809523809525,2,0.01904761904761905,270
2010733,2010881,148,4,4,4,106,0.03773584905660377,148,1.3962264150943395,8 12 40 4
2041199,2041201,2,2,210,1,106,0.009433962264150943,2,0.018867924528301886,210
2185919,2185921,2,2,224,1,107,0.009345794392523364,2,0.018691588785046728,224
2472959,2472961,2,2,176,1,109,0.009174311926605505,2,0.01834862385321101,176
2486509,2486513,4,4,30,3,109,0.027522935779816515,4,0.03669724770642202,32 32 30
2489759,2489761,2,2,288,1,109,0.009174311926605505,2,0.01834862385321101,288
2671037,2671043,6,2,16,4,110,0.03636363636363636,6,0.05454545454545454,24 18 56 16
2887067,2887081,14,2,8,10,111,0.09009009009009009,14,0.12612612612612611,12 16 16 16 24 16 24 12 12 8
3068927,3068929,2,2,110,1,112,0.008928571428571428,2,0.017857142857142856,110
3133439,3133441,2,2,156,1,112,0.008928571428571428,2,0.017857142857142856,156
3323311,3323399,88,6,3,18,113,0.1592920353982301,88,0.7787610619469026,20 48 8 4 24 4 4 4 128 4 16 4 12 24 4 8 56 3
3548159,3548161,2,2,264,1,114,0.008771929824561403,2,0.017543859649122806,264
3768253,3768257,4,4,28,3,115,0.02608695652173913,4,0.034782608695652174,32 32 28
3870719,3870721,2,2,208,1,116,0.008620689655172414,2,0.017241379310344827,208
3913397,3913421,24,2,8,2,116,0.017241379310344827,24,0.20689655172413793,12 8
3969821,3969827,6,2,16,5,116,0.04310344827586207,6,0.05172413793103448,32 32 24 24 16
3991679,3991681,2,2,320,1,116,0.008620689655172414,2,0.017241379310344827,320
4044077,4044179,102,2,3,44,116,0.3793103448275862,102,0.8793103448275862,24 16 20 4 16 4 24 8 4 10 8 16 32 4 24 8 4 8 168 4 4 4 36 4 8 8 8 48 8 4 24 4 16 8 40 8 16 8 6 48 16 4 64 3
4044851,4044869,18,2,6,17,116,0.14655172413793102,18,0.15517241379310345,54 8 16 16 8 8 16 8 12 12 8 8 28 16 16 8 6
4091471,4091537,66,2,4,26,116,0.22413793103448276,66,0.5689655172413793,200 8 8 24 6 8 8 8 32 6 8 8 12 8 8 8 12 8 72 8 12 32 32 8 32 4
4357781,4357807,26,2,8,2,117,0.017094017094017096,26,0.2222222222222222,48 8
4377599,4377601,2,2,198,1,117,0.008547008547008548,2,0.017094017094017096,198
4633199,4633201,2,2,300,1,118,0.00847457627118644,2,0.01694915254237288,300
4669369,4669381,12,4,8,10,118,0.0847457627118644,12,0.1016949152542373,16 24 12 12 16 20 14 16 16 8
4808987,4809017,30,2,6,2,119,0.01680672268907563,30,0.25210084033613445,18 6
4812373,4812383,10,4,12,8,119,0.06722689075630252,10,0.08403361344537816,16 32 16 16 16 16 24 12
4812373,4812383,10,4,12,8,119,0.06722689075630252,10,0.08403361344537816,16 32 16 16 16 16 24 12
4847039,4847041,2,2,280,1,119,0.008403361344537815,2,0.01680672268907563,280
4942711,4942739,28,6,6,18,119,0.15126050420168066,28,0.23529411764705882,16 8 32 8 24 8 8 12 32 8 8 8 12 24 8 8 96 6
5108023,5108027,4,4,32,3,120,0.025,4,0.03333333333333333,48 48 32
5300027,5300033,6,2,14,5,120,0.041666666666666664,6,0.05,72 16 16 32 14
5300027,5300033,6,2,14,5,120,0.041666666666666664,6,0.05,72 16 16 32 14
5669821,5669827,6,6,14,3,121,0.024793388429752067,6,0.049586776859504134,16 16 14
5922317,5922349,32,2,6,8,122,0.06557377049180328,32,0.26229508196721313,8 8 40 8 24 8 36 6
6030919,6030929,10,4,10,9,122,0.07377049180327869,10,0.08196721311475409,96 16 16 12 24 12 32 24 10
6169469,6169477,8,2,12,7,123,0.056910569105691054,8,0.06504065040650407,32 16 32 16 16 24 12
6173243,6173249,6,6,14,5,123,0.04065040650406504,6,0.04878048780487805,144 16 16 16 14
6652799,6652801,2,2,384,1,124,0.008064516129032258,2,0.016129032258064516,384
6985439,6985441,2,2,360,1,125,0.008,2,0.016,360
7667711,7667713,2,2,102,1,126,0.007936507936507936,2,0.015873015873015872,102
7761211,7761217,6,6,24,1,126,0.007936507936507936,6,0.047619047619047616,24
8164799,8164801,2,2,294,1,127,0.007874015748031496,2,0.015748031496062992,294
8236799,8236801,2,2,324,1,127,0.007874015748031496,2,0.015748031496062992,324
8761849,8761853,4,4,36,3,128,0.0234375,4,0.03125,48 56 36
8796479,8796481,2,2,336,1,128,0.0078125,2,0.015625,336
8855503,8855507,4,4,40,1,128,0.0078125,4,0.03125,40
8901041,8901089,48,2,4,30,129,0.23255813953488372,48,0.37209302325581395,8 8 12 24 48 8 64 8 12 8 6 8 24 8 14 32 8 8 48 12 8 16 16 8 16 8 24 8 8 4
9572749,9572753,4,4,40,3,130,0.023076923076923078,4,0.03076923076923077,48 48 40
