left_prime,right_prime,gap,left_prime_mod_wheel,winner_value,winner_divisor_count,winner_offset,earlier_value,earlier_divisor_count,earlier_offset,first_d4_offset,square_margin,first_later_dominator_offset,critical_ratio_margin,bridge_load
276086509,276086513,4,20719,276086512,30,3,276086510,32,1,,104648,2,0.07142857105585976,5.217962950609947e-09
146822509,146822513,4,5839,146822512,30,3,146822511,32,2,,47648,1,0.07142857106637845,5.070701192266827e-09
289165069,289165073,4,6199,289165072,30,3,289165070,32,1,,209048,2,0.07142857107356249,4.970124756198404e-09
290607433,290607437,4,7123,290607436,30,3,290607434,32,1,,197372,2,0.07142857107541478,4.94419261087842e-09
300392497,300392501,4,2407,300392500,30,3,300392498,32,1,,40388,2,0.071428571087498,4.775027484527075e-09
313428589,313428593,4,5479,313428592,30,3,313428590,32,1,,109256,2,0.07142857110239387,4.566485412027534e-09
164579479,164579483,4,15079,164579481,30,2,164579480,32,1,,3758,1,0.0714285711074063,4.496311323265447e-09
326597389,326597393,4,21139,326597392,30,3,326597390,32,1,,180536,2,0.07142857111620304,4.373156947679037e-09
170227693,170227697,4,17653,170227696,30,3,170227695,32,2,,48704,1,0.07142857111861534,4.33938485144836e-09
171233269,171233273,4,2209,171233271,30,2,171233270,32,1,,193376,1,0.07142857112053158,4.312557422281317e-09
172046023,172046027,4,4153,172046025,30,2,172046024,32,1,,114614,1,0.07142857112206324,4.291114130694497e-09
346826797,346826801,4,10327,346826800,30,3,346826798,32,1,,510968,2,0.07142857113532153,4.1054981636534665e-09
181749229,181749233,4,7669,181749232,30,3,181749231,32,2,,149936,1,0.07142857113926393,4.0503045362072515e-09
193562797,193562801,4,19447,193562800,30,3,193562799,32,2,,8768,1,0.07142857115781776,3.790550984206222e-09
383447497,383447501,4,24457,383447500,30,3,383447498,32,1,,46388,2,0.07142857116467494,3.6945504433560944e-09
384084973,384084977,4,1273,384084976,30,3,384084974,32,1,,192632,2,0.07142857116513501,3.688109373456429e-09
199537909,199537913,4,18589,199537911,30,2,199537910,32,1,,486536,1,0.07142857116634316,3.6711953477208697e-09
