left_prime,right_prime,gap,left_prime_mod_wheel,winner_value,winner_divisor_count,winner_offset,earlier_value,earlier_divisor_count,earlier_offset,first_d4_offset,square_margin,first_later_dominator_offset,critical_ratio_margin,bridge_load
1778299,1778303,4,6529,1778302,16,3,1778300,18,1,,74018,2,0.1428570647071994,5.470496038384456e-07
968827,968831,4,7867,968829,16,2,968828,18,1,,13250,1,0.1428570679742185,5.241804701405785e-07
1122757,1122761,4,11647,1122760,16,3,1122759,18,2,,2960,1,0.1428570789246515,4.475274391069208e-07
1245187,1245191,4,13957,1245189,16,2,1245188,18,1,,2498,1,0.14285708563570565,4.0055006000905296e-07
1268563,1268567,4,7303,1268565,16,2,1268564,18,1,,6074,1,0.14285708676446696,3.9264873086253276e-07
2581171,2581177,6,28621,2581174,16,3,2581172,18,1,,1272,2,0.14285709037445393,3.6737882203041765e-07
1367827,1367831,4,16477,1367830,16,3,1367829,18,2,,3410,1,0.1428570911125775,3.622119570945161e-07
2624767,2624771,4,12157,2624770,16,3,2624768,18,1,,2870,2,0.1428570913046474,3.608674676858216e-07
1374547,1374551,4,23197,1374549,16,2,1374548,18,1,,20210,1,0.1428570913833649,3.6031644534695333e-07
2671037,2671043,6,28397,2671041,16,4,2671039,18,2,,8726,2,0.14285709225752652,3.5419731392316594e-07
1402123,1402127,4,20743,1402125,16,2,1402124,18,1,,6842,1,0.14285709246653333,3.527342662401624e-07
2698099,2698103,4,25429,2698102,16,3,2698100,18,1,,47546,2,0.14285709279912195,3.5040614587700263e-07
2963683,2963687,4,20743,2963686,16,3,2963684,18,1,,5042,2,0.14285709757207354,3.1699548475039323e-07
2967403,2967407,4,24463,2967406,16,3,2967404,18,1,,1322,2,0.14285709763265064,3.165714450581449e-07
1558099,1558103,4,26569,1558101,16,2,1558100,18,1,,1898,1,0.14285709784640388,3.150751723968172e-07
1625803,1625807,4,4183,1625805,16,2,1625804,18,1,,4922,1,0.14285709984909878,3.010563081051744e-07
1743487,1743491,4,1747,1743490,16,3,1743489,18,2,,1550,1,0.1428571029471526,2.793699314107557e-07
1764223,1764227,4,22483,1764226,16,3,1764225,18,2,,88094,1,0.14285710344865965,2.7585938200402904e-07
3386563,3386567,4,23203,3386566,16,3,3386564,18,1,,24842,2,0.1428571035783872,2.74951289069847e-07
3595099,3595103,4,21529,3595102,16,3,3595100,18,1,,18698,2,0.1428571060032462,2.5797727620791033e-07
3774763,3774767,4,21013,3774766,16,3,3774764,18,1,,23834,2,0.1428571078703751,2.4490737393634287e-07
2011699,2011703,4,29719,2011701,16,2,2011700,18,1,,13226,1,0.14285710860916967,2.397358118688687e-07
2150299,2150303,4,18169,2150301,16,2,2150300,18,1,,13538,1,0.14285711096306697,2.2325853077376234e-07
2226131,2226137,6,3911,2226133,16,2,2226132,18,1,,2912,1,0.14285711212257501,2.1514197445782212e-07
2251099,2251103,4,28879,2251101,16,2,2251100,18,1,,32018,1,0.14285711248664246,2.1259350235780527e-07
2368403,2368409,6,26063,2368405,16,2,2368404,18,1,,12440,1,0.14285711409075574,2.0136470935128167e-07
4721407,4721411,4,6697,4721410,16,3,4721408,18,1,,26630,2,0.14285711529253442,1.929522586152644e-07
2558239,2558243,4,5689,2558242,16,3,2558241,18,2,,4958,1,0.142857116364564,1.8544805158171592e-07
4997683,4997687,4,12703,4997686,16,3,4997684,18,1,,6482,2,0.14285711691233605,1.8161364723212622e-07
2610787,2610791,4,28207,2610789,16,2,2610788,18,1,,10370,1,0.14285711693349956,1.8146550262443392e-07
5054299,5054303,4,9259,5054302,16,3,5054300,18,1,,12698,2,0.14285711722168015,1.7944823849092025e-07
2717899,2717903,4,15199,2717901,16,2,2717900,18,1,,27746,1,0.14285711802272738,1.738409078910764e-07
5426899,5426903,4,21499,5426902,16,3,5426900,18,1,,15986,2,0.1428571190912733,1.663610864621746e-07
2840911,2840917,6,18091,2840914,16,3,2840913,18,2,,25332,1,0.14285711916884702,1.658180703856261e-07
2842891,2842897,6,20071,2842894,16,3,2842893,18,2,,23352,1,0.14285711918645516,1.656948134254322e-07
2879083,2879087,4,26233,2879085,16,2,2879084,18,1,,722,1,0.1428571195038828,1.6347281994733017e-07
2969359,2969363,4,26419,2969362,16,3,2969361,18,2,,33926,1,0.14285712026079533,1.5817443221877178e-07
2981899,2981903,4,8929,2981901,16,2,2981900,18,1,,21386,1,0.14285712036217402,1.5746478143618966e-07
3107899,3107903,4,14809,3107901,16,2,3107900,18,1,,49826,1,0.1428571213339127,1.506626106095866e-07
3119107,3119111,4,26017,3119109,16,2,3119108,18,1,,38618,1,0.1428571214164156,1.50085090355745e-07
6205183,6205189,6,19003,6205186,16,3,6205184,18,1,,59820,2,0.14285712225019642,1.44248624600607e-07
3248431,3248437,6,5191,3248434,16,3,3248433,18,2,,31284,1,0.1428571223257844,1.437195087383714e-07
6273763,6273767,4,27523,6273766,16,3,6273764,18,1,,81674,2,0.14285712248976856,1.42571619621279e-07
3310423,3310429,6,7123,3310426,16,3,3310425,18,2,,12900,1,0.14285712273562945,1.408505934108462e-07
6345883,6345887,4,9553,6345886,16,3,6345884,18,1,,9554,2,0.14285712273593432,1.4084845934014828e-07
