anchor_p,actual_offset,candidate_count,tested_count,emitted_offset,exact_match,false_emit,candidate_bound_miss
100000000003,16,273,4,16,True,False,False
100000000019,38,273,10,38,True,False,False
100000000057,6,273,2,6,True,False,False
100000000063,6,273,2,6,True,False,False
100000000069,4,273,1,4,True,False,False
100000000073,18,272,4,18,True,False,False
100000000091,12,273,4,12,True,False,False
100000000103,26,272,7,26,True,False,False
100000000129,42,273,11,42,True,False,False
100000000171,12,272,3,12,True,False,False
100000000183,10,273,3,10,True,False,False
100000000193,18,272,4,18,True,False,False
100000000211,12,273,4,12,True,False,False
100000000223,14,272,3,14,True,False,False
100000000237,16,273,5,16,True,False,False
100000000253,30,272,8,30,True,False,False
100000000283,36,272,9,36,True,False,False
100000000319,44,273,12,44,True,False,False
100000000363,4,273,1,4,True,False,False
100000000367,12,273,3,12,True,False,False
100000000379,14,273,4,14,True,False,False
100000000393,10,273,3,10,True,False,False
100000000403,8,272,2,8,True,False,False
100000000411,6,272,1,6,True,False,False
100000000417,10,273,3,10,True,False,False
100000000427,20,273,5,20,True,False,False
100000000447,40,273,11,40,True,False,False
100000000487,32,273,9,32,True,False,False
100000000519,48,273,12,48,True,False,False
100000000567,12,273,4,12,True,False,False
100000000579,42,273,11,42,True,False,False
100000000621,10,272,2,10,True,False,False
100000000631,6,273,2,6,True,False,False
100000000637,32,273,9,32,True,False,False
100000000669,30,273,8,30,True,False,False
100000000699,4,273,1,4,True,False,False
100000000703,18,272,4,18,True,False,False
100000000721,18,273,5,18,True,False,False
100000000739,8,273,2,8,True,False,False
100000000747,54,273,15,54,True,False,False
100000000801,16,272,4,16,True,False,False
100000000817,2,273,1,2,True,False,False
100000000819,42,273,11,42,True,False,False
100000000861,40,272,10,40,True,False,False
100000000901,42,273,12,42,True,False,False
100000000943,8,272,2,8,True,False,False
100000000951,58,272,15,58,True,False,False
100000001009,90,273,24,90,True,False,False
100000001099,12,273,3,12,True,False,False
100000001111,38,273,11,38,True,False,False
100000001149,52,273,13,52,True,False,False
100000001201,8,273,3,8,True,False,False
100000001209,28,273,7,28,True,False,False
100000001237,2,273,1,2,True,False,False
100000001239,10,273,2,10,True,False,False
100000001249,18,273,5,18,True,False,False
100000001267,20,273,5,20,True,False,False
100000001287,4,273,1,4,True,False,False
100000001291,26,273,7,26,True,False,False
100000001317,30,273,8,30,True,False,False
100000001347,16,273,5,16,True,False,False
100000001363,14,272,3,14,True,False,False
100000001377,12,273,4,12,True,False,False
100000001389,10,273,2,10,True,False,False
100000001399,68,273,18,68,True,False,False
100000001467,22,273,6,22,True,False,False
100000001489,20,273,6,20,True,False,False
100000001509,4,273,1,4,True,False,False
100000001513,38,272,10,38,True,False,False
100000001551,6,272,1,6,True,False,False
100000001557,10,273,3,10,True,False,False
100000001567,74,273,20,74,True,False,False
100000001641,18,272,5,18,True,False,False
100000001659,34,273,9,34,True,False,False
100000001693,36,272,9,36,True,False,False
100000001729,42,273,11,42,True,False,False
100000001771,36,273,10,36,True,False,False
100000001807,24,273,6,24,True,False,False
100000001831,6,273,2,6,True,False,False
100000001837,2,273,1,2,True,False,False
100000001839,24,273,6,24,True,False,False
100000001863,46,273,12,46,True,False,False
100000001909,12,273,3,12,True,False,False
100000001921,2,273,1,2,True,False,False
100000001923,16,273,4,16,True,False,False
100000001939,18,273,5,18,True,False,False
100000001957,32,273,9,32,True,False,False
100000001989,28,273,7,28,True,False,False
100000002017,14,273,4,14,True,False,False
100000002031,10,272,2,10,True,False,False
100000002041,18,273,5,18,True,False,False
100000002059,2,273,1,2,True,False,False
100000002061,36,272,9,36,True,False,False
100000002097,6,273,2,6,True,False,False
100000002103,78,273,21,78,True,False,False
100000002181,10,272,2,10,True,False,False
100000002191,8,273,3,8,True,False,False
