anchor_p,actual_offset,active_count,resolved_count,unresolved_count,old_unique_match,reset_emitted_offset,reset_exact_match,reset_false_emit,tail_after_reset_count,all_unresolved_after_reset,candidate_bound_miss
100000000003,16,47,1,46,False,16,True,False,46,True,False
100000000019,38,46,1,45,False,38,True,False,45,True,False
100000000057,6,3,1,2,False,6,True,False,2,True,False
100000000063,6,2,1,1,False,6,True,False,1,True,False
100000000069,4,1,1,0,True,4,True,False,0,True,False
100000000073,18,1,1,0,True,18,True,False,0,True,False
100000000091,12,43,1,42,False,12,True,False,42,True,False
100000000103,26,42,1,41,False,26,True,False,41,True,False
100000000129,42,42,1,41,False,42,True,False,41,True,False
100000000171,12,41,1,40,False,12,True,False,40,True,False
100000000183,10,41,1,40,False,10,True,False,40,True,False
100000000193,18,1,1,0,True,18,True,False,0,True,False
100000000211,12,1,1,0,True,12,True,False,0,True,False
100000000223,14,41,1,40,False,14,True,False,40,True,False
100000000237,16,41,1,40,False,16,True,False,40,True,False
100000000253,30,41,1,40,False,30,True,False,40,True,False
100000000283,36,42,1,41,False,36,True,False,41,True,False
100000000319,44,42,1,41,False,44,True,False,41,True,False
100000000363,4,1,1,0,True,4,True,False,0,True,False
100000000367,12,44,1,43,False,12,True,False,43,True,False
100000000379,14,44,1,43,False,14,True,False,43,True,False
100000000393,10,43,1,42,False,10,True,False,42,True,False
100000000403,8,42,1,41,False,8,True,False,41,True,False
100000000411,6,1,1,0,True,6,True,False,0,True,False
100000000417,10,1,1,0,True,10,True,False,0,True,False
100000000427,20,39,1,38,False,20,True,False,38,True,False
100000000447,40,39,1,38,False,40,True,False,38,True,False
100000000487,32,40,1,39,False,32,True,False,39,True,False
100000000519,48,40,1,39,False,48,True,False,39,True,False
100000000567,12,42,1,41,False,12,True,False,41,True,False
100000000579,42,41,1,40,False,42,True,False,40,True,False
100000000621,10,41,1,40,False,10,True,False,40,True,False
100000000631,6,1,1,0,True,6,True,False,0,True,False
100000000637,32,40,1,39,False,32,True,False,39,True,False
100000000669,30,40,1,39,False,30,True,False,39,True,False
100000000699,4,1,1,0,True,4,True,False,0,True,False
100000000703,18,38,1,37,False,18,True,False,37,True,False
100000000721,18,38,1,37,False,18,True,False,37,True,False
100000000739,8,37,1,36,False,8,True,False,36,True,False
100000000747,54,37,1,36,False,54,True,False,36,True,False
100000000801,16,37,1,36,False,16,True,False,36,True,False
100000000817,2,1,1,0,True,2,True,False,0,True,False
100000000819,42,38,1,37,False,42,True,False,37,True,False
100000000861,40,38,1,37,False,40,True,False,37,True,False
100000000901,42,40,1,39,False,42,True,False,39,True,False
100000000943,8,1,1,0,True,8,True,False,0,True,False
100000000951,58,40,1,39,False,58,True,False,39,True,False
