anchor_p,actual_offset,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected,candidate_bound_miss
10000000000000061,8,273,272,1,1,0,True,True,False,False
10000000000000069,10,273,254,19,1,18,False,False,False,False
10000000000000079,20,273,254,19,1,18,False,False,False,False
10000000000000099,354,273,255,18,1,17,False,False,False,False
10000000000000453,28,273,248,25,1,24,False,False,False,False
10000000000000481,116,273,249,24,1,23,False,False,False,False
10000000000000597,16,273,247,26,1,25,False,False,False,False
10000000000000613,26,272,247,25,1,24,False,False,False,False
10000000000000639,30,273,247,26,1,25,False,False,False,False
10000000000000669,84,273,248,25,1,24,False,False,False,False
10000000000000753,40,273,243,30,1,29,False,False,False,False
10000000000000793,26,272,271,1,1,0,True,True,False,False
10000000000000819,42,273,243,30,1,29,False,False,False,False
10000000000000861,36,272,242,30,1,29,False,False,False,False
10000000000000897,12,273,271,2,1,1,False,False,False,False
10000000000000909,22,273,272,1,1,0,True,True,False,False
10000000000000931,18,273,245,28,1,27,False,False,False,False
10000000000000949,8,273,272,1,1,0,True,True,False,False
10000000000000957,34,273,247,26,1,25,False,False,False,False
10000000000000991,38,273,247,26,1,25,False,False,False,False
10000000000001029,72,273,246,27,1,26,False,False,False,False
10000000000001101,28,272,245,27,1,26,False,False,False,False
10000000000001129,110,273,246,27,1,26,False,False,False,False
10000000000001239,54,273,246,27,1,26,False,False,False,False
10000000000001293,18,273,245,28,1,27,False,False,False,False
10000000000001311,10,272,245,27,1,26,False,False,False,False
10000000000001321,56,273,247,26,1,25,False,False,False,False
10000000000001377,46,273,246,27,1,26,False,False,False,False
10000000000001423,54,272,246,26,1,25,False,False,False,False
10000000000001477,72,273,246,27,1,26,False,False,False,False
10000000000001549,2,273,272,1,1,0,True,True,False,False
10000000000001551,16,272,244,28,1,27,False,False,False,False
10000000000001567,90,273,246,27,1,26,False,False,False,False
10000000000001657,2,273,272,1,1,0,True,True,False,False
10000000000001659,60,273,246,27,1,26,False,False,False,False
10000000000001719,4,273,271,2,1,1,False,False,False,False
10000000000001723,8,272,271,1,1,0,True,True,False,False
10000000000001731,12,272,247,25,1,24,False,False,False,False
10000000000001743,4,273,272,1,1,0,True,True,False,False
10000000000001747,24,273,249,24,1,23,False,False,False,False
10000000000001771,18,273,250,23,1,22,False,False,False,False
10000000000001789,44,273,250,23,1,22,False,False,False,False
10000000000001833,40,273,249,24,1,23,False,False,False,False
10000000000001873,66,272,248,24,1,23,False,False,False,False
10000000000001939,74,273,246,27,1,26,False,False,False,False
10000000000002013,36,273,246,27,1,26,False,False,False,False
10000000000002049,4,273,272,1,1,0,True,True,False,False
10000000000002053,30,272,246,26,1,25,False,False,False,False
10000000000002083,54,272,246,26,1,25,False,False,False,False
10000000000002137,66,273,248,25,1,24,False,False,False,False
10000000000002203,66,272,247,25,1,24,False,False,False,False
10000000000002269,12,273,246,27,1,26,False,False,False,False
10000000000002281,78,273,247,26,1,25,False,False,False,False
10000000000002359,42,273,247,26,1,25,False,False,False,False
10000000000002401,72,273,246,27,1,26,False,False,False,False
10000000000002473,6,272,271,1,1,0,True,True,False,False
10000000000002479,38,273,244,29,1,28,False,False,False,False
10000000000002517,30,273,244,29,1,28,False,False,False,False
10000000000002547,22,273,244,29,1,28,False,False,False,False
10000000000002569,62,273,244,29,1,28,False,False,False,False
10000000000002631,12,272,241,31,1,30,False,False,False,False
10000000000002643,88,273,243,30,1,29,False,False,False,False
10000000000002731,38,273,241,32,1,31,False,False,False,False
10000000000002769,40,273,241,32,1,31,False,False,False,False
10000000000002809,14,273,241,32,1,31,False,False,False,False
10000000000002823,28,273,242,31,1,30,False,False,False,False
10000000000002851,26,273,242,31,1,30,False,False,False,False
10000000000002877,30,273,242,31,1,30,False,False,False,False
10000000000002907,24,273,241,32,1,31,False,False,False,False
10000000000002931,18,272,241,31,1,30,False,False,False,False
10000000000002949,4,273,272,1,1,0,True,True,False,False
10000000000002953,84,272,243,29,1,28,False,False,False,False
10000000000003037,12,273,243,30,1,29,False,False,False,False
10000000000003049,54,273,244,29,1,28,False,False,False,False
10000000000003103,114,272,243,29,1,28,False,False,False,False
10000000000003217,24,273,242,31,1,30,False,False,False,False
10000000000003241,26,273,243,30,1,29,False,False,False,False
10000000000003267,24,273,244,29,1,28,False,False,False,False
10000000000003291,76,272,244,28,1,27,False,False,False,False
10000000000003367,44,273,244,29,1,28,False,False,False,False
10000000000003411,6,272,243,29,1,28,False,False,False,False
10000000000003417,40,273,245,28,1,27,False,False,False,False
10000000000003457,2,273,272,1,1,0,True,True,False,False
10000000000003459,12,273,245,28,1,27,False,False,False,False
10000000000003471,28,272,244,28,1,27,False,False,False,False
10000000000003499,24,273,245,28,1,27,False,False,False,False
10000000000003523,20,272,271,1,1,0,True,True,False,False
10000000000003543,40,273,247,26,1,25,False,False,False,False
10000000000003583,36,272,244,28,1,27,False,False,False,False
10000000000003619,8,273,245,28,1,27,False,False,False,False
10000000000003627,6,273,246,27,1,26,False,False,False,False
10000000000003633,60,273,247,26,1,25,False,False,False,False
10000000000003693,18,273,244,29,1,28,False,False,False,False
10000000000003711,36,272,243,29,1,28,False,False,False,False
10000000000003747,16,273,245,28,1,27,False,False,False,False
10000000000003763,50,272,245,27,1,26,False,False,False,False
10000000000003813,48,273,247,26,1,25,False,False,False,False
10000000000003861,18,272,245,27,1,26,False,False,False,False
10000000000003879,24,273,245,28,1,27,False,False,False,False
10000000000003903,18,273,246,27,1,26,False,False,False,False
10000000000003921,70,272,246,26,1,25,False,False,False,False
10000000000003991,42,273,246,27,1,26,False,False,False,False
10000000000004033,56,272,245,27,1,26,False,False,False,False
10000000000004089,40,273,244,29,1,28,False,False,False,False
10000000000004129,24,273,244,29,1,28,False,False,False,False
10000000000004153,66,272,244,28,1,27,False,False,False,False
10000000000004219,140,273,246,27,1,26,False,False,False,False
10000000000004359,10,273,240,33,1,32,False,False,False,False
10000000000004369,62,273,241,32,1,31,False,False,False,False
10000000000004431,16,272,241,31,1,30,False,False,False,False
10000000000004447,26,273,242,31,1,30,False,False,False,False
10000000000004473,16,273,242,31,1,30,False,False,False,False
10000000000004489,14,273,243,30,1,29,False,False,False,False
10000000000004503,66,273,244,29,1,28,False,False,False,False
10000000000004569,10,273,272,1,1,0,True,True,False,False
10000000000004579,24,273,244,29,1,28,False,False,False,False
10000000000004603,24,272,243,29,1,28,False,False,False,False
10000000000004627,42,273,244,29,1,28,False,False,False,False
10000000000004669,12,273,244,29,1,28,False,False,False,False
10000000000004681,20,273,245,28,1,27,False,False,False,False
10000000000004701,16,272,245,27,1,26,False,False,False,False
10000000000004717,2,273,272,1,1,0,True,True,False,False
10000000000004719,124,273,247,26,1,25,False,False,False,False
10000000000004843,24,272,243,29,1,28,False,False,False,False
10000000000004867,20,273,245,28,1,27,False,False,False,False
10000000000004887,10,273,246,27,1,26,False,False,False,False
10000000000004897,50,273,247,26,1,25,False,False,False,False
10000000000004947,60,273,248,25,1,24,False,False,False,False
10000000000005007,16,273,247,26,1,25,False,False,False,False
10000000000005023,50,272,246,26,1,25,False,False,False,False
10000000000005073,4,273,272,1,1,0,True,True,False,False
10000000000005077,12,273,272,1,1,0,True,True,False,False
10000000000005089,62,273,249,24,1,23,False,False,False,False
10000000000005151,96,272,247,25,1,24,False,False,False,False
10000000000005247,42,273,243,30,1,29,False,False,False,False
10000000000005289,22,273,244,29,1,28,False,False,False,False
10000000000005311,2,273,272,1,1,0,True,True,False,False
10000000000005313,6,273,246,27,1,26,False,False,False,False
10000000000005319,24,273,246,27,1,26,False,False,False,False
10000000000005343,40,273,246,27,1,26,False,False,False,False
10000000000005383,86,272,246,26,1,25,False,False,False,False
10000000000005469,12,273,247,26,1,25,False,False,False,False
10000000000005481,48,272,247,25,1,24,False,False,False,False
10000000000005529,42,273,248,25,1,24,False,False,False,False
10000000000005571,40,272,246,26,1,25,False,False,False,False
10000000000005611,36,273,247,26,1,25,False,False,False,False
10000000000005647,20,273,247,26,1,25,False,False,False,False
10000000000005667,70,273,248,25,1,24,False,False,False,False
10000000000005737,24,273,247,26,1,25,False,False,False,False
10000000000005761,6,273,272,1,1,0,True,True,False,False
10000000000005767,92,273,248,25,1,24,False,False,False,False
10000000000005859,4,273,272,1,1,0,True,True,False,False
10000000000005863,116,272,247,25,1,24,False,False,False,False
10000000000005979,28,273,246,27,1,26,False,False,False,False
10000000000006007,26,273,246,27,1,26,False,False,False,False
10000000000006033,28,273,247,26,1,25,False,False,False,False
10000000000006061,90,273,248,25,1,24,False,False,False,False
10000000000006151,6,273,247,26,1,25,False,False,False,False
10000000000006157,36,273,247,26,1,25,False,False,False,False
10000000000006193,8,272,247,25,1,24,False,False,False,False
10000000000006201,6,272,270,2,1,1,False,False,False,False
10000000000006207,6,273,272,1,1,0,True,True,False,False
10000000000006213,36,273,250,23,1,22,False,False,False,False
10000000000006249,18,273,250,23,1,22,False,False,False,False
10000000000006267,76,273,251,22,1,21,False,False,False,False
10000000000006343,6,272,271,1,1,0,True,True,False,False
10000000000006349,138,273,249,24,1,23,False,False,False,False
10000000000006487,66,273,245,28,1,27,False,False,False,False
10000000000006553,18,272,243,29,1,28,False,False,False,False
10000000000006571,2,273,272,1,1,0,True,True,False,False
10000000000006573,60,273,244,29,1,28,False,False,False,False
10000000000006633,16,273,245,28,1,27,False,False,False,False
10000000000006649,84,273,245,28,1,27,False,False,False,False
10000000000006733,6,272,271,1,1,0,True,True,False,False
10000000000006739,30,273,244,29,1,28,False,False,False,False
10000000000006769,54,273,244,29,1,28,False,False,False,False
