scale,vector_mode,candidate_domain,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,selected_csr,min_tie_count,candidate_count,vector_length_used,failure_mode
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999947,999999999999967,999999999999989,999999999999968,-21,0,3,108,20,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999947,999999999999967,999999999999989,999999999999989,0,1,2,6,20,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999947,999999999999967,999999999999989,999999999999968,-21,0,4,128,20,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999947,999999999999967,999999999999989,999999999999989,0,1,3,7,20,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999883,999999999999893,999999999999947,999999999999947,0,10,1,118,128,correct
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999883,999999999999893,999999999999947,999999999999947,0,10,1,5,128,correct
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999883,999999999999893,999999999999947,999999999999947,0,10,1,128,128,correct
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999883,999999999999893,999999999999947,999999999999947,0,10,1,6,128,correct
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999883,999999999999893,999999999999947,999999999999894,-53,0,6,118,10,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999883,999999999999893,999999999999947,999999999999907,-40,1,5,5,10,selected_too_early
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999883,999999999999893,999999999999947,999999999999894,-53,0,6,128,10,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999883,999999999999893,999999999999947,999999999999907,-40,1,6,6,10,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999877,999999999999881,999999999999883,999999999999935,52,10,1,124,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999877,999999999999881,999999999999883,999999999999989,106,11,1,7,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999877,999999999999881,999999999999883,999999999999935,52,10,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999877,999999999999881,999999999999883,999999999999989,106,11,1,7,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999877,999999999999881,999999999999883,999999999999882,-1,0,7,124,4,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999877,999999999999881,999999999999883,999999999999893,10,1,6,7,4,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999877,999999999999881,999999999999883,999999999999882,-1,0,7,128,4,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999877,999999999999881,999999999999883,999999999999893,10,1,6,7,4,selected_too_late
