scale,source,rule_id,rows,correct,selected_too_early,selected_too_late,no_selection,would_create_audit_failures,projected_pgs_percent,precision_percent,false_positive_percent,true_inside_window_count,pure_pgs_eligible_input,promotion_eligible
1000000000000,shadow_seed_recovery,boundary_open_pressure_stabilization,102,0,0,0,102,0,59.683794466403164,0.0,0.0,102,True,False
1000000000000,shadow_seed_recovery,first_visible_open_baseline,102,60,42,0,0,42,83.39920948616601,58.8235294117647,41.1764705882353,102,True,False
1000000000000,shadow_seed_recovery,literal_flux_pressure_stabilization,102,0,0,0,102,0,59.683794466403164,0.0,0.0,102,True,False
1000000000000,unresolved,boundary_open_pressure_stabilization,3,0,0,0,3,0,59.683794466403164,0.0,0.0,3,False,False
1000000000000,unresolved,first_visible_open_baseline,3,0,3,0,0,3,59.683794466403164,0.0,100.0,3,False,False
1000000000000,unresolved,literal_flux_pressure_stabilization,3,0,0,0,3,0,59.683794466403164,0.0,0.0,3,False,False
1000000000000000,shadow_seed_recovery,boundary_open_pressure_stabilization,141,0,0,0,141,0,43.373493975903614,0.0,0.0,141,True,False
1000000000000000,shadow_seed_recovery,first_visible_open_baseline,141,76,65,0,0,65,73.89558232931726,53.90070921985816,46.09929078014184,141,True,False
1000000000000000,shadow_seed_recovery,literal_flux_pressure_stabilization,141,0,0,0,141,0,43.373493975903614,0.0,0.0,141,True,False
1000000000000000,unresolved,boundary_open_pressure_stabilization,7,0,0,0,7,0,43.373493975903614,0.0,0.0,7,False,False
1000000000000000,unresolved,first_visible_open_baseline,7,0,7,0,0,7,43.373493975903614,0.0,100.0,7,False,False
1000000000000000,unresolved,literal_flux_pressure_stabilization,7,0,0,0,7,0,43.373493975903614,0.0,0.0,7,False,False
1000000000000000000,shadow_seed_recovery,boundary_open_pressure_stabilization,145,0,0,0,145,0,42.0,0.0,0.0,145,True,False
1000000000000000000,shadow_seed_recovery,first_visible_open_baseline,145,69,76,0,0,76,69.6,47.58620689655172,52.41379310344828,145,True,False
1000000000000000000,shadow_seed_recovery,literal_flux_pressure_stabilization,145,0,0,0,145,0,42.0,0.0,0.0,145,True,False
1000000000000000000,unresolved,boundary_open_pressure_stabilization,6,0,0,0,6,0,42.0,0.0,0.0,6,False,False
1000000000000000000,unresolved,first_visible_open_baseline,6,0,6,0,0,6,42.0,0.0,100.0,6,False,False
1000000000000000000,unresolved,literal_flux_pressure_stabilization,6,0,0,0,6,0,42.0,0.0,0.0,6,False,False
