anchor_p,offset,candidate_q,carrier,carrier_offset,carrier_d,post_carrier_lower_d_count,post_carrier_ge_d_count,interior_prime_offsets,structural_status,structural_reasons,exact_status,exact_reasons
11,56,67,25,14,3,0,32,2 6 8 12 18 20 26 30 32 36 42 48 50,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,60,71,25,14,3,0,35,2 6 8 12 18 20 26 30 32 36 42 48 50 56,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,62,73,25,14,3,0,36,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,4,17,14,1,4,0,2,,SURVIVES,,SURVIVES,
13,6,19,14,1,4,0,3,4,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,10,23,14,1,4,0,6,4 6,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,16,29,25,12,3,0,3,4 6 10,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,18,31,25,12,3,0,4,4 6 10 16,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,24,37,25,12,3,0,9,4 6 10 16 18,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,28,41,25,12,3,0,12,4 6 10 16 18 24,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,30,43,25,12,3,0,13,4 6 10 16 18 24 28,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,34,47,25,12,3,0,16,4 6 10 16 18 24 28 30,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,36,49,25,12,3,0,17,4 6 10 16 18 24 28 30 34,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
13,40,53,25,12,3,0,21,4 6 10 16 18 24 28 30 34,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,46,59,25,12,3,0,26,4 6 10 16 18 24 28 30 34 40,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
