anchor_p,actual_offset,active_count,resolved_count,unresolved_count,old_unique_match,reset_emitted_offset,reset_exact_match,reset_false_emit,tail_after_reset_count,all_unresolved_after_reset,candidate_bound_miss
100000007,30,54,1,53,False,30,True,False,53,True,False
100000037,2,1,1,0,True,2,True,False,0,True,False
100000039,10,54,1,53,False,10,True,False,53,True,False
100000049,24,53,1,52,False,24,True,False,52,True,False
100000073,8,54,1,53,False,8,True,False,53,True,False
100000081,42,53,1,52,False,42,True,False,52,True,False
100000123,4,56,1,55,False,4,True,False,55,True,False
100000127,66,55,1,54,False,66,True,False,54,True,False
100000193,20,59,1,58,False,20,True,False,58,True,False
100000213,4,3,1,2,False,4,True,False,2,True,False
100000217,6,2,1,1,False,6,True,False,1,True,False
100000223,8,1,1,0,True,8,True,False,0,True,False
100000231,6,57,1,56,False,6,True,False,56,True,False
100000237,22,56,1,55,False,22,True,False,55,True,False
100000259,8,55,1,54,False,8,True,False,54,True,False
100000267,12,54,1,53,False,12,True,False,53,True,False
100000279,78,54,1,53,False,78,True,False,53,True,False
100000357,22,57,1,56,False,22,True,False,56,True,False
100000379,14,57,1,56,False,14,True,False,56,True,False
100000393,6,1,1,0,True,6,True,False,0,True,False
100000399,22,55,1,54,False,22,True,False,54,True,False
100000421,8,55,1,54,False,8,True,False,54,True,False
100000429,34,55,1,54,False,34,True,False,54,True,False
100000463,6,55,1,54,False,6,True,False,54,True,False
100000469,2,1,1,0,True,2,True,False,0,True,False
100000471,22,53,1,52,False,22,True,False,52,True,False
100000493,48,53,1,52,False,48,True,False,52,True,False
100000541,2,1,1,0,True,2,True,False,0,True,False
100000543,18,53,1,52,False,18,True,False,52,True,False
100000561,6,1,1,0,True,6,True,False,0,True,False
100000567,10,54,1,53,False,10,True,False,53,True,False
100000577,32,53,1,52,False,32,True,False,52,True,False
100000609,18,54,1,53,False,18,True,False,53,True,False
100000627,16,54,1,53,False,16,True,False,53,True,False
100000643,8,1,1,0,True,8,True,False,0,True,False
100000651,10,53,1,52,False,10,True,False,52,True,False
100000661,8,2,1,1,False,8,True,False,1,True,False
100000669,4,1,1,0,True,4,True,False,0,True,False
100000673,14,52,1,51,False,14,True,False,51,True,False
100000687,30,51,1,50,False,30,True,False,50,True,False
