anchor_p,actual_offset,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected,candidate_bound_miss
1000000000000000003,6,273,251,22,1,21,False,False,False,False
1000000000000000009,22,273,252,21,1,20,False,False,False,False
1000000000000000031,48,273,253,20,1,19,False,False,False,False
1000000000000000079,98,273,253,20,1,19,False,False,False,False
1000000000000000177,6,273,272,1,1,0,True,True,False,False
1000000000000000183,18,273,254,19,1,18,False,False,False,False
1000000000000000201,82,272,254,18,1,17,False,False,False,False
1000000000000000283,98,272,254,18,1,17,False,False,False,False
1000000000000000381,6,272,271,1,1,0,True,True,False,False
1000000000000000387,120,273,254,19,1,18,False,False,False,False
1000000000000000507,16,273,253,20,1,19,False,False,False,False
1000000000000000523,60,272,252,20,1,19,False,False,False,False
1000000000000000583,20,272,251,21,1,20,False,False,False,False
1000000000000000603,16,273,253,20,1,19,False,False,False,False
1000000000000000619,2,273,272,1,1,0,True,True,False,False
1000000000000000621,178,272,254,18,1,17,False,False,False,False
1000000000000000799,42,273,251,22,1,21,False,False,False,False
1000000000000000841,20,273,251,22,1,21,False,False,False,False
1000000000000000861,16,272,250,22,1,21,False,False,False,False
1000000000000000877,36,273,252,21,1,20,False,False,False,False
1000000000000000913,18,272,252,20,1,19,False,False,False,False
1000000000000000931,66,273,253,20,1,19,False,False,False,False
1000000000000000997,96,273,254,19,1,18,False,False,False,False
1000000000000001093,98,272,252,20,1,19,False,False,False,False
1000000000000001191,76,272,252,20,1,19,False,False,False,False
1000000000000001267,56,273,252,21,1,20,False,False,False,False
1000000000000001323,24,273,252,21,1,20,False,False,False,False
1000000000000001347,12,273,272,1,1,0,True,True,False,False
1000000000000001359,94,273,254,19,1,18,False,False,False,False
1000000000000001453,6,272,271,1,1,0,True,True,False,False
1000000000000001459,78,273,255,18,1,17,False,False,False,False
1000000000000001537,26,273,250,23,1,22,False,False,False,False
1000000000000001563,30,273,250,23,1,22,False,False,False,False
1000000000000001593,66,273,249,24,1,23,False,False,False,False
1000000000000001659,24,273,249,24,1,23,False,False,False,False
1000000000000001683,46,273,250,23,1,22,False,False,False,False
1000000000000001729,14,273,251,22,1,21,False,False,False,False
1000000000000001743,28,273,252,21,1,20,False,False,False,False
1000000000000001771,56,273,253,20,1,19,False,False,False,False
