anchor_p,actual_offset,active_count,resolved_count,unresolved_count,old_unique_match,reset_emitted_offset,reset_exact_match,reset_false_emit,tail_after_reset_count,all_unresolved_after_reset,candidate_bound_miss
10000002781,46,46,1,45,False,46,True,False,45,True,False
10000002827,24,46,1,45,False,24,True,False,45,True,False
10000002851,56,46,1,45,False,56,True,False,45,True,False
10000002907,24,46,1,45,False,24,True,False,45,True,False
10000002931,6,2,1,1,False,6,True,False,1,True,False
10000002937,4,1,1,0,True,4,True,False,0,True,False
10000002941,18,44,1,43,False,18,True,False,43,True,False
10000002959,8,43,1,42,False,8,True,False,42,True,False
10000002967,10,1,1,0,True,10,True,False,0,True,False
10000002977,6,41,1,40,False,6,True,False,40,True,False
10000002983,18,40,1,39,False,18,True,False,39,True,False
10000003001,2,1,1,0,True,2,True,False,0,True,False
10000003003,16,38,1,37,False,16,True,False,37,True,False
10000003019,2,1,1,0,True,2,True,False,0,True,False
10000003021,66,38,1,37,False,66,True,False,37,True,False
10000003087,12,39,1,38,False,12,True,False,38,True,False
10000003099,4,1,1,0,True,4,True,False,0,True,False
10000003103,26,38,1,37,False,26,True,False,37,True,False
10000003129,12,39,1,38,False,12,True,False,38,True,False
10000003141,6,38,1,37,False,6,True,False,37,True,False
10000003147,24,38,1,37,False,24,True,False,37,True,False
10000003171,16,38,1,37,False,16,True,False,37,True,False
10000003187,12,37,1,36,False,12,True,False,36,True,False
10000003199,30,36,1,35,False,30,True,False,35,True,False
10000003229,2,1,1,0,True,2,True,False,0,True,False
10000003231,36,36,1,35,False,36,True,False,35,True,False
10000003267,22,36,1,35,False,22,True,False,35,True,False
10000003289,14,37,1,36,False,14,True,False,36,True,False
10000003303,34,36,1,35,False,34,True,False,35,True,False
10000003337,2,1,1,0,True,2,True,False,0,True,False
10000003339,30,36,1,35,False,30,True,False,35,True,False
10000003369,72,35,1,34,False,72,True,False,34,True,False
10000003441,10,1,1,0,True,10,True,False,0,True,False
10000003451,48,35,1,34,False,48,True,False,34,True,False
10000003499,24,35,1,34,False,24,True,False,34,True,False
10000003523,20,35,1,34,False,20,True,False,34,True,False
10000003543,4,1,1,0,True,4,True,False,0,True,False
10000003547,30,34,1,33,False,30,True,False,33,True,False
10000003577,36,33,1,32,False,36,True,False,32,True,False
10000003613,48,34,1,33,False,48,True,False,33,True,False
10000003661,6,1,1,0,True,6,True,False,0,True,False
10000003667,12,34,1,33,False,12,True,False,33,True,False
10000003679,18,34,1,33,False,18,True,False,33,True,False
10000003697,14,34,1,33,False,14,True,False,33,True,False
10000003711,12,33,1,32,False,12,True,False,32,True,False
10000003723,64,32,1,31,False,64,True,False,31,True,False
10000003787,20,33,1,32,False,20,True,False,32,True,False
10000003807,52,34,1,33,False,52,True,False,33,True,False
10000003859,72,36,1,35,False,72,True,False,35,True,False
10000003931,26,38,1,37,False,26,True,False,37,True,False
10000003957,76,38,1,37,False,76,True,False,37,True,False
10000004033,6,1,1,0,True,6,True,False,0,True,False
10000004039,32,36,1,35,False,32,True,False,35,True,False
10000004071,18,35,1,34,False,18,True,False,34,True,False
10000004089,28,34,1,33,False,28,True,False,33,True,False
10000004117,20,34,1,33,False,20,True,False,33,True,False
10000004137,16,35,1,34,False,16,True,False,34,True,False
10000004153,14,35,1,34,False,14,True,False,34,True,False
10000004167,6,34,1,33,False,6,True,False,33,True,False
10000004173,54,33,1,32,False,54,True,False,32,True,False
10000004227,10,34,1,33,False,10,True,False,33,True,False
10000004237,42,33,1,32,False,42,True,False,32,True,False
10000004279,18,34,1,33,False,18,True,False,33,True,False
10000004297,12,33,1,32,False,12,True,False,32,True,False
10000004309,42,32,1,31,False,42,True,False,31,True,False
10000004351,8,34,1,33,False,8,True,False,33,True,False
10000004359,48,33,1,32,False,48,True,False,32,True,False
10000004407,54,33,1,32,False,54,True,False,32,True,False
10000004461,16,34,1,33,False,16,True,False,33,True,False
10000004477,50,34,1,33,False,50,True,False,33,True,False
10000004527,30,34,1,33,False,30,True,False,33,True,False
10000004557,54,35,1,34,False,54,True,False,34,True,False
10000004611,22,37,1,36,False,22,True,False,36,True,False
10000004633,26,37,1,36,False,26,True,False,36,True,False
10000004659,28,38,1,37,False,28,True,False,37,True,False
10000004687,14,38,1,37,False,14,True,False,37,True,False
10000004701,12,37,1,36,False,12,True,False,36,True,False
10000004713,58,36,1,35,False,58,True,False,35,True,False
10000004771,26,36,1,35,False,26,True,False,35,True,False
10000004797,24,37,1,36,False,24,True,False,36,True,False
10000004821,6,1,1,0,True,6,True,False,0,True,False
10000004827,24,36,1,35,False,24,True,False,35,True,False
10000004851,6,35,1,34,False,6,True,False,34,True,False
10000004857,16,34,1,33,False,16,True,False,33,True,False
10000004873,18,34,1,33,False,18,True,False,33,True,False
10000004891,6,1,1,0,True,6,True,False,0,True,False
10000004897,54,32,1,31,False,54,True,False,31,True,False
10000004951,6,1,1,0,True,6,True,False,0,True,False
10000004957,182,32,1,31,False,182,True,False,31,True,False
10000005139,4,1,1,0,True,4,True,False,0,True,False
10000005143,18,36,1,35,False,18,True,False,35,True,False
10000005161,2,1,1,0,True,2,True,False,0,True,False
10000005163,46,35,1,34,False,46,True,False,34,True,False
10000005209,18,35,1,34,False,18,True,False,34,True,False
10000005227,56,34,1,33,False,56,True,False,33,True,False
10000005283,6,38,1,37,False,6,True,False,37,True,False
10000005289,58,37,1,36,False,58,True,False,36,True,False
10000005347,14,1,1,0,True,14,True,False,0,True,False
10000005361,10,38,1,37,False,10,True,False,37,True,False
10000005371,56,37,1,36,False,56,True,False,36,True,False
10000005427,40,40,1,39,False,40,True,False,39,True,False
10000005467,12,41,1,40,False,12,True,False,40,True,False
10000005479,8,41,1,40,False,8,True,False,40,True,False
10000005487,64,40,1,39,False,64,True,False,39,True,False
10000005551,2,1,1,0,True,2,True,False,0,True,False
10000005553,16,40,1,39,False,16,True,False,39,True,False
10000005569,14,40,1,39,False,14,True,False,39,True,False
10000005583,28,39,1,38,False,28,True,False,38,True,False
10000005611,18,39,1,38,False,18,True,False,38,True,False
10000005629,12,39,1,38,False,12,True,False,38,True,False
10000005641,20,38,1,37,False,20,True,False,37,True,False
10000005661,16,1,1,0,True,16,True,False,0,True,False
10000005677,26,36,1,35,False,26,True,False,35,True,False
10000005703,70,36,1,35,False,70,True,False,35,True,False
10000005773,36,38,1,37,False,36,True,False,37,True,False
10000005809,2,1,1,0,True,2,True,False,0,True,False
10000005811,28,39,1,38,False,28,True,False,38,True,False
10000005839,50,40,1,39,False,50,True,False,39,True,False
10000005889,48,40,1,39,False,48,True,False,39,True,False
10000005937,36,43,1,42,False,36,True,False,42,True,False
10000005973,96,45,1,44,False,96,True,False,44,True,False
10000006069,34,50,1,49,False,34,True,False,49,True,False
10000006103,14,50,1,49,False,14,True,False,49,True,False
10000006117,22,49,1,48,False,22,True,False,48,True,False
10000006139,12,49,1,48,False,12,True,False,48,True,False
10000006151,6,1,1,0,True,6,True,False,0,True,False
10000006157,30,47,1,46,False,30,True,False,46,True,False
10000006187,20,48,1,47,False,20,True,False,47,True,False
10000006207,60,48,1,47,False,60,True,False,47,True,False
10000006267,12,48,1,47,False,12,True,False,47,True,False
10000006279,4,1,1,0,True,4,True,False,0,True,False
10000006283,18,47,1,46,False,18,True,False,46,True,False
10000006301,6,1,1,0,True,6,True,False,0,True,False
10000006307,20,47,1,46,False,20,True,False,46,True,False
10000006327,22,48,1,47,False,22,True,False,47,True,False
10000006349,2,1,1,0,True,2,True,False,0,True,False
10000006351,60,47,1,46,False,60,True,False,46,True,False
10000006411,6,1,1,0,True,6,True,False,0,True,False
10000006417,16,49,1,48,False,16,True,False,48,True,False
10000006433,6,49,1,48,False,6,True,False,48,True,False
10000006439,14,48,1,47,False,14,True,False,47,True,False
