scale,rule_id,anchor_p,seed_q0,true_q_for_audit_only,upper_bound,seed_least_factor_for_audit_only,seed_to_true_delta,least_factor_equals_seed_to_true_delta,selected_q,selected_delta_from_true,failure_mode,positions_checked,materialized_witness_count,did_evaluate,failure_reason,pure_pgs_eligible_input
1000000000000,audit_q0_plus_least_factor,999999999707,999999999743,999999999767,999999999835,69221,24,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999707,999999999743,999999999767,999999999835,69221,24,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999707,999999999743,999999999767,999999999835,69221,24,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999617,999999999641,999999999673,999999999745,40087,32,False,999999999667,-6,selected_too_early,26,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999617,999999999641,999999999673,999999999745,40087,32,False,999999999667,-6,selected_too_early,26,0,True,,True
1000000000000,visible_integer_residue_advance,999999999617,999999999641,999999999673,999999999745,40087,32,False,999999999667,-6,selected_too_early,26,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999617,999999999641,999999999673,999999999745,40087,32,False,999999999667,-6,selected_too_early,26,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999617,999999999641,999999999673,999999999745,40087,32,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999617,999999999641,999999999673,999999999745,40087,32,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999617,999999999641,999999999673,999999999745,40087,32,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999617,999999999641,999999999673,999999999745,40087,32,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999617,999999999641,999999999673,999999999745,40087,32,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999577,999999999587,999999999589,999999999705,23027,2,False,999999999589,0,correct,2,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999577,999999999587,999999999589,999999999705,23027,2,False,999999999589,0,correct,2,0,True,,True
1000000000000,visible_integer_residue_advance,999999999577,999999999587,999999999589,999999999705,23027,2,False,999999999589,0,correct,2,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999577,999999999587,999999999589,999999999705,23027,2,False,999999999589,0,correct,2,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999577,999999999587,999999999589,999999999705,23027,2,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999577,999999999587,999999999589,999999999705,23027,2,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999577,999999999587,999999999589,999999999705,23027,2,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999577,999999999587,999999999589,999999999705,23027,2,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999577,999999999587,999999999589,999999999705,23027,2,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999529,999999999541,999999999571,999999999657,52067,30,False,999999999547,-24,selected_too_early,6,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999529,999999999541,999999999571,999999999657,52067,30,False,999999999547,-24,selected_too_early,6,0,True,,True
1000000000000,visible_integer_residue_advance,999999999529,999999999541,999999999571,999999999657,52067,30,False,999999999547,-24,selected_too_early,6,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999529,999999999541,999999999571,999999999657,52067,30,False,999999999547,-24,selected_too_early,6,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999529,999999999541,999999999571,999999999657,52067,30,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999529,999999999541,999999999571,999999999657,52067,30,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999529,999999999541,999999999571,999999999657,52067,30,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999529,999999999541,999999999571,999999999657,52067,30,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999529,999999999541,999999999571,999999999657,52067,30,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999391,999999999419,999999999457,999999999519,33601,38,False,999999999457,0,correct,38,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999391,999999999419,999999999457,999999999519,33601,38,False,999999999457,0,correct,38,0,True,,True
1000000000000,visible_integer_residue_advance,999999999391,999999999419,999999999457,999999999519,33601,38,False,999999999457,0,correct,38,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999391,999999999419,999999999457,999999999519,33601,38,False,999999999457,0,correct,38,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999391,999999999419,999999999457,999999999519,33601,38,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999391,999999999419,999999999457,999999999519,33601,38,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999391,999999999419,999999999457,999999999519,33601,38,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999391,999999999419,999999999457,999999999519,33601,38,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999391,999999999419,999999999457,999999999519,33601,38,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999331,999999999337,999999999359,999999999459,546323,22,False,999999999359,0,correct,22,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999331,999999999337,999999999359,999999999459,546323,22,False,999999999359,0,correct,22,0,True,,True
1000000000000,visible_integer_residue_advance,999999999331,999999999337,999999999359,999999999459,546323,22,False,999999999359,0,correct,22,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999331,999999999337,999999999359,999999999459,546323,22,False,999999999359,0,correct,22,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999331,999999999337,999999999359,999999999459,546323,22,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
