scale,rule_id,chain_rows,selected_count,top1_correct,top1_recall,would_convert_chain_fallback_to_pgs,would_create_audit_failures,projected_pgs_rate,projected_pgs_percent,zero_failure_conversions
1000000000000000,rule_r1_first_recursive_signature_break,141,141,76,0.5390070921985816,76,65,0.7389558232931727,73.89558232931726,0
1000000000000000,rule_r2_first_delta_multiset_incompatible,141,141,76,0.5390070921985816,76,65,0.7389558232931727,73.89558232931726,0
1000000000000000,rule_r3_first_recursive_open_density_drop,141,137,43,0.3049645390070922,43,94,0.606425702811245,60.6425702811245,0
1000000000000000,rule_r4_first_hidden_proxy_loss,141,141,14,0.09929078014184398,14,127,0.4899598393574297,48.99598393574297,0
1000000000000000,rule_r5_first_no_recursive_hidden_successor,141,117,4,0.028368794326241134,4,113,0.4497991967871486,44.97991967871486,0
1000000000000000,rule_r6_best_ranker_b_after_any_break,141,141,76,0.5390070921985816,76,65,0.7389558232931727,73.89558232931726,0
1000000000000000000,rule_r1_first_recursive_signature_break,145,145,69,0.47586206896551725,69,76,0.696,69.6,0
1000000000000000000,rule_r2_first_delta_multiset_incompatible,145,144,68,0.4689655172413793,68,76,0.692,69.19999999999999,0
1000000000000000000,rule_r3_first_recursive_open_density_drop,145,142,52,0.3586206896551724,52,90,0.628,62.8,0
1000000000000000000,rule_r4_first_hidden_proxy_loss,145,145,10,0.06896551724137931,10,135,0.46,46.0,0
1000000000000000000,rule_r5_first_no_recursive_hidden_successor,145,110,10,0.06896551724137931,10,100,0.46,46.0,0
1000000000000000000,rule_r6_best_ranker_b_after_any_break,145,145,69,0.47586206896551725,69,76,0.696,69.6,0
